Dataset,Source,Total_Records,Clean_CSV,CSV_Size_MB,Clean_Excel,Excel_Size_MB
gwl_tel_6_hourly_cgwb_dl_1991_2020,gwl_tel_6_hourly_cgwb_dl_1991_2020.csv,1,cleaned_gwl_tel_6_hourly_cgwb_dl_1991_2020.csv,0.0,cleaned_gwl_tel_6_hourly_cgwb_dl_1991_2020.xlsx,0.0
gwl_tel_6_hourly_cgwb_hr_1991_2020,gwl_tel_6_hourly_cgwb_hr_1991_2020.csv,4,cleaned_gwl_tel_6_hourly_cgwb_hr_1991_2020.csv,0.0,cleaned_gwl_tel_6_hourly_cgwb_hr_1991_2020.xlsx,0.01
gwl_tel_6_hourly_cgwb_kl_1991_2020,gwl_tel_6_hourly_cgwb_kl_1991_2020.csv,1,cleaned_gwl_tel_6_hourly_cgwb_kl_1991_2020.csv,0.0,cleaned_gwl_tel_6_hourly_cgwb_kl_1991_2020.xlsx,0.0
gwl_tel_6_hourly_cgwb_mh_1991_2020,gwl_tel_6_hourly_cgwb_mh_1991_2020.csv,1,cleaned_gwl_tel_6_hourly_cgwb_mh_1991_2020.csv,0.0,cleaned_gwl_tel_6_hourly_cgwb_mh_1991_2020.xlsx,0.0
gwl_tel_6_hourly_cgwb_pb_1991_2020,gwl_tel_6_hourly_cgwb_pb_1991_2020.csv,160,cleaned_gwl_tel_6_hourly_cgwb_pb_1991_2020.csv,0.02,cleaned_gwl_tel_6_hourly_cgwb_pb_1991_2020.xlsx,0.02
gwl_tel_6_hourly_cgwb_py_1991_2020,gwl_tel_6_hourly_cgwb_py_1991_2020.csv,2,cleaned_gwl_tel_6_hourly_cgwb_py_1991_2020.csv,0.0,cleaned_gwl_tel_6_hourly_cgwb_py_1991_2020.xlsx,0.01
gwl_tel_6_hourly_cgwb_ts_1991_2020,gwl_tel_6_hourly_cgwb_ts_1991_2020.csv,1,cleaned_gwl_tel_6_hourly_cgwb_ts_1991_2020.csv,0.0,cleaned_gwl_tel_6_hourly_cgwb_ts_1991_2020.xlsx,0.0
gwl_tel_6_hourly_puducherry_py_2021_2025,gwl_tel_6_hourly_puducherry_py_2021_2025.csv,71764,cleaned_gwl_tel_6_hourly_puducherry_py_2021_2025.csv,11.16,N/A (>30k rows),0.0
gwl_tel_6_hourly_puducherry_py_2026_2030,gwl_tel_6_hourly_puducherry_py_2026_2030.csv,5798,cleaned_gwl_tel_6_hourly_puducherry_py_2026_2030.csv,0.92,cleaned_gwl_tel_6_hourly_puducherry_py_2026_2030.xlsx,0.46
rainfall_tel_hr_cwc_dl_2021_2025,rainfall_tel_hr_cwc_dl_2021_2025.csv,342,cleaned_rainfall_tel_hr_cwc_dl_2021_2025.csv,0.04,cleaned_rainfall_tel_hr_cwc_dl_2021_2025.xlsx,0.03
rainfall_tel_hr_cwc_dn_2021_2025,rainfall_tel_hr_cwc_dn_2021_2025.csv,12928,cleaned_rainfall_tel_hr_cwc_dn_2021_2025.csv,2.7,cleaned_rainfall_tel_hr_cwc_dn_2021_2025.xlsx,0.93
rainfall_tel_hr_cwc_jk_2021_2025,rainfall_tel_hr_cwc_jk_2021_2025.csv,3259,cleaned_rainfall_tel_hr_cwc_jk_2021_2025.csv,0.44,cleaned_rainfall_tel_hr_cwc_jk_2021_2025.xlsx,0.23
river_discharge_manual_daily_cwc_ap_2001_2025,river_discharge_manual_daily_cwc_ap_2001_2025.csv,173899,cleaned_river_discharge_manual_daily_cwc_ap_2001_2025.csv,27.04,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_cg_2001_2025,river_discharge_manual_daily_cwc_cg_2001_2025.csv,198873,cleaned_river_discharge_manual_daily_cwc_cg_2001_2025.csv,29.65,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_dd_2001_2025,river_discharge_manual_daily_cwc_dd_2001_2025.csv,349,cleaned_river_discharge_manual_daily_cwc_dd_2001_2025.csv,0.05,cleaned_river_discharge_manual_daily_cwc_dd_2001_2025.xlsx,0.03
river_discharge_manual_daily_cwc_ga_2001_2025,river_discharge_manual_daily_cwc_ga_2001_2025.csv,4020,cleaned_river_discharge_manual_daily_cwc_ga_2001_2025.csv,0.63,cleaned_river_discharge_manual_daily_cwc_ga_2001_2025.xlsx,0.3
river_discharge_manual_daily_cwc_jh_2001_2025,river_discharge_manual_daily_cwc_jh_2001_2025.csv,44704,cleaned_river_discharge_manual_daily_cwc_jh_2001_2025.csv,6.85,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_ka_2001_2025,river_discharge_manual_daily_cwc_ka_2001_2025.csv,301293,cleaned_river_discharge_manual_daily_cwc_ka_2001_2025.csv,44.27,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_kl_2001_2025,river_discharge_manual_daily_cwc_kl_2001_2025.csv,217538,cleaned_river_discharge_manual_daily_cwc_kl_2001_2025.csv,38.22,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_ml_2001_2025,river_discharge_manual_daily_cwc_ml_2001_2025.csv,2206,cleaned_river_discharge_manual_daily_cwc_ml_2001_2025.csv,0.39,cleaned_river_discharge_manual_daily_cwc_ml_2001_2025.xlsx,0.17
river_discharge_manual_daily_cwc_mp_2001_2025,river_discharge_manual_daily_cwc_mp_2001_2025.csv,298373,cleaned_river_discharge_manual_daily_cwc_mp_2001_2025.csv,45.04,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_mz_2001_2025,river_discharge_manual_daily_cwc_mz_2001_2025.csv,37933,cleaned_river_discharge_manual_daily_cwc_mz_2001_2025.csv,7.28,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_od_2001_2025,river_discharge_manual_daily_cwc_od_2001_2025.csv,198070,cleaned_river_discharge_manual_daily_cwc_od_2001_2025.csv,29.95,N/A (>30k rows),0.0
river_discharge_manual_daily_cwc_py_2001_2025,river_discharge_manual_daily_cwc_py_2001_2025.csv,17355,cleaned_river_discharge_manual_daily_cwc_py_2001_2025.csv,2.62,cleaned_river_discharge_manual_daily_cwc_py_2001_2025.xlsx,1.24
river_discharge_manual_daily_cwc_rj_2001_2025,river_discharge_manual_daily_cwc_rj_2001_2025.csv,27008,cleaned_river_discharge_manual_daily_cwc_rj_2001_2025.csv,3.73,cleaned_river_discharge_manual_daily_cwc_rj_2001_2025.xlsx,2.01
