Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Sirnabhatha,CG08DRG0897,21.47972267,81.32694753999999,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.97278461,19727.84613732143,532.4356467667911,No,No,No,No,Sirnabhatha,NWIC,3038,3038,21346.0,22,378,3316,442415,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,532.4356467667911,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Dangania,CG08DRG0898,21.48500749,81.31677900999999,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.5485957,15485.956951009723,467.22284014157003,No,No,No,No,Dangania,NWIC,3039,3039,21347.0,22,378,3316,442411,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,467.22284014157003,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Girhola,CG08DRG0899,21.39619278,81.43292042,Mahanadi,Mahanadi Upper,Gabdi,Ponds,3.5082052,35082.05199100629,694.7293525125644,No,No,No,No,Girhola,NWIC,3040,3040,21348.0,22,378,3316,442514,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,694.7293525125644,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Girhola,CG08DRG0900,21.403821230000002,81.43427083,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.98897853,19889.78534773674,588.4107041801337,Yes,Yes,Yes,No,Girhola,NWIC,3041,3041,21349.0,22,378,3316,442514,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,588.4107041801337,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Pitaura,CG08DRG0901,21.39598802,81.42153083999999,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.80594182,18059.418213209814,490.436987496108,No,No,No,No,Pitaura,NWIC,3042,3042,21350.0,22,378,3316,442511,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,490.436987496108,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Ghikundia,CG08DRG0902,21.402383320000002,81.4119383,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.66628096,16662.809568373006,665.1227850254471,No,No,No,No,Ghikundia,NWIC,3043,3043,21351.0,22,378,3316,442510,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,665.1227850254471,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Ghikundia,CG08DRG0903,21.40406993,81.41874445,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.08933577,10893.35765686046,399.19810717002395,Yes,Yes,Yes,No,Ghikundia,NWIC,3044,3044,21352.0,22,378,3316,442510,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,399.19810717002395,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Ghikundia,CG08DRG0904,21.40516944,81.42477425,Mahanadi,Mahanadi Upper,Gabdi,Ponds,3.98295788,39829.57875595165,1094.591615371558,No,No,Yes,No,Ghikundia,NWIC,3045,3045,21353.0,22,378,3316,442510,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,1094.591615371558,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Semaria,CG08DRG0905,21.42053558,81.41536613,Mahanadi,Mahanadi Upper,Gabdi,Ponds,1.30206416,13020.641644568355,444.5440953760063,Yes,Yes,Yes,No,Semaria,NWIC,3046,3046,21354.0,22,378,3316,442512,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,444.5440953760063,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Semaria,CG08DRG0906,21.42118696,81.42030464999999,Mahanadi,Mahanadi Upper,Gabdi,Ponds,2.90978508,29097.85079043372,657.9933380904049,No,No,No,No,Semaria,NWIC,3047,3047,21355.0,22,378,3316,442512,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,657.9933380904049,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Semaria,CG08DRG0907,21.41871849,81.42646731,Mahanadi,Mahanadi Upper,Gabdi,Ponds,2.07032083,20703.208330920526,585.089645049108,No,No,No,No,Semaria,NWIC,3048,3048,21356.0,22,378,3316,442512,08,08,MAU,MAU,WS08MAU015,,01,,,,,,,,0.0,0.0,,,,,,0,585.089645049108,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Semaria,CG08DRG0908,21.41960238,81.42808129,Mahanadi,Mahanadi Upper,Gabdi,Lakes,1.19946936,11994.693589947787,411.8126255053104,No,No,No,No,Semaria,NWIC,3049,3049,21357.0,22,378,3316,442512,08,08,MAU,MAU,WS08MAU015,,03,,,,,,,,0.0,0.0,,,,,,0,411.8126255053104,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Raveli,CG08DRG0909,21.114780229999997,81.4950548,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.39385872,13938.587219610597,448.4772067495363,No,No,No,No,Raveli,NWIC,3050,3050,21358.0,22,378,3318,442679,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,448.4772067495363,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Raveli,CG08DRG0910,21.11327098,81.49680384,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.30489888,13048.988807163829,436.0604830230217,No,No,No,No,Raveli,NWIC,3051,3051,21359.0,22,378,3318,442679,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,436.0604830230217,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Raveli,CG08DRG0911,21.112324700000002,81.49546360000001,Mahanadi,Mahanadi Upper,Kharun,Ponds,2.11667529,21166.75293556143,551.5772930438634,No,No,No,No,Raveli,NWIC,3052,3052,21360.0,22,378,3318,442679,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,551.5772930438634,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Loharsi,CG08DRG0912,21.10605623,81.49072763000001,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.04525731,10452.573105997802,384.12892003889436,No,No,No,No,Loharsi,NWIC,3053,3053,21361.0,22,378,3318,442681,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,384.12892003889436,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Pahdor,CG08DRG0913,21.13576881,81.45039045,Mahanadi,Mahanadi Upper,Kharun,Ponds,7.368750840000001,73687.50839115099,1245.9467299345645,No,No,No,No,Pahdor,NWIC,3054,3054,21362.0,22,378,3318,442661,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,1245.9467299345645,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Rakhi,CG08DRG0914,21.118634410000002,81.47287353,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.80315327,18031.532721183892,585.907078961347,No,No,No,No,Rakhi,NWIC,3055,3055,21363.0,22,378,3318,442680,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,585.907078961347,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Raveli,CG08DRG0915,21.11887405,81.48209402,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.23506036,12350.603573106258,419.1759827963005,No,No,No,No,Raveli,NWIC,3056,3056,21364.0,22,378,3318,442679,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,419.1759827963005,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Rakhi,CG08DRG0916,21.12026061,81.47835439,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.12920591,11292.059085064766,596.3271741777668,No,No,No,No,Rakhi,NWIC,3057,3057,21365.0,22,378,3318,442680,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,596.3271741777668,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Dhaur,CG08DRG0917,21.1202563,81.44412343,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.6251924,16251.924022144934,478.6387137623454,No,No,No,No,Dhaur,NWIC,3058,3058,21366.0,22,378,3318,442655,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,478.6387137623454,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Dhaur,CG08DRG0918,21.12101997,81.44654645,Mahanadi,Mahanadi Upper,Kharun,Ponds,2.36684299,23668.429853034362,571.7369001704604,No,No,No,No,Dhaur,NWIC,3059,3059,21367.0,22,378,3318,442655,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,571.7369001704604,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Dhaur,CG08DRG0919,21.10762257,81.43846936,Mahanadi,Mahanadi Upper,Kharun,Ponds,4.885832,48858.32000909159,879.8030663845043,No,No,No,No,Dhaur,NWIC,3060,3060,21368.0,22,378,3318,442655,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,879.8030663845043,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Achanakpur,CG08DRG0920,21.10939674,81.45848682,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.76199893,17619.989250377163,498.2335044737843,No,No,No,No,Achanakpur,NWIC,3061,3061,21369.0,22,378,3318,442678,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,498.2335044737843,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Dhamdha,Kandai,CG08DRG1003,21.460941499999997,81.42258882,Mahanadi,Mahanadi Upper,Gabdi,Lakes,1.17121263,11712.126341547408,413.6676228104198,No,No,No,No,Kandai,NWIC,3144,3144,21452.0,22,378,3316,442503,08,08,MAU,MAU,WS08MAU015,,03,,,,,,,,0.0,0.0,,,,,,0,413.6676228104198,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Patan,Godpendri,CG08DRG0921,21.09736712,81.45050922,Mahanadi,Mahanadi Upper,Kharun,Ponds,1.04838599,10483.85985093299,393.6655818645213,No,No,No,No,Godpendri,NWIC,3062,3062,21370.0,22,378,3318,442682,08,08,MAU,MAU,WS08MAU021,,01,,,,,,,,0.0,0.0,,,,,,0,393.6655818645213,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Achhoti,CG08DRG0922,21.0868693,81.26013599999999,Mahanadi,Mahanadi Upper,Tandula,Ponds,2.1690415,21690.415030379085,580.3079583768131,No,No,No,No,Achhoti,NWIC,3063,3063,21371.0,22,378,3317,442616,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,580.3079583768131,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Kuthrel,CG08DRG0923,21.09169103,81.27160782,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.28801746,12880.174624018073,449.1226328075639,No,No,No,No,Kuthrel,NWIC,3064,3064,21372.0,22,378,3317,442608,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,449.1226328075639,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Kuthrel,CG08DRG0924,21.09060246,81.2812325,Mahanadi,Mahanadi Upper,Tandula,Ponds,2.59460809,25946.080896846168,677.8343946785351,No,No,No,No,Kuthrel,NWIC,3065,3065,21373.0,22,378,3317,442608,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,677.8343946785351,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Kuthrel,CG08DRG0925,21.093292899999998,81.28130736,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.18201824,11820.182399940433,420.29687929448795,No,No,No,No,Kuthrel,NWIC,3066,3066,21374.0,22,378,3317,442608,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,420.29687929448795,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Kuthrel,CG08DRG0926,21.09508218,81.28094951,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.02077938,10207.793842663636,376.67051868241333,No,No,No,No,Kuthrel,NWIC,3067,3067,21375.0,22,378,3317,442608,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,376.67051868241333,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Kuthrel,CG08DRG0927,21.096429269999998,81.27726908,Mahanadi,Mahanadi Upper,Tandula,Ponds,2.00713205,20071.320459922816,534.4421872913362,No,No,No,No,Kuthrel,NWIC,3068,3068,21376.0,22,378,3317,442608,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,534.4421872913362,District Water Body Atlas
