SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,River Water Level (m),Area (m2),Velocity (m/sec),Total_discharge (m3/sec)
1,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-01-08 08:00:00,-0.8,,,336.459
2,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-08 08:00:00,-0.9,,,430.807
3,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-08 09:00:00,-1.7,1138.67,1.1955999,809.497
4,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-12-08 08:00:00,0.4,,,434.668
5,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-13 09:00:00,-1.25,775.9,0.71180004,337.84155
6,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-14 09:00:00,-1.0,650.3,0.8569401,326.15298
7,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-16 09:00:00,0.35000002,1377.35,0.893225,816.64355
8,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-17 09:00:00,0.4,1101.6,2.7981875,570.8629
9,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-18 09:00:00,0.20000002,957.12,0.34895,266.36194
10,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-19 09:00:00,-0.54999995,790.34,0.34895,219.73825
11,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-21 09:00:00,-1.6,895.32,0.34895,205.86375
12,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-22 08:00:00,-0.9,,,445.017
13,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-23 09:00:00,-1.9,815.8,0.2582375,159.01846
14,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-24 09:00:00,-2.1,818.5,0.2582375,149.52144
15,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-25 08:00:00,-2.3000002,784.0,0.16752501,123.955605
16,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-26 09:00:00,-2.0,887.54,0.2582375,172.1325
17,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-27 09:00:00,-0.7,779.2,0.34895,195.54005
18,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-28 09:00:00,-0.1,816.45,0.71180004,228.3664
19,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-29 08:00:00,-1.4,,,281.554
20,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-31 09:00:00,0.25,807.9,0.34895,180.87024
21,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-01-09 09:00:00,0.35000002,793.54,0.2582375,145.2112
22,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-02-09 09:00:00,-0.1,779.91,0.34895,201.80351
23,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-03-09 09:00:00,-1.3,754.6,0.4396625,220.0097
24,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-04-09 09:00:00,-1.6,729.7,0.4396625,230.31569
25,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-05-09 08:00:00,-1.0,,,473.239
26,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-06-09 09:00:00,-1.8,724.76,0.4396625,217.4854
27,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-07-09 09:00:00,-2.1,1101.8,0.2582375,191.51494
28,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-09 09:00:00,-1.4000001,1199.29,0.4396625,345.56665
29,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-09 09:00:00,-0.40000004,1209.7,0.53037506,420.1636
30,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-09 09:00:00,-0.9,1185.69,0.748085,532.76245
