SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
1,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2023-10-07 08:00:00,0.7,,,
2,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2023-07-20 08:00:00,0.2,,,
3,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2023-10-20 08:00:00,0.3,,,
4,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2023-01-11 08:00:00,0.4,,,
5,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2023-12-20 08:00:00,0.2,,,
6,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2025-01-04 08:00:00,1.0,,,
7,Bhalukpong,CWC,12,Arunachal Pradesh,242,WEST KAMENG,BHALUKPONG,-,-,Brahmaputra,Brahmaputra,Kamang,-,-,Kamang,27.0175,92.6375,2025-04-19 08:00:00,1.4,,,
8,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,2023-10-07 08:00:00,0.3,,,
9,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,2023-10-20 08:00:00,0.7,,,
10,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,2023-12-20 08:00:00,0.6,,,
11,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,2024-01-01 08:00:00,0.1,,,
12,Boleng,CWC,12,Arunachal Pradesh,243,WEST SIANG,ALONG,-,-,Brahmaputra,Brahmaputra,Siang,-,-,Siang,28.30805556,94.96111111,2024-01-05 08:00:00,0.6,,,
13,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2023-10-07 08:00:00,0.4,,,
14,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2023-07-20 08:00:00,0.4,,,
15,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2023-10-20 08:00:00,0.5,,,
16,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2023-12-20 08:00:00,0.9,,,
17,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2024-01-01 08:00:00,0.1,,,
18,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2024-01-20 08:00:00,1.2,,,
19,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2024-04-20 08:45:00,0.7,,,
20,BOMJIR,CWC,12,Arunachal Pradesh,235,Lower Dibang Valley,Dumbuk-Paglam,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,28.15777778,95.66833333,2024-01-05 08:45:00,0.6,,,
21,CHOWKHAMGHAT,CWC,12,Arunachal Pradesh,234,LOHIT,NAMSAI-CHOWKHAM,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,27.84777778,96.02833333,2023-10-04 08:00:00,0.1,,,
22,CHOWKHAMGHAT,CWC,12,Arunachal Pradesh,234,LOHIT,NAMSAI-CHOWKHAM,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,27.84777778,96.02833333,2023-10-08 08:00:00,1.1,,,
23,CHOWKHAMGHAT,CWC,12,Arunachal Pradesh,234,LOHIT,NAMSAI-CHOWKHAM,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,27.84777778,96.02833333,2024-01-01 08:00:00,0.1,,,
24,CHOWKHAMGHAT,CWC,12,Arunachal Pradesh,234,LOHIT,NAMSAI-CHOWKHAM,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,27.84777778,96.02833333,2024-01-20 08:00:00,0.2,,,
25,CHOWKHAMGHAT,CWC,12,Arunachal Pradesh,234,LOHIT,NAMSAI-CHOWKHAM,-,-,Brahmaputra,Brahmaputra,Lohit,-,-,Lohit,27.84777778,96.02833333,2024-04-22 09:15:00,0.2,,,
26,Daporizo,CWC,12,Arunachal Pradesh,241,UPPER SUBANSIRI,DAPORIJO,-,-,Brahmaputra,Brahmaputra,Subansiri,-,-,Subansiri,27.99333333,94.22333333,2023-01-04 08:00:00,0.3,,,
27,Doimukh,CWC,12,Arunachal Pradesh,237,PAPUM PARE,DOIMUKH,-,-,Brahmaputra,Brahmaputra,Dikrong,-,-,Dikrong,27.13833333,93.75194444,2023-01-04 08:00:00,0.7,,,
28,Doimukh,CWC,12,Arunachal Pradesh,237,PAPUM PARE,DOIMUKH,-,-,Brahmaputra,Brahmaputra,Dikrong,-,-,Dikrong,27.13833333,93.75194444,2023-10-04 08:00:00,0.5,,,
29,Doimukh,CWC,12,Arunachal Pradesh,237,PAPUM PARE,DOIMUKH,-,-,Brahmaputra,Brahmaputra,Dikrong,-,-,Dikrong,27.13833333,93.75194444,2023-10-05 08:00:00,0.1,,,
30,Doimukh,CWC,12,Arunachal Pradesh,237,PAPUM PARE,DOIMUKH,-,-,Brahmaputra,Brahmaputra,Dikrong,-,-,Dikrong,27.13833333,93.75194444,2023-01-07 08:00:00,0.5,,,
31,Doimukh,CWC,12,Arunachal Pradesh,237,PAPUM PARE,DOIMUKH,-,-,Brahmaputra,Brahmaputra,Dikrong,-,-,Dikrong,27.13833333,93.75194444,2023-10-20 08:00:00,0.8,,,
