Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Ghelo   Vallabhipur,Gujarat,BHAVNAGAR,VALLABHIPUR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.88138889,71.8775,1970-10-25 14:00:00,0.0
Ghelo   Vallabhipur,Gujarat,BHAVNAGAR,VALLABHIPUR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.88138889,71.8775,1970-11-19 22:00:00,0.0
Gondli,Gujarat,RAJKOT,KOTDA SANGANI,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,22.04583333,70.88194444,1970-10-05 05:00:00,0.0
Hanol,Gujarat,BHAVNAGAR,PALITANA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.62,71.74361111,1970-11-10 21:00:00,0.0
Hiran-2 dam,Gujarat,GIR SOMNATH,Talala,-,Hiran,West flowing rivers of Kutch and Saurashtra including Luni,21.02416667,70.47111111,1970-10-07 10:31:00,0.0
Hiran-I,Gujarat,JUNAGADH,TALALA,-,Hiran,West flowing rivers of Kutch and Saurashtra including Luni,21.20277778,70.66111111,1970-03-17 00:00:00,0.0
Hiran   Sasan-Gir,Gujarat,JUNAGADH,TALALA,-,Raval,West flowing rivers of Kutch and Saurashtra including Luni,21.17527778,70.58666667,1970-10-06 07:00:00,0.0
Jamnagar,Gujarat,JAMNAGAR,JAMNAGAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.46305556,70.07611111,1970-01-14 02:00:00,0.0
Kalindri,Gujarat,PORBANDAR,KUTIYANA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.70861111,69.95611111,1970-10-12 12:00:00,0.0
Kalubhar dam,Gujarat,BOTAD,Gadhada,-,Kalubhar,West flowing rivers of Kutch and Saurashtra including Luni,21.86055556,71.63,1970-01-02 00:00:00,0.0
Kalubhar   Umarala,Gujarat,BHAVNAGAR,UMRALA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.8475,71.8025,1970-08-01 20:00:00,0.0
Kalubhar   Umarala,Gujarat,BHAVNAGAR,UMRALA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.8475,71.8025,1970-10-12 00:00:00,0.0
Kanodar,Gujarat,BANASKANTHA,PALANPUR,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,24.07388889,72.39388889,1976-04-11 16:00:00,0.0
Keri   Goradka,Gujarat,BHAVNAGAR,GADHADA,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,22.02638889,71.60833333,1970-09-02 00:00:00,0.0
Keri   Goradka,Gujarat,BHAVNAGAR,GADHADA,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,22.02638889,71.60833333,1970-10-09 02:01:00,0.0
Keri   Goradka,Gujarat,BHAVNAGAR,GADHADA,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,22.02638889,71.60833333,1970-10-11 12:00:00,0.0
Keri   Goradka,Gujarat,BHAVNAGAR,GADHADA,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,22.02638889,71.60833333,1970-10-14 14:00:00,0.0
Khambhaliya,Gujarat,JUNAGADH,VISAVADAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.39611111,70.65833333,1970-01-04 07:00:00,0.0
Khambhaliya,Gujarat,JUNAGADH,VISAVADAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.39611111,70.65833333,1974-05-04 18:00:00,0.0
Khambhaliya,Gujarat,JUNAGADH,VISAVADAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.39611111,70.65833333,1975-09-10 19:00:00,0.0
Khari   Ziliya,Gujarat,PATAN,CHANASMA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.69388889,72.17083333,1970-10-30 00:00:00,0.0
KHOKHARA VARSAMEDI,Gujarat,KACHCHH,ANJAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.14333333,70.10194444,1970-01-14 00:35:00,0.0
KHOKHARA VARSAMEDI,Gujarat,KACHCHH,ANJAR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.14333333,70.10194444,1975-12-03 08:00:00,0.0
Kuvarika_Navavas,Gujarat,BANASKANTHA,DANTA,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,24.14277778,72.74027778,1970-01-14 18:00:00,0.0
Machhundri,Gujarat,GIR SOMNATH,Una,-,Machhundri,West flowing rivers of Kutch and Saurashtra including Luni,20.97777778,70.92944444,1970-11-12 20:00:00,0.0
Madhuvanti,Gujarat,JUNAGADH,MENDARDA,-,Madhuvanti,West flowing rivers of Kutch and Saurashtra including Luni,21.26194444,70.48805556,1970-01-09 13:00:00,0.0
Madhuvanti,Gujarat,JUNAGADH,MENDARDA,-,Madhuvanti,West flowing rivers of Kutch and Saurashtra including Luni,21.26194444,70.48805556,1970-08-15 10:00:00,0.0
Majevadi,Gujarat,JUNAGADH,JUNAGADH,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,21.60972222,70.41166667,1970-07-08 07:00:00,0.0
Majevadi,Gujarat,JUNAGADH,JUNAGADH,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,21.60972222,70.41166667,1970-10-29 00:00:00,0.0
Majevadi,Gujarat,JUNAGADH,JUNAGADH,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,21.60972222,70.41166667,1971-03-03 21:00:00,0.0
Malan,Gujarat,BHAVNAGAR,MAHUVA,-,Malan,West flowing rivers of Kutch and Saurashtra including Luni,21.22305556,71.62833333,1970-10-13 13:00:00,0.0
Malan   Mahuva,Gujarat,BHAVNAGAR,MAHUVA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.085,71.75916667,1970-01-15 00:00:00,0.0
Malan   Mahuva,Gujarat,BHAVNAGAR,MAHUVA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.085,71.75916667,1970-08-13 03:00:00,0.0
Malan   Mahuva,Gujarat,BHAVNAGAR,MAHUVA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.085,71.75916667,1970-11-01 02:00:00,0.0
Mitti dam,Gujarat,KACHCHH,Naliya,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.32833333,68.82861111,1970-09-08 18:00:00,0.0
Mukteshwar,Gujarat,BANASKANTHA,Kheralu,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,24.04027778,72.62777778,1970-07-30 01:00:00,0.0
Mukteshwar,Gujarat,BANASKANTHA,Kheralu,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,24.04027778,72.62777778,1970-11-11 07:00:00,0.0
Mukteshwar,Gujarat,BANASKANTHA,Kheralu,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,24.04027778,72.62777778,1971-10-02 11:00:00,0.0
Munjiasar,Gujarat,AMRELI,BAGASARA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.47444444,70.91722222,1974-05-04 19:00:00,0.0
NAREDA KOTHARA,Gujarat,KACHCHH,Naliya,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.16388889,68.90888889,1970-11-03 18:00:00,0.0
Niruna dam,Gujarat,KACHCHH,NAKHATRANA,-,Bhurud,West flowing rivers of Kutch and Saurashtra including Luni,23.43861111,69.49666667,1970-02-18 22:00:00,0.0
Niruna dam,Gujarat,KACHCHH,NAKHATRANA,-,Bhurud,West flowing rivers of Kutch and Saurashtra including Luni,23.43861111,69.49666667,1970-09-07 12:00:00,0.0
Niruna dam,Gujarat,KACHCHH,NAKHATRANA,-,Bhurud,West flowing rivers of Kutch and Saurashtra including Luni,23.43861111,69.49666667,1972-06-11 15:00:00,0.0
Ozat-II,Gujarat,JUNAGADH,JUNAGADH,-,Ozat,West flowing rivers of Kutch and Saurashtra including Luni,21.38444444,70.57861111,1970-10-05 00:00:00,0.0
Ozat-II,Gujarat,JUNAGADH,JUNAGADH,-,Ozat,West flowing rivers of Kutch and Saurashtra including Luni,21.38444444,70.57861111,1970-10-08 17:00:00,0.0
Padalio   muldharai,Gujarat,BHAVNAGAR,VALLABHIPUR,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,22.00944444,71.88611111,1970-10-21 13:00:00,0.0
Padalio   muldharai,Gujarat,BHAVNAGAR,VALLABHIPUR,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,22.00944444,71.88611111,1970-11-16 15:00:00,0.0
Padalio   muldharai,Gujarat,BHAVNAGAR,VALLABHIPUR,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,22.00944444,71.88611111,1973-02-15 11:00:00,0.0
Pilucha,Gujarat,BANASKANTHA,VADGAM,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,23.98111111,72.52166667,1970-10-31 16:00:00,0.0
Pilucha,Gujarat,BANASKANTHA,VADGAM,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,23.98111111,72.52166667,1970-11-16 07:00:00,0.0
Pilucha,Gujarat,BANASKANTHA,VADGAM,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,23.98111111,72.52166667,1970-11-19 14:00:00,0.0
Pilucha,Gujarat,BANASKANTHA,VADGAM,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,23.98111111,72.52166667,1976-04-11 10:00:00,0.0
Rajawal   Mokhadka,Gujarat,BHAVNAGAR,PALITANA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.58222222,71.84972222,1970-01-01 06:00:00,0.0
Rajawal   Mokhadka,Gujarat,BHAVNAGAR,PALITANA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.58222222,71.84972222,1970-04-20 06:00:00,0.0
Rana-Kandorana,Gujarat,PORBANDAR,RANAVAV,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.64805556,69.88805556,1970-01-08 07:00:00,0.0
Rana-Kandorana,Gujarat,PORBANDAR,RANAVAV,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.64805556,69.88805556,1970-03-01 09:00:00,0.0
Ranghola,Gujarat,BHAVNAGAR,UMRALA,-,Ambika,West flowing rivers of Kutch and Saurashtra including Luni,21.765,71.65277778,1969-12-07 22:00:00,0.0
Ranpur,Gujarat,BOTAD,Ranpur,-,Ozat,West flowing rivers of Kutch and Saurashtra including Luni,22.35027778,71.72055556,1969-12-31 18:00:00,0.0
Raval   Samter,Gujarat,JUNAGADH,UNA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,20.85111111,71.1175,1970-07-23 07:00:00,0.0
Raval   Samter,Gujarat,JUNAGADH,UNA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,20.85111111,71.1175,1970-10-08 16:00:00,0.0
Raval   Samter,Gujarat,JUNAGADH,UNA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,20.85111111,71.1175,1970-10-30 21:32:00,0.0
Rojki,Gujarat,BHAVNAGAR,MAHUVA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.22666667,71.68083333,1970-10-03 20:00:00,0.0
Rudramata dam,Gujarat,KACHCHH,BHUJ,-,Luni,West flowing rivers of Kutch and Saurashtra including Luni,23.37388889,69.7125,1969-12-31 14:00:00,0.0
Rudramata dam,Gujarat,KACHCHH,BHUJ,-,Luni,West flowing rivers of Kutch and Saurashtra including Luni,23.37388889,69.7125,1970-01-09 09:00:00,0.0
Rupen_Timbi,Gujarat,AMRELI,JAFRABAD,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,20.89138889,71.20222222,1971-08-11 06:00:00,0.0
SAI SAMBHARAI,Gujarat,KACHCHH,MANDVI,-,Chok,West flowing rivers of Kutch and Saurashtra including Luni,23.00833333,69.10416667,1970-01-07 15:00:00,0.0
SAI SAMBHARAI,Gujarat,KACHCHH,MANDVI,-,Chok,West flowing rivers of Kutch and Saurashtra including Luni,23.00833333,69.10416667,1970-10-04 07:00:00,0.0
Saraswati   Pranchi,Gujarat,JUNAGADH,SUTRAPADA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,20.90388889,70.52611111,1970-10-01 03:00:00,0.0
Saraswati_Sidhpur,Gujarat,PATAN,SIDHPUR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.90361111,72.36694444,1970-01-09 03:00:00,0.0
Saraswati_Sidhpur,Gujarat,PATAN,SIDHPUR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.90361111,72.36694444,1970-01-10 05:00:00,0.0
Saraswati_Sidhpur,Gujarat,PATAN,SIDHPUR,-,-,West flowing rivers of Kutch and Saurashtra including Luni,23.90361111,72.36694444,1970-10-08 15:00:00,0.0
Shell Dedumal,Gujarat,AMRELI,KUNDLA-SAVAR,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.30722222,71.23416667,1970-10-14 18:00:00,0.0
Shetrunji   Junasavar,Gujarat,AMRELI,LILIA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.46194444,71.39222222,1970-01-15 17:00:00,0.0
Shetrunji   Junasavar,Gujarat,AMRELI,LILIA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.46194444,71.39222222,1970-10-09 13:00:00,0.0
Shetrunji   Junasavar,Gujarat,AMRELI,LILIA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.46194444,71.39222222,1976-05-12 23:00:00,0.0
shingoda,Gujarat,BANASKANTHA,Shihori,-,-,West flowing rivers of Kutch and Saurashtra including Luni,24.04638889,72.00888889,1970-03-28 04:00:00,0.0
Sorthi dam,Gujarat,PORBANDAR,PORBANDAR,-,Vartu,West flowing rivers of Kutch and Saurashtra including Luni,21.93916667,69.59388889,1970-01-01 00:00:00,0.0
Sorthi dam,Gujarat,PORBANDAR,PORBANDAR,-,Vartu,West flowing rivers of Kutch and Saurashtra including Luni,21.93916667,69.59388889,1970-05-03 09:00:00,0.0
Soyal,Gujarat,JAMNAGAR,DHROL,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.55305556,70.36472222,1970-01-29 14:00:00,0.0
Soyal,Gujarat,JAMNAGAR,DHROL,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.55305556,70.36472222,1970-08-22 04:00:00,0.0
Soyal,Gujarat,JAMNAGAR,DHROL,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.55305556,70.36472222,1970-11-21 05:00:00,0.0
Sukhbhadar,Gujarat,SURENDRANAGAR,SAYLA,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,22.34555556,71.53916667,1970-01-08 04:00:00,0.0
SURKHAN BHADRESHWAR,Gujarat,KACHCHH,MUNDRA,-,-,West flowing rivers of Kutch and Saurashtra including Luni,22.905,69.89,1970-07-25 00:00:00,0.0
Talaji   Talaja,Gujarat,BHAVNAGAR,TALAJA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.35333333,72.03416667,1970-10-04 17:00:00,0.0
Talaji   Talaja,Gujarat,BHAVNAGAR,TALAJA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.35333333,72.03416667,1970-10-14 00:00:00,0.0
Talaji   Talaja,Gujarat,BHAVNAGAR,TALAJA,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,21.35333333,72.03416667,1970-11-04 13:00:00,0.0
Uben dam,Gujarat,JUNAGADH,BHESAN,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.62222222,70.62777778,1970-03-18 11:00:00,0.0
Uben dam,Gujarat,JUNAGADH,BHESAN,-,-,West flowing rivers of Kutch and Saurashtra including Luni,21.62222222,70.62777778,1976-06-03 15:00:00,0.0
Utavali   Barwala,Gujarat,BOTAD,-,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,22.14666667,71.89611111,1970-10-10 21:00:00,0.0
Vartu-II,Gujarat,DEVBHUMI DWARKA,Bhanvad,-,Vartu,West flowing rivers of Kutch and Saurashtra including Luni,21.9225,69.705,1970-01-12 00:00:00,0.0
Vartu-II,Gujarat,DEVBHUMI DWARKA,Bhanvad,-,Vartu,West flowing rivers of Kutch and Saurashtra including Luni,21.9225,69.705,1970-10-06 00:00:00,0.0
Vartu-II,Gujarat,DEVBHUMI DWARKA,Bhanvad,-,Vartu,West flowing rivers of Kutch and Saurashtra including Luni,21.9225,69.705,1970-10-08 06:00:00,0.0
Vartu-II,Gujarat,DEVBHUMI DWARKA,Bhanvad,-,Vartu,West flowing rivers of Kutch and Saurashtra including Luni,21.9225,69.705,1972-06-08 23:00:00,0.0
