Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Water_Level_m
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-23 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-24 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-25 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-26 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-27 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-28 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-29 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-07-31 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-01 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-02 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-03 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-04 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-05 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-08 08:00:00,64.389
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-09 08:00:00,64.142
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-10 08:00:00,63.993
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-11 08:00:00,63.993
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-12 08:00:00,63.993
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-13 08:00:00,63.837
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-15 08:00:00,63.837
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-16 08:00:00,63.837
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-17 08:00:00,63.993
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-18 08:00:00,63.837
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-19 08:00:00,63.837
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-20 08:00:00,63.834
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-21 08:00:00,63.834
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-22 08:00:00,63.993
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-23 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-24 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-25 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-26 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-27 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-28 08:00:00,64.295
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-29 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-30 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-08-31 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-01 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-02 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-03 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-04 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-05 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-06 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-07 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-08 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-09 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-10 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-11 08:00:00,64.282
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-12 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-13 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-14 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-15 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-16 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-17 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-18 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-19 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-20 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-21 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-22 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-23 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-24 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-25 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-26 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-27 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-28 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-29 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-09-30 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-01 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-02 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-03 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-04 08:00:00,64.435
