Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,West Bengal,Dinajpur Dakshin,Tapan,Bezahar,WB2ADPD0292,25.29608802,88.62606793,Ganga,Bhagirathi and others (Ganga Lower),Purnabhaba,Lakes/Pond,1.28913891,12891.389123335302,433.50955099544313,,NWIC,1162,1162,32441.0,19,310,2205,311517,2A,2A,BHG,BHG,WS2ABHG016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,433.50955099544313,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Gangarampur,Bikair,WB2ADPD0178,25.384602389999998,88.44313551,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.13395772,11339.57716366467,411.68967699941874,,NWIC,1163,1163,32442.0,19,310,2201,310613,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,411.68967699941874,District Water Body Atlas
Phase 2,West Bengal,Maldah,Ratua - I,Gouripur,WB2AMLD0218,25.19229666,87.99761365,Ganga,Bhagirathi and others (Ganga Lower),Mahananda,Lakes/Pond,1.27575192,12757.519211353196,472.78054882520297,,NWIC,1164,1164,32443.0,19,316,2212,312413,2A,2A,BHG,BHG,WS2ABHG021,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,Yes,No,Yes,No,No,No,Yes,0,472.78054882520297,District Water Body Atlas
Phase 2,West Bengal,Maldah,Gazole,Taherkhani,WB2AMLD0112,25.27963873,88.26057404999999,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.13857231,11385.723127976788,409.9003199258201,,NWIC,1165,1165,32444.0,19,316,2214,312630,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,Yes,No,No,No,No,No,No,0,409.9003199258201,District Water Body Atlas
Phase 2,West Bengal,Maldah,English Bazar,Jot Narasinha,WB2AMLD0024,25.056132950000002,88.09647795000001,Ganga,Bhagirathi and others (Ganga Lower),Bhagirathi,Lakes/Pond,1.02682243,10268.224290406748,371.3324701099652,,NWIC,1166,1166,32445.0,19,316,2218,313366,2A,2A,BHG,BHG,WS2ABHG025,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,371.3324701099652,District Water Body Atlas
Phase 2,West Bengal,Maldah,Maldah (Old),Goalpara,WB2AMLD0426,25.12742528,88.13843457,Ganga,Bhagirathi and others (Ganga Lower),Mahananda,Lakes/Pond,2.15199616,21519.961598458038,597.9885465489083,,NWIC,1167,1167,32446.0,19,316,2217,313227,2A,2A,BHG,BHG,WS2ABHG021,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,597.9885465489083,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Tapan,Nababnagar,WB2ADPD0087,25.24804899,88.46676112,Ganga,Bhagirathi and others (Ganga Lower),Purnabhaba,Lakes/Pond,1.06397966,10639.796560813702,372.76821877739445,,NWIC,1168,1168,32447.0,19,310,2205,311565,2A,2A,BHG,BHG,WS2ABHG016,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,372.76821877739445,District Water Body Atlas
Phase 2,West Bengal,Maldah,Ratua - II,Elahabad,WB2AMLD0273,25.1405973,88.06985429,Ganga,Bhagirathi and others (Ganga Lower),Mahananda,Lakes/Pond,1.41140162,14114.016158738552,434.7759140834155,,NWIC,1169,1169,32449.0,19,316,2213,312457,2A,2A,BHG,BHG,WS2ABHG021,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,434.7759140834155,District Water Body Atlas
Phase 2,West Bengal,Dinajpur Dakshin,Kushmundi,Katasan,WB2ADPD0048,25.46181755,88.36968661,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.03309874,10330.98738620441,390.2833781353449,,NWIC,1170,1170,32451.0,19,310,2200,310459,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,390.2833781353449,District Water Body Atlas
Phase 2,West Bengal,Maldah,Harischandrapur - I,Madhaipur,WB2AMLD0401,25.5039234,87.88959547,Ganga,Bhagirathi and others (Ganga Lower),Kamla,Lakes/Pond,1.98183791,19818.379052426368,554.5933693248473,,NWIC,1171,1171,32452.0,19,316,2208,311973,2A,2A,BHG,BHG,WS2ABHG006,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,554.5933693248473,District Water Body Atlas
Phase 2,West Bengal,Maldah,Gazole,Parahar,WB2AMLD0234,25.136301099999997,88.20868959,Ganga,Bhagirathi and others (Ganga Lower),Tangan,Lakes/Pond,1.31316126,13131.612584842176,423.24429613405755,,NWIC,1172,1172,32453.0,19,316,2214,312538,2A,2A,BHG,BHG,WS2ABHG017,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,423.24429613405755,District Water Body Atlas
