Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0968,20.40069394,81.76498855,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,2.00776681,20077.668058903848,640.386795454116,Amjhera R F,NWIC,2684,2684,55198.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,640.386795454116,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Sankra,CG08DMT0969,20.42935754,81.75825742,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,1.27323038,12732.30381024908,446.38817898970854,Sankra,NWIC,2685,2685,55199.0,22,377,3347,447219,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,0,446.38817898970854,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0970,20.41991127,81.77251231,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,2.22835768,22283.576783524204,823.3889914896006,Amjhera R F,NWIC,2686,2686,55200.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,No,0,823.3889914896006,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0971,20.41977597,81.8052076,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,3.50467791,35046.77910774354,1106.7146115919195,Amjhera R F,NWIC,2687,2687,55201.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,Yes,No,Yes,No,Yes,0,1106.7146115919195,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Gattasilli,CG08DMT0979,20.447395179999997,81.82142302999999,Mahanadi,Mahanadi Middle,Ama,Tank,1.76592779,17659.27791593276,532.7330928757765,Gattasilli,NWIC,2695,2695,55209.0,22,377,3347,447213,08,08,MAM,MAM,WS08MAM007,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,532.7330928757765,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0972,20.42384872,81.81640436,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,1.47350643,14735.064319113158,694.0519496736212,Amjhera R F,NWIC,2688,2688,55202.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,Yes,No,Yes,No,No,0,694.0519496736212,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Joradabri Ryt,CG08DMT0973,20.44879764,81.82978382,Mahanadi,Mahanadi Middle,Ama,Tank,1.97257898,19725.78981245534,556.9934013657885,Joradabri Ryt,NWIC,2689,2689,55203.0,22,377,3347,447228,08,08,MAM,MAM,WS08MAM007,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,556.9934013657885,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Karaiha,CG08DMT0974,20.432004919999997,81.74491873,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,4.19012152,41901.215243326,1015.9815479132125,Karaiha,NWIC,2690,2690,55204.0,22,377,3347,447216,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1015.9815479132125,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Karaiha,CG08DMT0975,20.447431780000002,81.74986643999999,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,1.30927987,13092.798662421546,508.469968994223,Karaiha,NWIC,2691,2691,55205.0,22,377,3347,447216,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,508.469968994223,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0976,20.447430620000002,81.75867912,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,1.34625771,13462.577141946276,448.6011142597334,Amjhera R F,NWIC,2692,2692,55206.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,448.6011142597334,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0977,20.46806446,81.75945989,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,2.54267309,25426.73090320734,653.1363367436865,Amjhera R F,NWIC,2693,2693,55207.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,Yes,No,No,No,No,No,No,No,No,0,653.1363367436865,District Water Body Atlas
Phase 2,Chhattisgarh,Dhamtari,Nagri,Amjhera R F,CG08DMT0980,20.45641852,81.85615865999999,Mahanadi,Mahanadi Middle,Ama,Lakes/Pond,2.89777348,28977.73482740825,659.3785737015505,Amjhera R F,NWIC,2696,2696,55210.0,22,377,3347,999999,08,08,MAM,MAM,WS08MAM007,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,659.3785737015505,District Water Body Atlas
