Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_name,Waterbody_Category_Code,waterbody_nature,Ownership,waterbody_use,waterbody_use_type,reason_not_in_use,waterbody_encroached,Rural_Urban,Water_Spread_Area,Storage_Capacity,construction_year,renovation_year,data_collection_method,waterbody_under_govt_scheme,wbid,photo,Dataset_Name
Phase 1,Uttarakhand,UK,Nainital,Dhari,Hatyari Taal,UK2ANNT0004,29.20459244,79.75884737,Ganga,Ramganga,Nandhaur,Ponds,3.49414947,34941.49472968222,865.2770731255,No,No,No,No,Hatyari Taal,NWIC,5,5,32060.0,05,051,0341,055073,2A,2A,RAM,RAM,WS2ARAM032,Hatydarital,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Haldwani,Gola Range,UK2ANNT0005,29.162406160000003,79.52978889,Ganga,Ramganga,Dhora,Ponds,3.05224112,30522.411212737825,805.5169638424477,No,No,No,Yes,Gola Range,NWIC,6,6,32061.0,05,051,0342,055292,2A,2A,RAM,RAM,WS2ARAM020,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Vikas Nagar,Sahas Pur,UK2ADHR0001,30.38755383,77.81300822,Ganga,Yamuna Upper,Asan (Tons),Ponds,1.76592107,17659.210687364073,514.1598456566437,Yes,Yes,Yes,No,Sahas Pur,NWIC,7,7,32062.0,05,049,0303,045094,2A,2A,YAU,YAU,WS2AYAU013,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Dehradun,Dehradun Cb,UK2ADHR0002,30.33119327,77.96886121,Ganga,Yamuna Upper,Asan (Tons),Ponds,2.11031623,21103.16233133006,690.0921738435475,No,No,No,No,Malukawala,NWIC,8,8,32063.0,05,049,0304,800310,2A,2A,YAU,YAU,WS2AYAU013,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Nainital,Suriyagaon,UK2ANNT0006,29.34774705,79.53242351,Ganga,Ramganga,Gola/Kiccha,Ponds,18.92371301,189237.1301173192,3721.2355466210274,No,No,No,No,Suriyagaon,NWIC,10,10,32065.0,05,051,0340,054870,2A,2A,RAM,RAM,WS2ARAM018,Sat Tal,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Nainital,Saahkhola,UK2ANNT0007,29.32252983,79.58484259000001,Ganga,Ramganga,Gola/Kiccha,Ponds,29.91970214,299197.02143275377,3307.8113980077246,No,No,No,No,Saahkhola,NWIC,11,11,32066.0,05,051,0340,054855,2A,2A,RAM,RAM,WS2ARAM018,Naukucchiya Tal,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Vikas Nagar,Bavandhar,UK2ADHR0007,30.51941759,77.91529494,Ganga,Yamuna Upper,Yamuna,Tanks,4.84145277,48414.52766121757,867.8703050074882,No,No,No,No,Bavandhar,NWIC,20,20,32076.0,05,049,0303,045002,2A,2A,YAU,YAU,WS2AYAU009,Vyasi (Ujvn),02,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Nainital,Nainital Npp,UK2ANNT0008,29.38728573,79.4591984,Ganga,Ramganga,Gola/Kiccha,Ponds,43.03200294,430320.0293868932,3374.1847777128223,No,No,No,No,Nainital Npp,NWIC,12,12,32067.0,05,051,0340,248454,2A,2A,RAM,RAM,WS2ARAM018,Naini Tal,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Rishikesh,Rishikesh CT,UK2ADHR0004,30.07788167,78.28989911,Ganga,Above Ramganga Confluence,Ganga,Tanks,100.18626912,1001862.691156804,8866.63388592784,No,No,No,No,Naand Talla,NWIC,14,14,32069.0,05,049,0305,045360,2A,2A,ARA,ARA,WS2AARA031,Rishikesh/Virbhadra Barrage,02,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Vikas Nagar,Timli Range,UK2ADHR0005,30.43510544,77.67498805999999,Ganga,Yamuna Upper,Asan (Tons),Tanks,135.47843146,1354784.3145698074,6206.4453748463375,No,No,No,No,Timli Range,NWIC,15,15,32070.0,05,049,0303,045106,2A,2A,YAU,YAU,WS2AYAU013,Asan Barrage,02,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Chakrata,Rikhnad Range,UK2ADHR0008,30.77322184,78.01520341,Ganga,Yamuna Upper,Yamuna,Ponds,1.40924311,14092.431123832372,581.9812456062901,Yes,No,Yes,No,,NWIC,21,21,32077.0,05,049,0300,044714,2A,2A,YAU,YAU,WS2AYAU008,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Pauri Garhwal,Yamkeshwar,Naand Talla,UK2APGR0003,30.02862223,78.26906805,Ganga,Above Ramganga Confluence,Ganga,Ponds,4.829935170000001,48299.351730973154,1197.440052748074,Yes,No,No,No,Naand Talla,NWIC,22,22,32078.0,05,052,0314,048840,2A,2A,ARA,ARA,WS2AARA031,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Almora,Almora,Katarmal Gunth,UK2AALM0002,29.61874381,79.62129516,Ganga,Ramganga,Kosi,Ponds,1.24680618,12468.061772088751,442.2674407885309,No,No,No,No,,NWIC,23,23,32079.0,05,045,0330,052990,2A,2A,RAM,RAM,WS2ARAM008,Kosi River Barrage,01,,,,,,,,,,,,,,,,District Water Body Atlas
