Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Manipur,MN,Imphal West,Lamphelpat,Langol Reserved Forest,MN20IMW0003,24.86154749,93.89306389000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,2.44976107,24497.61072008126,649.118314772162,No,No,No,No,,NWIC,9,9,80951.0,14,256,1881,999999,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,649.118314772162,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamsang,Akham,MN20IMW0004,24.847798479999998,93.85019645999999,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,1.40325827,14032.582674983116,1249.262745273338,No,No,No,No,,NWIC,10,10,80952.0,14,256,1879,270079,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,1249.262745273338,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamphelpat,Imphal Mci Plus Og,MN20IMW0005,24.80306177,93.9084966,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,3.69270151,36927.015097525924,1191.6585745864886,No,No,No,No,,NWIC,11,11,80953.0,14,256,1881,801487,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,1191.6585745864886,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamphelpat,Imphal Mci Plus Og,MN20IMW0006,24.80195965,93.894123,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,1.02649734,10264.973415840614,416.9996684044339,No,No,No,No,,NWIC,12,12,80954.0,14,256,1881,801487,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,416.9996684044339,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Waiton,MN20IME0013,24.8508913,93.97290463,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,1.55121752,15512.175231063356,551.5619811918409,No,No,No,No,,NWIC,19,19,80961.0,14,255,1884,270232,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,551.5619811918409,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Achanbigei,MN20IME0007,24.87541977,93.92147327,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,2.27279164,22727.916409151698,1286.7343501805005,No,No,No,No,,NWIC,13,13,80955.0,14,255,1885,270276,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1286.7343501805005,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Achanbigei,MN20IME0008,24.87186771,93.92094041,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,2.00217372,20021.737245266333,1141.1908617939268,No,No,No,No,,NWIC,14,14,80956.0,14,255,1885,270276,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1141.1908617939268,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Pangei,MN20IME0010,24.87198489,93.96608098,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,2.9923204,29923.204048833486,1076.8014367696544,No,No,No,No,,NWIC,16,16,80958.0,14,255,1884,270242,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1076.8014367696544,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Khundrakpam,MN20IME0011,24.866581139999997,93.9703856,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,3.77689189,37768.91889278823,1213.3226030586718,No,No,No,No,,NWIC,17,17,80959.0,14,255,1884,270235,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1213.3226030586718,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Khabeisoi,MN20IME0012,24.838801139999998,93.97196439000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,2.29029747,22902.97467241548,1630.1080342314526,No,No,No,No,,NWIC,18,18,80960.0,14,255,1884,270251,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1630.1080342314526,District Water Body Atlas
