id,objectid,subdistric,sdcode,district,dtcode,state,stcode,total_hous,total_popu,avg_hh,total_geog,forest_are,area_under,barren_un_,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,shape_leng,shape_area,ds_name,src_agency,State_Name
4770,4770,Kotkhawda,6028,Jaipur,102,RJ,08,13342.0,82914.0,764.16800259,29152.0,97.0,1908.0,739.0,2690.0,1.0,605.0,2082.0,2116.0,18902.0,10684.0,8218.0,1383.0,6805.0,30.0,0.0,93309.99791743715,257556150.98144215,Administrative Boundary,Survey of India (SOI),Rajasthan
4773,4773,Chhoti Sarwan,6042,Banswara,088,RJ,08,18914.0,91555.0,489.88843048,37861.0,9017.0,4666.0,5462.0,242.0,43.0,508.0,2216.0,685.0,15022.0,13172.0,1849.0,478.0,726.0,114.0,0.0,93344.30745486091,321711448.5610201,Administrative Boundary,Survey of India (SOI),Rajasthan
4985,4985,Thiruvidaimarudur,5810,Thanjavur,586,TN,33,56999.0,231151.0,315.62959814,23692.0,274.0,4791.0,0.0,19.0,354.0,470.0,1169.0,1239.0,15378.0,643.0,14732.0,14732.0,0.0,0.0,0.0,121673.70576091118,270038315.42402476,Administrative Boundary,Survey of India (SOI),Tamil Nadu
560,560,Pamidi,5315,Anantapur,502,AP,28,13117.0,55303.0,90.42290312,26381.0,4193.0,2737.0,3041.0,16.0,26.0,739.0,1604.0,4617.0,9408.0,13226.0,2407.0,927.0,1048.0,118.0,0.0,96159.68406683269,275336573.6149701,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4775,4775,Jaswantpura,6044,Jalore,104,RJ,08,29016.0,157009.0,407.55670265,106598.0,11981.0,8927.0,5438.0,4552.0,0.0,2977.0,12916.0,13534.0,46272.0,25778.0,20494.0,886.0,19608.0,0.0,0.0,222001.48984346513,1066385507.0317732,Administrative Boundary,Survey of India (SOI),Rajasthan
4986,4986,Kumbakonam,5811,Thanjavur,586,TN,33,110486.0,436592.0,430.66824787,24422.0,147.0,5838.0,48.0,18.0,586.0,532.0,1375.0,1835.0,14036.0,1296.0,12741.0,12661.0,0.0,0.0,0.0,128544.9559984861,282604188.9982447,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4987,4987,Papanasam,5812,Thanjavur,586,TN,33,68310.0,273511.0,442.53017488,34712.0,2.0,7034.0,0.0,75.0,640.0,1339.0,2387.0,866.0,22357.0,1235.0,21124.0,19715.0,1400.0,5.0,0.0,179328.2913801068,384714014.45585585,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4988,4988,Thiruvaiyaru,5813,Thanjavur,586,TN,33,47376.0,185803.0,305.47116785,25616.0,39.0,8231.0,4.0,45.0,202.0,332.0,430.0,979.0,15354.0,974.0,14378.0,12840.0,1536.0,0.0,0.0,115673.01648993259,283589477.4789787,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4989,4989,Thanjavur,5814,Thanjavur,586,TN,33,127334.0,511865.0,368.64869559,54072.0,180.0,12998.0,194.0,100.0,583.0,5180.0,5727.0,3661.0,25447.0,3782.0,21660.0,18075.0,3370.0,217.0,0.0,205260.66052796252,630531388.3948933,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4990,4990,Orathanadu,5815,Thanjavur,586,TN,33,61409.0,246871.0,473.32158626,56846.0,0.0,11217.0,38.0,200.0,1341.0,1683.0,3601.0,1697.0,37081.0,3134.0,33940.0,19116.0,14772.0,0.0,0.0,228430.5563502521,612109277.0337366,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4991,4991,Pattukkottai,5816,Thanjavur,586,TN,33,100914.0,396236.0,644.3772304500001,68584.0,2901.0,15990.0,1592.0,479.0,341.0,2052.0,4374.0,1563.0,39278.0,9394.0,29870.0,18429.0,10994.0,30.0,0.0,192102.99594961002,699011265.9179188,Administrative Boundary,Survey of India (SOI),Tamil Nadu
561,561,Vajrakarur,5316,Anantapur,502,AP,28,11186.0,50007.0,70.82363191,40764.0,2077.0,2277.0,3839.0,53.0,28.0,633.0,2091.0,4215.0,25550.0,31344.0,512.0,221.0,291.0,0.0,0.0,104710.01857618317,395623813.5298966,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4793,4793,Kareda,6064,Bhilwara,092,RJ,08,21719.0,99448.0,470.50356724999995,57194.0,2649.0,3394.0,4337.0,8119.0,410.0,14004.0,3904.0,3077.0,17292.0,11828.0,5464.0,1003.0,4416.0,45.0,0.0,190193.5398570553,577683966.7449793,Administrative Boundary,Survey of India (SOI),Rajasthan
4992,4992,Peravurani,5817,Thanjavur,586,TN,33,32535.0,123861.0,278.52472404,24678.0,83.0,6861.0,298.0,95.0,59.0,555.0,1849.0,667.0,14211.0,5404.0,8807.0,7545.0,1258.0,0.0,0.0,117528.99707371404,301710574.0875744,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4993,4993,Iluppur,5818,Pudukkottai,582,TN,33,50022.0,219491.0,383.33782047,66943.0,2390.0,17760.0,929.0,580.0,1439.0,393.0,14526.0,11927.0,16993.0,5021.0,11974.0,50.0,2555.0,9352.0,0.0,221556.54657793848,675031889.34928,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4994,4994,Kulathur,5819,Pudukkottai,582,TN,33,38064.0,162524.0,309.05634182,63263.0,2183.0,19477.0,2267.0,2023.0,3008.0,1945.0,9217.0,7362.0,15778.0,5361.0,10413.0,72.0,1940.0,8399.0,0.0,213756.44128387788,640755431.9332334,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4997,4997,Thirumayam,5822,Pudukkottai,582,TN,33,39293.0,158860.0,333.48148896000004,55338.0,8772.0,17282.0,1211.0,387.0,1858.0,2471.0,9350.0,4087.0,9914.0,872.0,9033.0,22.0,1232.0,7781.0,0.0,150969.38234630114,626142308.2904444,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4998,4998,Ponnamaravathi,5823,Pudukkottai,582,TN,33,27104.0,108479.0,202.55322213,32442.0,1918.0,7352.0,872.0,93.0,458.0,384.0,11851.0,2104.0,7415.0,2216.0,5198.0,100.0,917.0,4142.0,39.0,150882.87319583836,357715225.9012709,Administrative Boundary,Survey of India (SOI),Tamil Nadu
