Station,District,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-01,127.62
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-01,119.61
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-01,211.69
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-01,18.4
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-02,154.94
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-02,107.84
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-02,213.1
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-02,21.36
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-03,175.78
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-03,100.2
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-03,201.67
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-03,52.49
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-04,196.4
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-04,100.2
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-04,190.8
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-04,110.29
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-05,221.57
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-05,94.92
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-05,181.75
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-05,124.84
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-06,243.13
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-06,90.5
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-06,169.98
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-06,126.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-07,248.87
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-07,79.95
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-07,161.33
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-07,121.28
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-08,256.43
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-08,57.7
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-08,157.08
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-08,109.47
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-09,241.69
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-09,48.6
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-09,149.14
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-09,86.52
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-10,240.25
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-10,62.43
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-10,127.59
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-10,64.2
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-11,211.69
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-11,96.97
