Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Melwan,HP01KNG0028,32.08963636,75.60666947,Indus (Up to border),Beas,Beas,Ponds,4.268269220000001,42682.69217643118,992.8968569746875,No,No,No,No,,NWIC,50,50,32138.0,02,018,0094,008784,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,992.8968569746875,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Dhamota,HP01KNG0029,32.08794782,75.60231416,Indus (Up to border),Beas,Beas,Ponds,1.32127173,13212.71726700279,487.29541431152614,No,No,No,No,,NWIC,51,51,32139.0,02,018,0094,008785,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,487.29541431152614,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Dhamota,HP01KNG0030,32.08693736,75.60063563,Indus (Up to border),Beas,Beas,Ponds,2.20805554,22080.555439471387,590.6153276661478,No,No,No,No,,NWIC,52,52,32140.0,02,018,0094,008785,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,590.6153276661478,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Dhamota,HP01KNG0031,32.08583152,75.5971386,Indus (Up to border),Beas,Beas,Ponds,1.78644315,17864.431481192438,798.9499265072799,No,No,No,No,,NWIC,53,53,32141.0,02,018,0094,008785,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,798.9499265072799,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Paral,HP01KNG0033,32.05388601,75.73789971,Indus (Up to border),Beas,Beas,Ponds,1.92994041,19299.404132116586,812.7363260060088,No,No,No,No,,NWIC,55,55,32143.0,02,018,0094,008780,01,01,BEA,BEA,WS01BEA023,,01,,,,,,,,0.0,0.0,,,,,,0,812.7363260060088,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Indora,Mand Bhogarwan,HP01KNG0035,32.06477897,75.77368028000001,Indus (Up to border),Beas,Beas,Ponds,1.01101949,10110.194865433921,416.2851316300908,No,No,No,No,,NWIC,57,57,32145.0,02,018,0094,008777,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,416.2851316300908,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Fatehpur,Beli Rajianla,HP01KNG0036,32.04203651,75.77385217,Indus (Up to border),Beas,Beas,Ponds,1.48605796,14860.579615408556,837.9010828778318,Yes,No,No,No,,NWIC,58,58,32146.0,02,018,0095,008852,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,837.9010828778318,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Fatehpur,Riyali,HP01KNG0037,31.99530578,75.80986131,Indus (Up to border),Beas,Beas,Ponds,1.65569385,16556.9384763285,533.4824262925374,No,No,No,No,,NWIC,59,59,32147.0,02,018,0095,008855,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,533.4824262925374,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Fatehpur,Riyali,HP01KNG0038,31.9870066,75.83424104999999,Indus (Up to border),Beas,Beas,Ponds,1.37550339,13755.033858071705,435.66998189521524,No,No,No,No,,NWIC,60,60,32148.0,02,018,0095,008855,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,435.66998189521524,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Fatehpur,Rahadpur,HP01KNG0039,31.985540160000003,75.84192451999999,Indus (Up to border),Beas,Beas,Ponds,1.8612481,18612.480965505216,512.7029778786873,No,No,No,No,,NWIC,61,61,32149.0,02,018,0095,008865,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,512.7029778786873,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Fatehpur,Riyali,HP01KNG0040,31.9858124,75.83676815,Indus (Up to border),Beas,Beas,Ponds,1.16069985,11606.998535964773,427.74250764162053,No,No,No,No,,NWIC,62,62,32150.0,02,018,0095,008855,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,427.74250764162053,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Dera Gopipur,Bhial,HP01KNG0041,32.01392595,76.1024165,Indus (Up to border),Beas,Beas,Ponds,1.1077707,11077.706980683224,384.4714819071444,Yes,Yes,No,Yes,,NWIC,63,63,32151.0,02,018,0103,010200,01,01,BEA,BEA,WS01BEA020,,01,,,,,,,,0.0,0.0,,,,,,0,384.4714819071444,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Fatehpur,Chhabar,HP01KNG0042,31.968373449999998,75.9036036,Indus (Up to border),Beas,Beas,Ponds,1.2202087,12202.08699293434,518.9119599672146,No,No,No,Yes,,NWIC,64,64,32152.0,02,018,0095,009026,01,01,BEA,BEA,WS01BEA021,,01,,,,,,,,0.0,0.0,,,,,,0,518.9119599672146,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Mandi,Mandi,Sar Ki Dhar,HP01MND0012,31.62936298,76.80960483,Indus (Up to border),Beas,Kansa Khola,Ponds,3.04827212,30482.721199192103,875.5230300807135,No,No,No,No,Sar Ki Dhar,NWIC,65,65,32153.0,02,022,0133,014564,01,01,BEA,BEA,WS01BEA010,,01,,,,,,,,0.0,0.0,,,,,,0,875.5230300807135,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Darlaghat,Data Partially Available,HP01SLN0005,31.24412636,76.96606037999999,Indus (Up to border),Satluj Upper,Ali Khad,Ponds,4.93047578,49304.75778598549,1067.876071236382,No,No,No,No,,NWIC,66,66,32154.0,02,025,0159,999999,01,01,SUU,SUU,WS01SUU028,,01,,,,,,,,0.0,0.0,,,,,,0,1067.876071236382,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Shimla,Chirgaon,Data Partially Available,HP2ASHM0002,31.39814094,78.08844642,Ganga,Yamuna Upper,Pabar,Ponds,3.4638052,34638.05196620976,869.0961641970572,No,No,No,No,,NWIC,67,67,32155.0,02,023,0192,999999,2A,2A,YAU,YAU,WS2AYAU003,,01,,,,,,,,0.0,0.0,,,,,,0,869.0961641970572,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Solan,Data Partially Available,HP01SLN0006,31.06197115,76.97328869,Indus (Up to border),Satluj Upper,Gambhar,Ponds,3.30800255,33080.02553780621,800.541713111007,Yes,No,No,No,,NWIC,68,68,32156.0,02,025,0165,999999,01,01,SUU,SUU,WS01SUU030,,01,,,,,,,,0.0,0.0,,,,,,0,800.541713111007,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Nahan,Rampur Jatan,HP01SRM0011,30.512729829999998,77.21866782,Indus (Up to border),Ghaghar and others,Markanda,Ponds,2.09652902,20965.2901833764,676.7638958275212,No,No,No,No,,NWIC,74,74,32162.0,02,024,0172,023178,01,01,GHO,GHO,WS01GHO004,,01,,,,,,,,0.0,0.0,,,,,,0,676.7638958275212,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Solan,Nalagarh,Data Partially Available,HP01SLN0007,31.04705622,76.61753555000001,Indus (Up to border),Satluj Lower,Sirsa,Ponds,3.87322736,38732.27359929693,1423.0640165853065,No,No,No,No,,NWIC,69,69,32157.0,02,025,0161,999999,01,01,SUL,SUL,WS01SUL003,,01,,,,,,,,0.0,0.0,,,,,,0,1423.0640165853065,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Dadahu,Renuka Ji,HP2ASRM0007,30.607666700000003,77.44992911,Ganga,Yamuna Upper,Giri,Ponds,3.0318134,30318.134032707494,635.8353811070859,No,No,No,No,,NWIC,70,70,32158.0,02,024,0171,023030,2A,2A,YAU,YAU,WS2AYAU012,Parashuram Tal,01,,,,,,,,0.0,0.0,,,,,,0,635.8353811070859,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Dadahu,Renuka Ji,HP2ASRM0008,30.610512380000003,77.45794586,Ganga,Yamuna Upper,Giri,Ponds,21.61051506,216105.15056379023,3588.576722565053,No,No,No,No,,NWIC,71,71,32159.0,02,024,0171,023030,2A,2A,YAU,YAU,WS2AYAU012,Renuka Lake,01,,,,,,,,0.0,0.0,,,,,,0,3588.576722565053,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Nahan,Churan,HP01SRM0009,30.54443248,77.13716151,Indus (Up to border),Ghaghar and others,Markanda,Ponds,2.29995368,22999.536820743604,643.0741722483604,No,No,No,No,,NWIC,72,72,32160.0,02,024,0172,023164,01,01,GHO,GHO,WS01GHO004,,01,,,,,,,,0.0,0.0,,,,,,0,643.0741722483604,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0010,30.52489482,77.60428846,Ganga,Yamuna Upper,Asan (Tons),Ponds,1.43270367,14327.036693809023,664.8064149989899,Yes,Yes,Yes,Yes,,NWIC,73,73,32161.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU013,,01,,,,,,,,0.0,0.0,,,,,,0,664.8064149989899,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Nahan,Nagal Saketi,HP01SRM0012,30.45081244,77.32588191,Indus (Up to border),Ghaghar and others,Markanda,Ponds,4.23472674,42347.2673906228,1071.5243936252718,No,No,No,No,Nagal Saketi,NWIC,75,75,32163.0,02,024,0172,023180,01,01,GHO,GHO,WS01GHO004,,01,,,,,,,,0.0,0.0,,,,,,0,1071.5243936252718,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0013,30.430542629999998,77.39614615,Ganga,Yamuna Upper,Somb,Ponds,4.35205217,43520.52169843376,928.5378712348901,No,No,No,No,,NWIC,76,76,32164.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU014,,01,,,,,,,,0.0,0.0,,,,,,0,928.5378712348901,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0014,30.43083778,77.39323782,Ganga,Yamuna Upper,Somb,Ponds,1.70588891,17058.889070093606,712.3123773929187,No,No,No,No,,NWIC,77,77,32165.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU014,,01,,,,,,,,0.0,0.0,,,,,,0,712.3123773929187,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0015,30.43269569,77.39049219,Ganga,Yamuna Upper,Somb,Ponds,2.27464268,22746.42677689731,671.7191443931855,No,No,No,No,,NWIC,78,78,32166.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU014,,01,,,,,,,,0.0,0.0,,,,,,0,671.7191443931855,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0016,30.40373912,77.43130018,Ganga,Yamuna Upper,Somb,Ponds,1.36086793,13608.6792646321,550.5452225588667,No,No,No,No,,NWIC,79,79,32167.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU014,,01,,,,,,,,0.0,0.0,,,,,,0,550.5452225588667,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Sirmaur,Paonta Sahib,Data Partially Available,HP2ASRM0017,30.403548920000002,77.43656059,Ganga,Yamuna Upper,Somb,Ponds,1.03836042,10383.604198314959,502.6730719382332,No,No,No,No,,NWIC,80,80,32168.0,02,024,0173,999999,2A,2A,YAU,YAU,WS2AYAU014,,01,,,,,,,,0.0,0.0,,,,,,0,502.6730719382332,District Water Body Atlas
Phase 1,Himachal Pradesh,HP,Kangra,Dera Gopipur,Sanot,HP01KNG0043,31.989682119999998,76.05438233,Indus (Up to border),Beas,Beas,Tanks,21712.18553179,217121855.31790346,282119.42431552504,No,No,No,No,Sanot,NWIC,81,81,90107.0,02,018,0103,010425,01,01,BEA,BEA,WS01BEA020,Pong,02,,,,,,,,0.0,0.0,,,,,,0,282119.42431552504,District Water Body Atlas
