id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
221,221,1202,,No,High,Inland,Man-made,Tank/Pond,,0.268882696408234,,10.9729012061,79.771023333,Puducherry,193.6731282138515,2688.8269640823373,Hydrological Layer,SAC N
222,222,1202,,No,High,Inland,Man-made,Tank/Pond,,0.293701349873739,,10.9725780499,79.7654784678,Puducherry,201.42364818297963,2937.013498737393,Hydrological Layer,SAC N
223,223,1202,,No,High,Inland,Man-made,Tank/Pond,,0.09803047496692,,10.9720644514,79.7547183152,Puducherry,126.79895406211746,980.3047496692024,Hydrological Layer,SAC N
224,224,1202,,No,High,Inland,Man-made,Tank/Pond,,0.226467222900827,,10.9629264844,79.7633385903,Puducherry,191.15293654155857,2264.6722290082726,Hydrological Layer,SAC N
225,225,1202,,No,High,Inland,Man-made,Tank/Pond,,0.402197490148122,,10.9603500151,79.7593385556,Puducherry,293.4123707699957,4021.9749014812214,Hydrological Layer,SAC N
226,226,1202,,No,High,Inland,Man-made,Tank/Pond,,0.309900632883457,,10.9555945018,79.7605044014,Puducherry,226.14669154960842,3099.006328834569,Hydrological Layer,SAC N
227,227,1202,,No,High,Inland,Man-made,Tank/Pond,,0.385598160008094,,10.9551626544,79.758661931,Puducherry,249.8599198157196,3855.981600080937,Hydrological Layer,SAC N
228,228,1202,,No,High,Inland,Man-made,Tank/Pond,,0.846156688359785,,10.9581955525,79.7533694596,Puducherry,383.02517802315924,8461.566883597847,Hydrological Layer,SAC N
229,229,1202,,No,High,Inland,Man-made,Tank/Pond,,0.560495196515399,,10.9520375149,79.7575398997,Puducherry,302.2492127361917,5604.951965153991,Hydrological Layer,SAC N
230,230,1202,,No,High,Inland,Man-made,Tank/Pond,,0.795485275851598,,10.9549994557,79.7623733027,Puducherry,363.88345309093876,7954.852758515982,Hydrological Layer,SAC N
231,231,1202,,No,High,Inland,Man-made,Tank/Pond,,1.048671735580532,,10.9512900394,79.7647239189,Puducherry,413.1435293920547,10486.717355805316,Hydrological Layer,SAC N
232,232,1202,,No,High,Inland,Man-made,Tank/Pond,,0.31868104850322,,10.953545128,79.7704168492,Puducherry,232.46902172674407,3186.8104850322034,Hydrological Layer,SAC N
233,233,1202,,No,High,Inland,Man-made,Tank/Pond,,1.300163176664873,,10.9505415818,79.776806433,Puducherry,449.52504839448966,13001.631766648727,Hydrological Layer,SAC N
234,234,1202,,No,High,Inland,Man-made,Tank/Pond,,0.492716927764202,,10.9503571673,79.7805599726,Puducherry,282.3697511977223,4927.169277642018,Hydrological Layer,SAC N
235,235,1202,,No,High,Inland,Man-made,Tank/Pond,,0.419933586843478,,10.9462271457,79.7745596874,Puducherry,268.9835701718565,4199.335868434785,Hydrological Layer,SAC N
236,236,1202,,No,High,Inland,Man-made,Tank/Pond,,0.786463802351379,,10.9416530791,79.7645735268,Puducherry,365.30422563435656,7864.638023513794,Hydrological Layer,SAC N
237,237,1202,,No,Moderate,Inland,Man-made,Tank/Pond,,6.11453192545193,,10.941868012,79.7667125751,Puducherry,1196.4891575593374,61145.319254519294,Hydrological Layer,SAC N
238,238,1202,,No,Moderate,Inland,Man-made,Tank/Pond,,3.602430823334645,,10.9404019795,79.7607322594,Puducherry,976.9734865534443,36024.30823334645,Hydrological Layer,SAC N
239,239,1202,,No,High,Inland,Man-made,Tank/Pond,,0.358656960609674,,10.9406989538,79.7637780366,Puducherry,251.81921479966707,3586.5696060967384,Hydrological Layer,SAC N
240,240,1202,,No,High,Inland,Man-made,Tank/Pond,,0.490898098948283,,10.9361565808,79.7690811347,Puducherry,280.33145070445664,4908.980989482825,Hydrological Layer,SAC N
241,241,1202,,No,High,Inland,Man-made,Tank/Pond,,0.589309694173211,,10.9347149072,79.769005222,Puducherry,329.8172448468817,5893.096941732107,Hydrological Layer,SAC N
242,242,1202,,No,High,Inland,Man-made,Tank/Pond,,0.390158404732973,,10.9339034388,79.7693560601,Puducherry,251.18724769140746,3901.584047329732,Hydrological Layer,SAC N
243,243,1202,,No,High,Inland,Man-made,Tank/Pond,,0.387857592906541,,10.9256738033,79.7580841804,Puducherry,224.4783428320909,3878.5759290654137,Hydrological Layer,SAC N
244,244,1202,,No,High,Inland,Man-made,Tank/Pond,,0.56278831049177,,10.9299611896,79.7597728231,Puducherry,292.60443555314,5627.8831049177015,Hydrological Layer,SAC N
245,245,1202,,No,High,Inland,Man-made,Tank/Pond,,0.482074190549915,,10.9296649462,79.7617789058,Puducherry,269.37475915680557,4820.7419054991515,Hydrological Layer,SAC N
246,246,1202,,No,High,Inland,Man-made,Tank/Pond,,0.433389177845036,,10.9290411999,79.7515357775,Puducherry,270.40333635493744,4333.891778450362,Hydrological Layer,SAC N
247,247,1202,,No,High,Inland,Man-made,Tank/Pond,,0.594229255771638,,10.9329636791,79.7515653922,Puducherry,310.7539360675006,5942.292557716378,Hydrological Layer,SAC N
248,248,1202,,No,High,Inland,Man-made,Tank/Pond,,0.598034536496676,,10.9287407404,79.7527921788,Puducherry,319.6407405073837,5980.345364966764,Hydrological Layer,SAC N
249,249,1202,,No,High,Inland,Man-made,Tank/Pond,,0.579090545265911,,10.9264316771,79.7636177774,Puducherry,306.28897641646796,5790.905452659108,Hydrological Layer,SAC N
250,250,1202,,No,High,Inland,Man-made,Tank/Pond,,0.580831990168846,,10.926460443,79.7695567247,Puducherry,316.94899970806716,5808.319901688459,Hydrological Layer,SAC N
251,251,1202,,No,High,Inland,Man-made,Tank/Pond,,0.235930145780219,,10.9231285035,79.7698404954,Puducherry,227.71012198143276,2359.3014578021907,Hydrological Layer,SAC N
252,252,2202,,No,High,Costal,Man-made,Aquaculture Pond,,8.031374985309784,,10.9522946697,79.7887052111,Puducherry,1450.6058312204493,80313.74985309783,Hydrological Layer,SAC N
253,253,1202,,No,High,Inland,Man-made,Tank/Pond,,0.518345865362363,,10.9537307742,79.7912509884,Puducherry,271.48393444522463,5183.458653623629,Hydrological Layer,SAC N
254,254,1202,,No,High,Inland,Man-made,Tank/Pond,,0.142809866819314,,10.9556002606,79.7912388888,Puducherry,166.84373897342093,1428.098668193141,Hydrological Layer,SAC N
255,255,1202,,No,High,Inland,Man-made,Tank/Pond,,1.110592658485394,,10.9569949063,79.7901569145,Puducherry,433.2172531129853,11105.926584853945,Hydrological Layer,SAC N
256,256,1202,,No,High,Inland,Man-made,Tank/Pond,,1.536570452403891,,10.9534649999,79.7846182012,Puducherry,504.0819120932546,15365.704524038912,Hydrological Layer,SAC N
274,274,1202,,No,High,Inland,Man-made,Tank/Pond,,1.136160067164996,,10.9804857522,79.7659126492,Puducherry,403.48653077247434,11361.600671649961,Hydrological Layer,SAC N
257,257,1202,,No,High,Inland,Man-made,Tank/Pond,,0.504914974502531,,10.9495070175,79.7854069305,Puducherry,256.6517333953298,5049.1497450253055,Hydrological Layer,SAC N
258,258,1202,,No,High,Inland,Man-made,Tank/Pond,,0.531609622218477,,10.9601138467,79.7734572583,Puducherry,302.19543030538136,5316.096222184773,Hydrological Layer,SAC N
259,259,1202,,No,High,Inland,Man-made,Tank/Pond,,0.257956593697731,,10.9588063501,79.7746497254,Puducherry,207.6841260913409,2579.565936977315,Hydrological Layer,SAC N
260,260,1202,,No,High,Inland,Man-made,Tank/Pond,,0.52976499335511,,10.9573830336,79.7706161453,Puducherry,291.977146241172,5297.649933551102,Hydrological Layer,SAC N
261,261,1202,,No,High,Inland,Man-made,Tank/Pond,,0.279590676826705,,10.9537808249,79.7786097892,Puducherry,211.7058456527161,2795.9067682670457,Hydrological Layer,SAC N
262,262,1202,,No,High,Inland,Man-made,Tank/Pond,,0.640761397833282,,10.9553840928,79.7803250584,Puducherry,323.0187550471682,6407.613978332824,Hydrological Layer,SAC N
263,263,1202,,No,High,Inland,Man-made,Tank/Pond,,1.108439661937292,,10.9528901036,79.7803935244,Puducherry,424.4008034951761,11084.396619372917,Hydrological Layer,SAC N
535,535,1202,,No,High,Inland,Man-made,Tank/Pond,,0.295183643019604,,16.7312164998,82.218179178,Puducherry,231.8965206362073,2951.836430196043,Hydrological Layer,SAC N
536,536,1202,,No,High,Inland,Man-made,Tank/Pond,,0.675638009338522,,16.728290861,82.2195589141,Puducherry,340.8960729812856,6756.380093385224,Hydrological Layer,SAC N
264,264,1202,,No,High,Inland,Man-made,Tank/Pond,,2.090281229586935,,10.96029791,79.7687463671,Puducherry,715.2223356409999,20902.81229586935,Hydrological Layer,SAC N
265,265,1202,,No,High,Inland,Man-made,Tank/Pond,,0.514070743316661,,10.939909637,79.7758036189,Puducherry,346.9190625864639,5140.707433166612,Hydrological Layer,SAC N
266,266,1202,,No,High,Inland,Man-made,Tank/Pond,,0.500551391001821,,10.9404261527,79.7769953967,Puducherry,284.22237566799066,5005.51391001821,Hydrological Layer,SAC N
267,267,1202,,No,High,Inland,Man-made,Tank/Pond,,0.49230710918063,,10.9382045396,79.7800452208,Puducherry,282.44720500185815,4923.071091806296,Hydrological Layer,SAC N
268,268,1202,,No,High,Inland,Man-made,Tank/Pond,,0.369040988302938,,10.9337553001,79.7790769057,Puducherry,245.6628849718502,3690.409883029383,Hydrological Layer,SAC N
269,269,1202,,No,High,Inland,Man-made,Tank/Pond,,0.155933618816715,,10.9314803025,79.7802483625,Puducherry,181.59350912440917,1559.336188167154,Hydrological Layer,SAC N
270,270,1202,,No,High,Inland,Man-made,Tank/Pond,,0.296272177180161,,10.936823916,79.7864373474,Puducherry,218.65947362552959,2962.7217718016054,Hydrological Layer,SAC N
271,271,1202,,No,High,Inland,Man-made,Tank/Pond,,1.01742552089506,,10.9386441568,79.7855595848,Puducherry,395.688147891161,10174.2552089506,Hydrological Layer,SAC N
272,272,1202,,No,High,Inland,Man-made,Tank/Pond,,0.689276293289086,,10.9116738498,79.7817865901,Puducherry,335.0433700571323,6892.762932890857,Hydrological Layer,SAC N
273,273,1202,,No,High,Inland,Man-made,Tank/Pond,,0.318318710480155,,10.9811097095,79.7656305434,Puducherry,240.10714287303904,3183.1871048015473,Hydrological Layer,SAC N
275,275,1202,,No,High,Inland,Man-made,Tank/Pond,,0.508759079629752,,10.9927790813,79.7641266183,Puducherry,266.6822156104738,5087.590796297519,Hydrological Layer,SAC N
