id,objectid,bacode,ba_a_ro,ba_a_wp,ba_u_swr,ba_hos,ba_stcl,ba_stucl,ba_studl,area_sqkm,state,ba_name,ba_tlst,shape_leng,shape_area,ds_name,src_agency,ba_code
11,11,2B,537.24,537.24,24.0,122.0,1.71,0.69,41.263,194413.0,"Arunachal Pradesh, Assam, Nagaland, Meghalaya, West Bengal and Sikkim",Brahamaputra,2.4,4489235.13112066,186350678785.21854,Hydrological Layer,CWC,Brahamaputra
12,12,2A,525.02,525.02,250.0,291.0,48.748,7.703,30.593,861452.0,"Uttaranchal, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Bihar, Jharkhand, Rajasthan, West Bengal, Haryana, Himachal Pradesh,Union Territory of Delhi",Ganga,56.451,10087800.03360444,808611239213.4913,Hydrological Layer,CWC,Ganga
14,14,12,45.64,45.64,34.5,25.0,17.806,6.835,0.466,98796.0,"Madhya Pradesh, Chhattisgarh, Gujarat and Maharashtra",Narmada,24.641,3595833.506924523,93547153529.42784,Hydrological Layer,CWC,Narmada
13,13,18,15.1,15.1,15.0,15.0,6.825,0.509,2.849,321851.0,"Rajasthan, Gujarat and Diu",West flowing rivers of Kutch and Saurashtra including Luni,7.334,4486440.437052229,186358509628.0277,Hydrological Layer,CWC,West flowing rivers of Kutch and Saurashtra including Luni
15,15,15,115.53,113.53,24.3,0.0,11.013,1.418,1.453,56177.0,"Karnataka. Kerala, Tamil Nadu and Puducherry",West flowing rivers from Tadri to Kanyakumari,1.431,2483975.17729636,55029570667.254974,Hydrological Layer,CWC,West flowing rivers from Tadri to Kanyakumari
16,16,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Rajasthan,Area of Inland drainage in Rajasthan,0.0,2756373.748685815,139941958817.01578,Hydrological Layer,CWC,Area of Inland drainage in Rajasthan
17,17,04,78.12,78.12,58.0,56.0,50.117,4.287,1.128,258948.0,"Karnataka, Telangana, Andhra Pradesh and Maharashtra",Krishna,54.404,4297764.533554051,254826080839.25723,Hydrological Layer,CWC,Krishna
18,18,21,,,,,,,,,,,,1572161.7348558512,29635190803.86867,Hydrological Layer,CWC,Area of North Ladakh not draining into Indus Basin
19,19,22,,,,,,,,,,,,3478659.570993855,7577360881.277986,Hydrological Layer,CWC,Drainage area of Andaman & Nicobar Islands
20,20,23,,,,,,,,,,,,400794.3451010526,669714162.459065,Hydrological Layer,CWC,Drainage area of Lakshadweep Islands
21,21,16,22.52,22.52,13.1,13.0,2.821,1.165,0.945,86643.0,Andhra Pradesh and Odisha,East flowing rivers between Mahanadi and Pennar,3.986,3122847.100074828,79977229178.13846,Hydrological Layer,CWC,East flowing rivers between Mahanadi and Pennar
22,22,10,11.02,11.02,3.1,12.0,5.015,0.16,0.012,34842.0,"Rajasthan, Gujarat and Madhya Pradesh",Mahi,5.175,1635700.9674113502,38155097551.34822,Hydrological Layer,CWC,Mahi
23,23,13,14.88,14.88,14.5,18.0,9.088,1.555,0.287,65145.0,"Maharashtra, Madhya Pradesh and Gujarat",Tapi,10.643,2206571.1640937096,63468765261.531044,Hydrological Layer,CWC,Tapi
24,24,14,87.41,87.41,11.9,0.0,14.267,2.329,0.082,55940.0,"Gujarat, Maharashtra, Dadara & Nagar Haveli, Goa, Daman & Diu and Karnataka",West flowing rivers from Tapi to Tadri,16.596,2954777.6084587113,56770824828.95532,Hydrological Layer,CWC,West flowing rivers from Tapi to Tadri
25,25,01,73.31,73.31,46.0,34.0,16.222,0.1,2.576,321289.0,"Jammu and Kashmir, Himachal Pradesh, Punjab, Rajasthan, Haryana,Union Territory of Chandigarh",Indus (Up to border),16.322,4650690.269062835,314372900978.40424,Hydrological Layer,CWC,Indus (Up to border)
