Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 08:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 11:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 14:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-14 17:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 08:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 11:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 14:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-15 17:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 08:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 11:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 14:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-16 17:00:00,10.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 08:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 11:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 14:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-17 17:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-18 08:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-18 11:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-18 14:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-18 17:00:00,5.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-19 08:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-19 11:00:00,15.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-19 14:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-19 17:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-20 08:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-20 11:00:00,27.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-20 14:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-20 17:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-21 08:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-21 11:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-21 14:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-21 17:00:00,21.0
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-22 08:00:00,15.162
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-22 11:00:00,15.174
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-22 14:00:00,15.192
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-22 17:00:00,15.19
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-23 08:00:00,21.135
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-23 11:00:00,21.156
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-23 14:00:00,15.144
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-23 17:00:00,15.141
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-24 08:00:00,15.153
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-24 11:00:00,15.132
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-24 14:00:00,15.207
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-24 17:00:00,15.15
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-25 08:00:00,10.266
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-25 11:00:00,10.281
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-25 14:00:00,10.243
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-25 17:00:00,10.268
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-26 08:00:00,5.256
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-26 11:00:00,5.252
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-26 14:00:00,5.248
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-26 17:00:00,5.24
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-27 08:00:00,5.216
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-27 11:00:00,5.126
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-27 14:00:00,5.224
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-27 17:00:00,5.098
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-28 08:00:00,5.104
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-28 11:00:00,5.092
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-28 14:00:00,5.196
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-28 17:00:00,5.212
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-29 08:00:00,5.228
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-29 11:00:00,5.264
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-29 14:00:00,5.26
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-29 17:00:00,5.236
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-30 08:00:00,5.288
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-30 11:00:00,5.28
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-30 14:00:00,10.231
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-30 17:00:00,10.258
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-31 08:00:00,15.126
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-31 11:00:00,15.108
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-31 14:00:00,21.191
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-07-31 17:00:00,33.255
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-01 08:00:00,57.194
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-01 11:00:00,70.067
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-01 14:00:00,103.2
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-01 17:00:00,147.125
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-02 08:00:00,990.317
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-02 11:00:00,750.015
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-02 14:00:00,324.433
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-02 17:00:00,247.282
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-03 08:00:00,201.343
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-03 11:00:00,201.435
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-03 14:00:00,189.189
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-03 17:00:00,189.262
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-04 08:00:00,103.2
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-04 11:00:00,137.016
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-04 14:00:00,137.148
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-04 17:00:00,119.174
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-05 08:00:00,90.459
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-05 11:00:00,90.279
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-05 14:00:00,97.384
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-05 17:00:00,97.284
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-06 08:00:00,313.04
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-06 11:00:00,700.488
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-06 14:00:00,650.336
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-06 17:00:00,565.075
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-07 08:00:00,189.009
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-07 11:00:00,167.212
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-07 14:00:00,147.14
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-07 17:00:00,137.388
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-08 08:00:00,177.236
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-08 11:00:00,212.119
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-08 14:00:00,189.052
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-08 17:00:00,201.06
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-09 08:00:00,360.003
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-09 11:00:00,223.088
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-09 14:00:00,156.442
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-09 17:00:00,147.402
Ambica   Unai,Gujarat,TAPI,VYARA,-,Par,West flowing rivers from Tapi to Tadri,20.86194444,73.34555556,2016-08-10 08:00:00,177.38
