Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Puducherry,Puducherry,Villianur Taluk,Kalitheerthalkuppam,PY17PON0044,11.93388287,79.62369737,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,8.28666122,82866.61217530792,2891.1808410401254,V Pudur,East flowing rivers between Pennar and Kanyakumari,44,44,74941.0,34,600,5911,644938,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,2891.1808410401254,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Nettapakkam,PY17PON0045,11.84932875,79.63754407,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,3.47868479,34786.84789381741,2201.540101997692,Sorappur,East flowing rivers between Pennar and Kanyakumari,45,45,74942.0,34,600,5912,644968,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2201.540101997692,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Madukarai,PY17PON0048,11.85991682,79.60683278,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,30.229698210000002,302296.9820934139,4519.692486760272,Madukarai,East flowing rivers between Pennar and Kanyakumari,48,48,74945.0,34,600,5912,644961,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,4519.692486760272,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Kunichempet,PY17PON0049,11.98628424,79.62986243,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Tank,18.6075328,186075.32795770373,2724.9525479549684,Maduraipakkam,East flowing rivers between Pennar and Kanyakumari,49,49,74946.0,34,600,5911,644931,17,17,PON,PON,WS17PON043,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,Yes,No,No,No,0,2724.9525479549684,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Madagadipet,PY17PON0050,11.909012160000001,79.63118519,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,39.237123149999995,392371.2314840036,5081.839650073722,Gangarampalaiyam,East flowing rivers between Pennar and Kanyakumari,50,50,74947.0,34,600,5911,644939,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,5081.839650073722,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Ozhukarai Taluk,Ozhukarai,PY17PON0051,11.972074509999999,79.81014459000001,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Tank,5.86066383,58606.638286726164,1427.8259809291221,Ozhukarai,East flowing rivers between Pennar and Kanyakumari,51,51,74948.0,34,600,5910,253093,17,17,PON,PON,WS17PON043,,03,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1427.8259809291221,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Embalam,PY17PON0052,11.87226256,79.72245486999999,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,10.8789056,108789.0560086941,1983.3661283589481,Embalam,East flowing rivers between Pennar and Kanyakumari,52,52,74949.0,34,600,5912,644964,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1983.3661283589481,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Thuthipet,PY17PON0055,11.98624354,79.71914975,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,17.63193592,176319.35915605526,2542.909979712502,Thuthipet,East flowing rivers between Pennar and Kanyakumari,55,55,74952.0,34,600,5911,644944,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2542.909979712502,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Sathamangalam,PY17PON0056,11.88721134,79.7136176,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,6.768591900000001,67685.91904361988,1026.6380948461904,Sathamangalam,East flowing rivers between Pennar and Kanyakumari,56,56,74953.0,34,600,5911,644953,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1026.6380948461904,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Ozhukarai Taluk,Ozhukarai,PY17PON0057,11.93682502,79.79800453,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,9.06042081,90604.20814376789,1423.832465201157,Ozhukarai,East flowing rivers between Pennar and Kanyakumari,57,57,74954.0,34,600,5910,253093,17,17,PON,PON,WS17PON043,Kanagan Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,1423.832465201157,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Panayadikuppam,PY17PON0065,11.835799029999999,79.65048516,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,58.632244889999996,586322.448876691,2953.37007981248,Panayadikuppam,East flowing rivers between Pennar and Kanyakumari,65,65,74962.0,34,600,5912,644969,17,17,PON,PON,WS17PON023,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2953.37007981248,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Villianur Taluk,Sedarapet,PY17PON0066,11.991713149999999,79.76075503,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,6.64403245,66440.32450600348,1386.3135752390908,Sedarapet,East flowing rivers between Pennar and Kanyakumari,66,66,74963.0,34,600,5911,644942,17,17,PON,PON,WS17PON043,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,Yes,0,1386.3135752390908,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Korkadu,PY17PON0058,11.87370397,79.7354457,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,82.37787456,823778.7455942606,4075.602481874848,Korkadu,East flowing rivers between Pennar and Kanyakumari,58,58,74955.0,34,600,5912,644965,17,17,PON,PON,WS17PON043,Korkadu Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,4075.602481874848,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Puducherry Taluk,Pondicherry,PY17PON0059,11.91089315,79.79806134,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,37.28642693,372864.26933704264,3257.2370047826057,Pondicherry,East flowing rivers between Pennar and Kanyakumari,59,59,74956.0,34,600,5909,253094,17,17,PON,PON,WS17PON043,Vainder Tank,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,3257.2370047826057,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Puducherry Taluk,Pondicherry,PY17PON0060,11.918694649999999,79.80054864,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Pambai,Lakes/Pond,37.806065139999994,378060.6513827492,3946.0887516967655,Pondicherry,East flowing rivers between Pennar and Kanyakumari,60,60,74957.0,34,600,5909,253094,17,17,PON,PON,WS17PON043,Ozhanthai Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,3946.0887516967655,District Water Body Atlas
Phase 2,Puducherry,Puducherry,Bahour Taluk,Panayadikuppam,PY17PON0061,11.8271499,79.65669291,East flowing rivers between Pennar and Kanyakumari,Ponnaiyar and other,Ponnaiyar,Lakes/Pond,42.34715241,423471.52411611227,2854.1266932267486,Panayadikuppam,East flowing rivers between Pennar and Kanyakumari,61,61,74958.0,34,600,5912,644969,17,17,PON,PON,WS17PON023,Karayambuthur Lake,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,2854.1266932267486,District Water Body Atlas
