id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
24,24,1202,,No,High,Inland,Man-made,Tank/Pond,,0.610513511992744,,20.2933743067,73.0422712606,Dadra & Nagar Haveli,481.4309720578318,6105.135119927435,Hydrological Layer,SAC N
25,25,1202,,No,High,Inland,Man-made,Tank/Pond,,0.634275467680516,,20.3051113601,73.143865138,Dadra & Nagar Haveli,341.40268810910965,6342.754676805161,Hydrological Layer,SAC N
28,28,1202,,No,High,Inland,Man-made,Tank/Pond,,0.824252164178485,,20.2636080703,73.0945409919,Dadra & Nagar Haveli,443.03044868024205,8242.521641784846,Hydrological Layer,SAC N
85,85,1202,,No,High,Inland,Man-made,Tank/Pond,,1.72822907139813,,20.4405974196,72.8832142391,Daman & Diu,545.5329808017967,17282.290713981303,Hydrological Layer,SAC N
29,29,1202,,No,High,Inland,Man-made,Tank/Pond,,0.84742383376597,,20.2607707427,73.0953092792,Dadra & Nagar Haveli,483.758419856511,8474.238337659699,Hydrological Layer,SAC N
30,30,1202,,No,High,Inland,Man-made,Tank/Pond,,0.518113187363073,,20.2581460936,73.0916620781,Dadra & Nagar Haveli,274.67583723482267,5181.131873630735,Hydrological Layer,SAC N
31,31,1202,,No,High,Inland,Man-made,Tank/Pond,,0.459197886598047,,20.2589300286,73.0870813393,Dadra & Nagar Haveli,356.5680576325399,4591.97886598047,Hydrological Layer,SAC N
32,32,1202,,No,High,Inland,Man-made,Tank/Pond,,0.757581520566792,,20.2600670208,73.0828373073,Dadra & Nagar Haveli,397.2107249780484,7575.815205667922,Hydrological Layer,SAC N
33,33,1202,,No,High,Inland,Man-made,Tank/Pond,,0.175168012868908,,20.2585642749,73.0806070056,Dadra & Nagar Haveli,157.28558146559325,1751.6801286890786,Hydrological Layer,SAC N
34,34,1202,,No,High,Inland,Man-made,Tank/Pond,,0.482312692862086,,20.2560065582,73.0633255212,Dadra & Nagar Haveli,305.20217717624934,4823.126928620864,Hydrological Layer,SAC N
35,35,1202,,No,High,Inland,Man-made,Tank/Pond,,0.378558219630526,,20.2637312701,73.0625482012,Dadra & Nagar Haveli,235.99522678474685,3785.5821963052567,Hydrological Layer,SAC N
36,36,1202,,No,High,Inland,Man-made,Tank/Pond,,0.571522211670372,,20.2651776847,73.0610742228,Dadra & Nagar Haveli,331.0406154197347,5715.22211670372,Hydrological Layer,SAC N
37,37,1202,,No,High,Inland,Man-made,Tank/Pond,,0.726765512398649,,20.2649367063,73.0648784767,Dadra & Nagar Haveli,459.31278253150236,7267.655123986493,Hydrological Layer,SAC N
38,38,1202,,No,High,Inland,Man-made,Tank/Pond,,0.566127387626134,,20.2135932587,73.0462961979,Dadra & Nagar Haveli,295.50190409787933,5661.273876261341,Hydrological Layer,SAC N
39,39,1202,,No,High,Inland,Man-made,Tank/Pond,,0.160212727865027,,20.10116352,73.0937366202,Dadra & Nagar Haveli,164.99727882889013,1602.1272786502684,Hydrological Layer,SAC N
40,40,1202,,No,High,Inland,Man-made,Tank/Pond,,0.665967332874324,,20.0855251835,73.0329342059,Dadra & Nagar Haveli,382.4996517595011,6659.673328743244,Hydrological Layer,SAC N
41,41,1202,,No,High,Inland,Man-made,Tank/Pond,,0.674349268919627,,20.0944744038,73.0402905502,Dadra & Nagar Haveli,319.55167509428406,6743.4926891962705,Hydrological Layer,SAC N
42,42,1202,,No,High,Inland,Man-made,Tank/Pond,,1.44290477555762,,20.1527370511,73.0570749976,Dadra & Nagar Haveli,493.2541019273205,14429.047755576203,Hydrological Layer,SAC N
43,43,1202,,No,High,Inland,Man-made,Tank/Pond,,0.744784059404951,,20.1371059585,72.9889816447,Dadra & Nagar Haveli,329.681629805239,7447.840594049509,Hydrological Layer,SAC N
44,44,1202,,No,High,Inland,Man-made,Tank/Pond,,2.693636872578498,,20.1353637782,72.9817704477,Dadra & Nagar Haveli,821.7987864961095,26936.368725784978,Hydrological Layer,SAC N
49,49,9999,,NA,NA,NA,NA,NA,,3.433497312022573,,20.7604696354,71.1520523399,Daman & Diu,830.0717093830109,34334.97312022573,Hydrological Layer,SAC N
68,68,1203,,No,High,Inland,Man-made,Waterlogged,,6.081081590519302,,20.7169181592,70.9763572734,Daman & Diu,1105.683001965018,60810.81590519302,Hydrological Layer,SAC N
50,50,9999,,NA,NA,NA,NA,NA,,1.617465913691038,,20.7593824945,71.1471368653,Daman & Diu,802.4713525415966,16174.659136910383,Hydrological Layer,SAC N
88,88,1202,,No,High,Inland,Man-made,Tank/Pond,,3.687382276994585,,20.4603959194,72.8540693031,Daman & Diu,797.6783714976619,36873.822769945844,Hydrological Layer,SAC N
106,106,1205,,No,High,Inland,Man-made,Aquaculture Pond,,1.475913072362841,,20.4580918547,72.8486714411,Daman & Diu,509.35435011420975,14759.130723628408,Hydrological Layer,SAC N
