Dist_Name,State_Name,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration
Aurangabad,Maharashtra,16.29758908817163,0.75855332,0.771925606,0.013372286,301,46,4525057,13.0
Azamgarh,Uttar Pradesh,17.951289130056143,6.067454778,0.055490347,6.011964431,257,11,5177742,20.0
Badgam,Jammu & Kashmir,14.282593564658416,3.988476641,0.182326085,3.806150556,51,11,992328,6.0
Bagalkote,Karnataka,12.352264924637735,1.462562203,1.460163536,0.002398667,67,4,2065589,14.0
Bageshwar,Uttarakhand,12.479758572738648,0.57268385,0.001914048,0.570769802,40,13,256564,2.0
Baghpat,Uttar Pradesh,14.060014261552078,4.30209073,0.0,4.30209073,58,0,1340897,26.0
Bahraich,Uttar Pradesh,18.077352963427945,4.089125081,0.40923834,3.679886741,225,32,4156731,15.0
Baksa,Assam,14.8521292715311,3.829965692,0.097900998,3.732064694,51,1,1258285,7.0
Balaghat,Madhya Pradesh,16.630218636838876,1.159502036,0.086946009,1.072556027,118,108,1884118,6.0
Balangir,Odisha,13.663829374845571,1.245116533,0.149789566,1.095326967,25,0,2028038,32.0
Baleshwar,Odisha,17.31748221832247,12.64357177,3.878298705,8.765273065,220,5,2513933,16.0
Ballari,Karnataka,16.687776013211217,1.132672375,0.584051989,0.548620386,147,30,2961339,8.0
Ballia,Uttar Pradesh,18.282412575936064,14.2259764,0.925904877,13.30007152,312,13,3696633,18.0
Balod,Chhattisgarh,6.814171814275378,0.692282824,0.717205888,0.024923064,0,0,961306,3.0
Baloda Bazar,Chhattisgarh,9.197380868666414,3.669338228,0.368934666,3.300403562,0,0,1681629,2.0
Balrampur,Uttar Pradesh,16.273890154213387,0.665330167,0.022677673,0.642652494,58,26,853775,20.0
Balrampur,Uttar Pradesh,15.795300126674809,0.665330167,0.022677673,0.642652494,58,26,853775,20.0
Balrampur,Chhattisgarh,15.71565822290066,0.665330167,0.022677673,0.642652494,58,26,853775,20.0
Balrampur,Chhattisgarh,15.237068195362085,0.665330167,0.022677673,0.642652494,58,26,853775,20.0
Balrampur,Uttar Pradesh,16.273890154213387,4.434421195,0.059511194,4.374910001,58,26,853775,20.0
Balrampur,Uttar Pradesh,15.795300126674809,4.434421195,0.059511194,4.374910001,58,26,853775,20.0
Balrampur,Chhattisgarh,15.71565822290066,4.434421195,0.059511194,4.374910001,58,26,853775,20.0
Balrampur,Chhattisgarh,15.237068195362085,4.434421195,0.059511194,4.374910001,58,26,853775,20.0
Balrampur,Uttar Pradesh,16.273890154213387,0.665330167,0.022677673,0.642652494,58,26,2570002,20.0
Balrampur,Uttar Pradesh,15.795300126674809,0.665330167,0.022677673,0.642652494,58,26,2570002,20.0
Balrampur,Chhattisgarh,15.71565822290066,0.665330167,0.022677673,0.642652494,58,26,2570002,20.0
Balrampur,Chhattisgarh,15.237068195362085,0.665330167,0.022677673,0.642652494,58,26,2570002,20.0
