id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency,Waterbody_Name
105,105,1105,Katuli Beel,Yes,Low,Inland,Natural,,42.2672090240534,,25.4845010857,89.8740309481,Meghalaya,3892.13644127679,422672.090240534,Hydrological Layer,SAC N,Waterlogged
129,129,1202,,No,High,Inland,Man-made,,0.139040780815439,,25.6735854429,92.0568106409,Meghalaya,174.576225001542,1390.40780815439,Hydrological Layer,SAC N,Tank/Pond
98,98,1101,Khas Beel,Yes,Moderate,Inland,Natural,,13.4372543735118,,25.5460705302,89.8852043343,Meghalaya,3725.9192705646,134372.543735118,Hydrological Layer,SAC N,Lake/Pond
106,106,1202,Umiew,No,High,Inland,Man-made,,1.28507619798522,,25.5122886792,91.8797357684,Meghalaya,582.424379675304,12850.7619798522,Hydrological Layer,SAC N,Tank/Pond
116,116,1202,Ro.ongop Beel,Yes,Low,Inland,Man-made,,8.90768738236499,,25.351008427,89.8308924596,Meghalaya,1175.98378778128,89076.8738236499,Hydrological Layer,SAC N,Tank/Pond
138,138,1202,,No,High,Inland,Man-made,,0.344963049179865,,25.4682865092,91.2517955531,Meghalaya,270.089826768581,3449.63049179865,Hydrological Layer,SAC N,Tank/Pond
589,589,1202,,No,High,Inland,Man-made,,0.209235975401972,,25.5658569025,91.1682972472,Meghalaya,203.920106271063,2092.35975401972,Hydrological Layer,SAC N,Tank/Pond
123,123,1202,Umhang Lake,Yes,Low,Inland,Man-made,,5.89547093193323,,25.2324835315,92.2468594876,Meghalaya,1114.81368805219,58954.7093193323,Hydrological Layer,SAC N,Tank/Pond
107,107,1202,Umiew,No,High,Inland,Man-made,,0.854986781688864,,25.5126355236,91.8788076588,Meghalaya,424.37756289336,8549.86781688864,Hydrological Layer,SAC N,Tank/Pond
4541,4541,1202,,No,High,Inland,Man-made,,0.171085808707933,,25.3419713271,91.4442532468,Meghalaya,209.397116618342,1710.85808707934,Hydrological Layer,SAC N,Tank/Pond
4530,4530,1202,,No,High,Inland,Man-made,,0.633030689682358,,25.5744421366,91.1957729411,Meghalaya,470.265705700451,6330.30689682358,Hydrological Layer,SAC N,Tank/Pond
117,117,1202,,No,High,Inland,Man-made,,0.178489620270305,,25.3414872956,89.9385796903,Meghalaya,172.333351725448,1784.89620270305,Hydrological Layer,SAC N,Tank/Pond
118,118,1105,Lalmati Beel,Yes,Low,Inland,Natural,,1.95562878531188,,25.319130226,89.8436578295,Meghalaya,1267.95876167324,19556.2878531188,Hydrological Layer,SAC N,Waterlogged
4531,4531,1202,,No,High,Inland,Man-made,,0.332663500595269,,25.5408216519,91.2053672039,Meghalaya,272.752375583785,3326.63500595269,Hydrological Layer,SAC N,Tank/Pond
4532,4532,1202,,No,High,Inland,Man-made,,0.427671050240064,,25.543716016,91.2205390079,Meghalaya,519.384401192187,4276.71050240064,Hydrological Layer,SAC N,Tank/Pond
4533,4533,1202,,No,High,Inland,Man-made,,0.200851459866444,,25.466128806,91.3196555189,Meghalaya,388.892029776355,2008.51459866444,Hydrological Layer,SAC N,Tank/Pond
4534,4534,1202,,No,High,Inland,Man-made,,0.302045588122056,,25.4721994544,91.3180924859,Meghalaya,595.7561532825,3020.45588122056,Hydrological Layer,SAC N,Tank/Pond
4535,4535,1202,,No,High,Inland,Man-made,,0.140562094478651,,25.4475205087,91.3434825946,Meghalaya,167.711859792608,1405.62094478651,Hydrological Layer,SAC N,Tank/Pond
