Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,shape_le_1,Dataset_Name
Phase 2,Haryana,Gurugram,Gurgaon,Gurugram,HR2AGRG0032,28.48362674,76.99731455,Ganga,Yamuna Upper,Najafgarh Drain,Lakes/Pond,1.71908907,17190.890709126226,578.8859942051713,,NWIC,1794,1794,2682.0,06,062,0417,0,2A,2A,YAU,YAU,WS2AYAU038,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,578.8859942051713,District Water Body Atlas
Phase 2,Haryana,Gurugram,Gurgaon,Bajghera,HR2AGRG0033,28.523650250000003,77.02008108999999,Ganga,Yamuna Upper,Najafgarh Drain,Lakes/Pond,1.3070139,13070.138995390997,413.4327318696204,,NWIC,1795,1795,2683.0,06,062,0417,62813,2A,2A,YAU,YAU,WS2AYAU038,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,413.4327318696204,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Thanesar,Dhanora Jattan,HR01KRK0001,30.02114692,77.04028652,Indus (Up to border),Ghaghar and others,Chautaung,Lakes/Pond,1.28230032,12823.00320832901,442.4508698956481,Dhanora Jattan,NWIC,1796,1796,51762.0,06,068,0366,058671,01,01,GHO,GHO,WS01GHO009,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,442.4508698956481,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Thanesar,Barham,HR01KRK0002,30.07599287,76.83314158,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.23644446,12364.444645260884,442.36856587897023,Barham,NWIC,1797,1797,51763.0,06,068,0366,058589,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,442.36856587897023,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Thanesar,Sudhpur,HR01KRK0003,30.09364381,76.81572231000001,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.2755138,12755.137954713515,472.39860246609874,Sudhpur,NWIC,1798,1798,51764.0,06,068,0366,058588,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,No,No,No,Yes,Yes,No,0,472.39860246609874,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Shahbad,Yari,HR01KRK0004,30.15406836,76.93042771,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.28838081,12883.80807545835,484.80604919192007,Yari,NWIC,1799,1799,51765.0,06,068,0364,058325,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,Yes,Yes,No,No,No,No,No,No,No,0,484.80604919192007,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Shahbad,Yara,HR01KRK0005,30.14357971,76.95055847,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.48134164,14813.416437264894,512.083604070992,Yara,NWIC,1800,1800,51766.0,06,068,0364,058326,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,512.083604070992,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Shahbad,Chhapra,HR01KRK0007,30.13729003,76.91198856,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.53141967,15314.196694896931,451.60442520852587,Chhapra,NWIC,1802,1802,51768.0,06,068,0364,058329,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,451.60442520852587,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Thanesar,Isherheri,HR01KRK0008,30.130167789999998,76.9784373,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.42389283,14238.928321564905,649.2035247780603,Isherheri,NWIC,1803,1803,51769.0,06,068,0366,058615,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,649.2035247780603,District Water Body Atlas
Phase 2,Haryana,Kurukshetra,Thanesar,Kanipla,HR01KRK0009,30.048356910000003,76.86684019,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.85513979,18551.397878065494,673.0080767080507,Kanipla,NWIC,1804,1804,51770.0,06,068,0366,058563,01,01,GHO,GHO,WS01GHO011,,01,,,,,,,,0.0,0.0,,,,,,No,No,No,No,No,No,No,No,No,0,673.0080767080507,District Water Body Atlas
