PIC,dm_name,sdso,state,district,river,incharge,ht_found,cmp_year,basin,mx_wt_lel,frl,gs_st_cap,ds_sp_cap,dm_length,dm_type,purpose,latitude,longitude,Longitude,Latitude
MH293MH3096,Juwathi,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",27.58,2004,West Flowing Rivers from Tapi to Tadri,127.7,127.0,2.234,40.25,416,·  ZONED EARTHEN DAM,Irrigation,"16° 34' 49.000"" N","73° 32' 20.000"" E",3318569.9843999967,3207975.581099998
MH293MH3097,Kondwadi,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",19.63,2008,West Flowing Rivers from Tapi to Tadri,118.6,118.0,1.164,112.7,0,·  ZONED EARTHEN DAM,Irrigation,"16° 43' 43.000"" N","73° 32' 53.000"" E",3320278.838299997,3224139.8896999992
MH293MH3098,Watul,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",25.93,2013,West Flowing Rivers from Tapi to Tadri,120.5,119.0,2.99,44.8,300,·  ZONED EARTHEN DAM,Irrigation,"16° 44' 34.000"" N","73° 35' 46.000"" E",3325408.4536999986,3225456.6948999986
MH293MH3099,Kasheli,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",29.24,2001,West Flowing Rivers from Tapi to Tadri,106.5,105.0,2.266,44.8,180,·  ZONED EARTHEN DAM,Irrigation,"16° 43' 37.000"" N","73° 18' 36.000"" E",3295209.2227,3225127.4398000017
MH293LH3100,Hardkhale,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",24.97,1996,West Flowing Rivers from Tapi to Tadri,113.5,112.0,2.053,121.45,0,·  ZONED EARTHEN DAM,Irrigation,"16° 49' 14.000"" N","73° 40' 26.000"" E",3333977.865000002,3233583.5766000003
MH293MH3101,Indavati,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",30.0,2012,West Flowing Rivers from Tapi to Tadri,130.5,127.0,2.66,704.52,0,·  ZONED EARTHEN DAM,Irrigation,"16° 43' 8.000"" N","73° 19' 33.000"" E",3296834.2937999964,3224168.2784
MH293MH3102,Kuwa,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",24.02,2010,West Flowing Rivers from Tapi to Tadri,123.0,122.0,1.665,58.1,0,·  ZONED EARTHEN DAM,Irrigation,"16° 41' 14.000"" N","73° 31' 33.000"" E",3317731.402800001,3219725.1878999993
MH330MH3103,Bordi-Kondwardha,Maharashtra,Maharashtra,Amarawati,Purna,"Wrd-Se, Amravati Irrigation Project Circle, Amravati",32.2,2024,West Flowing Rivers from Tapi to Tadri,370.0,368.5,5.91,594.8,0,·  ZONED EARTHEN DAM,Irrigation,"20° 6' 54.000"" N","72° 44' 53.000"" E",3255067.320100002,3597040.1242000014
MH330LH3104,Timtala,Maharashtra,Maharashtra,Amarawati,,"Wrd-Se, Amravati Irrigation Project Circle, Amravati",19.45,2021,Godavari,95.6,93.7,3.26,451.24,0,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"20° 47' 22.000"" N","77° 45' 52.000"" E",3771431.7836000025,3653030.9398000017
MH293MH3105,Savdav,Maharashtra,Maharashtra,Sindhudurg,,"Swcd-Regional Water Conservation Officer, Thane",29.1,2014,West Flowing Rivers from Tapi to Tadri,123.0,122.0,2.46,41.65,0,·  ZONED EARTHEN DAM,Irrigation,"16° 19' 19.000"" N","73° 42' 23.000"" E",3334961.3159999996,3178933.9362000003
MH330MH3106,Ghungshi,Maharashtra,Maharashtra,Akola,Purna,"Wrd-Se, Amravati Irrigation Project Circle, Amravati",34.95,2024,Tapi,263.0,263.0,17.45,11698.0,0,•	EARTHFILL (EMBANKMENT),Irrigation / Water Supply,"20° 51' 6.000"" N","77° 16' 26.000"" E",3721412.865199998,3660677.84
MH293MH3107,Naniwade (Wadekarwadi),Maharashtra,Maharashtra,Sindhudurg,,"Swcd-Regional Water Conservation Officer, Thane",29.0,2022,West Flowing Rivers from Tapi to Tadri,124.0,123.0,1.793,28.2,0,·  ZONED EARTHEN DAM,Irrigation,"17° 58' 18.000"" N","73° 33' 32.000"" E",3327624.8893000036,3359734.8962000012
MH293HH3108,Janavali,Maharashtra,Maharashtra,Sindhudurg,Janvali,"Swcd-Regional Water Conservation Officer, Thane",18.0,2015,West Flowing Rivers from Tapi to Tadri,112.0,111.0,2.499,59.82,0,·  ZONED EARTHEN DAM,Irrigation,"16° 17' 0.000"" N","73° 45' 0.000"" E",3339379.186800003,3174506.270300001
MH293MH3109,Kokisare (Khambalwadi),Maharashtra,Maharashtra,Sindhudurg,,"Swcd-Regional Water Conservation Officer, Thane",23.7,2000,West Flowing Rivers from Tapi to Tadri,120.0,119.0,1.845,25.0,0,·  ZONED EARTHEN DAM,Irrigation,"16° 30' 23.000"" N","73° 43' 59.000"" E",3338674.856399998,3198974.2961999997
MH293MH3110,Naniwade (Mahajanwadi),Maharashtra,Maharashtra,Sindhudurg,,"Swcd-Regional Water Conservation Officer, Thane",21.25,2000,West Flowing Rivers from Tapi to Tadri,118.5,117.5,1.821,31.71,0,·  ZONED EARTHEN DAM,Irrigation,"16° 36' 2.000"" N","73° 42' 7.000"" E",3335854.390299998,3209413.104800001
MH293MH3111,Kurwal,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",24.95,2018,West Flowing Rivers from Tapi to Tadri,114.0,112.0,2.712,190.36,0,·  ZONED EARTHEN DAM,Irrigation,"17° 35' 48.000"" N","73° 36' 16.000"" E",3330519.7249,3318628.9461000003
MH293MH3112,Sukondi-Waghine,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",24.82,2007,West Flowing Rivers from Tapi to Tadri,119.5,117.0,4.319,883.67,0,·  ZONED EARTHEN DAM,Irrigation,"17° 47' 30.000"" N","73° 20' 30.000"" E",3304038.1191999987,3341167.1427000016
MH293MH3113,Sheldi,Maharashtra,Maharashtra,,,"Swcd-Regional Water Conservation Officer, Thane",27.0,1998,West Flowing Rivers from Tapi to Tadri,111.5,110.0,1.877,196.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 38' 17.000"" N","73° 31' 48.000"" E",3322939.8439000025,3323498.9191000015
MH293MH3114,Tulshi,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",20.3,1978,West Flowing Rivers from Tapi to Tadri,84.0,83.0,98.29,640.0,220,·  ZONED EARTHEN DAM,Irrigation,"18° 21' 0.000"" N","73° 13' 0.000"" E",3293914.0040000007,3402632.6754
MH293MH3115,M.I. Tank Rajewadi,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",33.0,1999,West Flowing Rivers from Tapi to Tadri,155.5,154.0,3.2371,168.0,345,·  ZONED EARTHEN DAM,Irrigation,"17° 23' 53.000"" N","73° 34' 44.000"" E",3326858.3088999987,3297083.5429
MH293MH3116,M.I. Tank Morde,Maharashtra,Maharashtra,Ratnagiri,,"Swcd-Regional Water Conservation Officer, Thane",28.9,2002,West Flowing Rivers from Tapi to Tadri,109.0,108.0,2.09069,58.91,0,·  ZONED EARTHEN DAM,Irrigation,"17° 0' 2.000"" N","73° 39' 58.000"" E",3334043.9378999993,3253279.722100001
