PIC,dm_name,sdso,state,district,river,incharge,ht_found,cmp_year,basin,mx_wt_lel,frl,gs_st_cap,ds_sp_cap,dm_length,dm_type,purpose,latitude,longitude,Longitude,Latitude
AN71MH0003,Chouldari Dam,Ndsa-South,Andaman and Nicobar Island,,Dhani Khari,Military Engineer Services,19.0,2002,Drainage area of Andaman and Nicobar Islands,17.25,17.0,1.07,0.0,0,· HOMOGENEOUS EARTHEN DAM,Water Supply,"11° 37' 28.000"" N","92° 39' 33.000"" E",5382750.507299997,2708833.1686999984
AN15HH0001,Dhanikhari,Andaman Nicobar,Andaman and Nicobar Island,South Andamans,,Andaman Public Work Department-1,37.25,1973,Drainage area of Andaman and Nicobar Islands,66.0,66.0,5.13,225.0,0,,Irrigation,"11° 34' 19.000"" N","92° 40' 35.000"" E",5385150.007799998,2703200.483100001
AN15HH0002,Kalpong,Andaman Nicobar,Andaman and Nicobar Island,North and Middle Andaman,Diglipur,Andaman Public Work Department-2,31.5,2001,Drainage area of Andaman and Nicobar Islands,209.4,206.8,15.27,150.0,0,•	CFRD (CONCRETE FACE ROCKFILL DAM),Hydropower,"13° 9' 35.000"" N","92° 58' 10.000"" E",5400930.633900002,2881088.7529000007
AP01MH0001,Cumbhum Tank,Andhra Pradesh,Andhra Pradesh,,Gundlakamma,"Chief Engineer, Projects, Ongole, Water Resources Department",18.0,1500,EFR between Mahanadi and Pennar,204.1,203.2,83.6,112.78,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"15° 34' 38.000"" N","79° 4' 51.000"" E",3902308.831299998,3082808.5955
AP01LH0002,Dondapadu Tank,Andhra Pradesh,Andhra Pradesh,palnadu,Krishna,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.3,1910,EFR between Mahanadi and Pennar,99.28,98.22,7.28,312.0,720,· HOMOGENEOUS EARTHEN DAM,Irrigation,"16° 5' 1.000"" N","79° 36' 48.000"" E",3959056.2201000005,3138038.7267000005
AP01MH0003,Siddapuram Tank,Andhra Pradesh,Andhra Pradesh,Nandyal,Bhavanasi,"Chief Engineer, Projects,Kurnool, Water Resources Department",19.0,1919,Krishna,324.0,324.0,24.74,492.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 51' 37.000"" N","78° 41' 28.000"" E",3861177.4912,3114161.423700001
AP01MH0004,Mopad Reservoir,Andhra Pradesh,Andhra Pradesh,prakasam,,"Chief Engineer, Projects, Ongole, Water Resources Department",28.0,1921,EFR between Mahanadi and Pennar,101.98,100.15,65.316,1923.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 6' 37.000"" N","79° 28' 55.000"" E",3944751.219300002,3031361.8073000014
AP01LH0005,Thippayapalem Tank,Andhra Pradesh,Andhra Pradesh,prakasam,Pedda Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.0,1938,EFR between Mahanadi and Pennar,178.31,175.56,5.125,285.46,0,,Irrigation,"15° 41' 26.000"" N","79° 7' 59.000"" E",3907935.5133000016,3095198.5102000013
AP01LH0006,Markapur Tank,Andhra Pradesh,Andhra Pradesh,prakasam,Yadala Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.0,1945,EFR between Mahanadi and Pennar,153.77,153.16,6.172,75.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"15° 43' 54.000"" N","79° 16' 40.000"" E",3923327.1278000027,3099618.1810000017
AP01LH0007,"Owk Reservoir Complex (Palair, Gollaleru,Timmaraju)",Andhra Pradesh,Andhra Pradesh,Nandyal,,"Chief Engineer, Projects,Kurnool, Water Resources Department",32.0,1946,Pennar,227.0,227.0,117.458,2563.014,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Industrial / Tourism / Fishing,"15° 12' 9.000"" N","78° 5' 27.000"" E",3796537.105800003,3042761.390900001
AP01LH0008,Gambhiramgedda Reservoir,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",13.0,1957,Godavari,39.014,38.405,1.68,550.0,268,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply,"17° 52' 34.000"" N","83° 21' 8.000"" E",4350268.946699999,3338102.787700001
AP01MH0009,Prakasam Barrage,Andhra Pradesh,Andhra Pradesh,,Krishna,"Chief Engineer, Kds, Vijayawada, Water Resources Department",22.25,1957,Krishna,22.13,17.39,86.961,0.6,0,,Irrigation,"16° 30' 27.000"" N","80° 36' 19.000"" E",4063892.8483000025,3184522.943599999
AP01MH0010,Nakkalagandi,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer,Ntr Tgp,Tirupati,Water Resources Department",15.0,1958,EFR between Mahanadi and Pennar,115.25,113.0,4.729,409.0,175,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Flood Control,"15° 3' 32.000"" N","79° 22' 28.000"" E",3933261.7478,3025766.7358999997
AP01MH0011,Upper Pennar,Andhra Pradesh,Andhra Pradesh,Sri Sathya Sai,,"Chief Engineer, Projects, Anantapur, Water Resources Department",17.0,1958,Pennar,536.45,536.45,51.282,3398.0,3505,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 20' 9.000"" N","77° 21' 1.000"" E",3715832.219300002,2948830.6942000017
AP01MH0012,Lower Sagileru Project,Andhra Pradesh,Andhra Pradesh,,Sagileru,"Chief Engineer, Projects,Kadapa, Department: Water Resources Department",22.91,1959,Pennar,156.972,156.972,7.3,1586.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 57' 13.000"" N","78° 56' 54.000"" E",3887715.8874000013,3014477.557599999
AP01LH0013,Rallapadu Project,Andhra Pradesh,Andhra Pradesh,Sri Potti Sriramulu Nellore,,"Chief Engineer, Projects, Ongole, Water Resources Department",16.46,1960,EFR between Mahanadi and Pennar,43.89,41.15,31.33,7327.9,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply,"15° 2' 58.000"" N","79° 43' 8.000"" E",3970007.1284999996,3024611.5760000013
AP01MH0015,Kalangi Reservoir,Andhra Pradesh,Andhra Pradesh,Tirupati,Kalangi,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",18.0,1950,EFR between Pennar and Kanyakumari,68.28,67.67,6.971,1387.52,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 36' 0.000"" N","79° 47' 50.000"" E",3978135.3351000026,2865146.7793000005
AP01MH0016,Pincha Project,Andhra Pradesh,Andhra Pradesh,Annamayya,Pincha,"Chief Engineer, Projects,Kadapa, Department: Water Resources Department",21.0,1960,Pennar,304.88,304.88,0.26,1644.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 54' 32.000"" N","78° 59' 59.000"" E",3892386.7996999994,2899547.7424000017
AP01MH0017,"Siddlagandi Project, Kotakadapalle (V)",Andhra Pradesh,Andhra Pradesh,,Bugga Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",15.8,1960,Pennar,548.03,547.42,0.99,66.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 50' 0.000"" N","79° 8' 50.000"" E",3908204.7577000037,2891121.351
AP01MH0018,Bhairavanitippa,Andhra Pradesh,Andhra Pradesh,Ananthapuramu,Hagari Or Vedavati,"Chief Engineer, Projects, Anantapur, Water Resources Department",20.0,1961,Krishna,504.44,504.44,74.311,3627.0,2022,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 32' 21.000"" N","76° 50' 19.000"" E",3661469.0034999996,2972317.454599999
AP01HH0019,Buggavagu,Andhra Pradesh,Andhra Pradesh,palnadu,,"Chief Engineer, Nsp, Guntur, Water Resources Department",30.387,1961,Krishna,144.96,144.5,97.97,567.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"16° 28' 42.000"" N","79° 31' 15.000"" E",3949408.4712999985,3181280.2173000015
AP01HH0020,Jalaput Dam (S.H.E.S),Ndsa-South,Andhra Pradesh,Alluri Sitharama Raju,Sileru,Andhra Pradesh Power Generation Corporation(Apgenco),61.0,1961,Godavari,838.2,838.2,969.92,5663.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Hydropower,"18° 27' 33.000"" N","82° 32' 54.000"" E",4265132.0854,3399933.4054000005
AP01MH0021,Arniar Project,Andhra Pradesh,Andhra Pradesh,Tirupati,Arani,"Chief Engineer,Ntr Tgp,Tirupati,Water Resources Department",20.72,1962,EFR between Pennar and Kanyakumari,85.64,85.64,52.47,864.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 25' 1.000"" N","79° 44' 33.000"" E",3972197.987499997,2844971.8784000017
AP01MH0022,Zurreru Project,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Projects,Kurnool, Water Resources Department",16.0,1963,Pennar,264.02,263.71,7.34,762.11,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 19' 38.000"" N","78° 7' 34.000"" E",3800478.5111000016,3056395.949000001
AP01HH0023,Guntavada Weir (S.H.E.S),Andhra Pradesh,Andhra Pradesh,Alluri Sitharama Raju,,"Chief Engineer, Lower Sileru Hydro Electric Scheme, Mothugudem, Water Resources Department",31.0,1967,Godavari,416.052,414.528,122.72,10933.0,0,,Hydropower,"18° 3' 33.000"" N","82° 2' 17.000"" E",4212677.281199999,3355448.2639999986
AP01HH0024,Thatipudi,Andhra Pradesh,Andhra Pradesh,Vizianagaram,,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",37.0,1967,EFR between Mahanadi and Pennar,90.521,90.521,94.1391,1177.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"18° 10' 17.000"" N","83° 11' 40.000"" E",4333055.495700002,3369928.0518000014
AP01HH0025,Mid Pennar Stage-I,Andhra Pradesh,Andhra Pradesh,Ananthapuramu,Pennar,"Chief Engineer, Projects, Anantapur, Water Resources Department",43.0,1968,Pennar,366.37,365.75,147.238,5318.0,1152,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Flood Control / Fishing,"14° 52' 15.000"" N","77° 24' 34.000"" E",3723258.0028000027,3007511.0639999993
AP01MH0026,Chennaraya Swami Gudi Project,Andhra Pradesh,Andhra Pradesh,,Papagni,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",15.0,1969,Pennar,587.32,587.35,4.818,900.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 51' 44.000"" N","78° 10' 45.000"" E",3804046.096199997,2895291.989500001
AP01MH0027,Subba Reddy Sagar,Andhra Pradesh,Andhra Pradesh,Kakinada,,"Chief Engineer, Gds,Dowlaiswaram, Water Resources Department",17.5,1969,EFR between Mahanadi and Pennar,89.0,87.0,6.51,542.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 19' 53.000"" N","82° 12' 20.000"" E",4231398.697099999,3276271.049800001
AP01MH0030,Vottigedda Reservoir,Andhra Pradesh,Andhra Pradesh,Parvathipuram Manyam,Votti Gedda_Nagavali,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",27.0,1972,EFR between Mahanadi and Pennar,121.62,121.62,27.13,1508.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"18° 50' 55.000"" N","83° 36' 15.000"" E",4373876.2403,3444766.416200001
AP01MH0031,Bahuda Reservoir Project,Andhra Pradesh,Andhra Pradesh,Annamayya,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",20.0,1974,Pennar,614.45,614.14,11.27,849.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 33' 47.000"" N","78° 37' 43.000"" E",3852091.6155999973,2861778.1033999994
AP01LH0032,Vyasasamudram Tank,Andhra Pradesh,Andhra Pradesh,Annamayya,Papagni,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",11.29,1974,Pennar,673.21,672.01,6.58,169.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 43' 30.000"" N","78° 8' 21.000"" E",3799541.974299997,2880231.5691
AP01LH0033,Gujjuvai Reservoir,Andhra Pradesh,Andhra Pradesh,Parvathipuram Manyam,Votti Gedda_Nagavali,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",15.0,1974,EFR between Mahanadi and Pennar,100.9,100.0,0.729,91.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"18° 55' 27.000"" N","83° 44' 14.000"" E",4387457.161600001,3453355.7005000003
AP01LH0034,Bukkapatnam Tank,Andhra Pradesh,Andhra Pradesh,Sri Sathya Sai,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",14.0,1975,Pennar,448.91,448.07,19.914,567.36,5700,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 10' 49.000"" N","77° 46' 26.000"" E",3760987.5803000033,2930931.6576999985
AP01MH0035,C.K Reservoir,Andhra Pradesh,Andhra Pradesh,prakasam,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",18.0,1975,EFR between Mahanadi and Pennar,190.8,189.58,4.813,418.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 51' 3.000"" N","79° 50' 36.000"" E",3983260.343800001,3002779.210000001
AP01MH0036,Muraripalli Tank,Andhra Pradesh,Andhra Pradesh,prakasam,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",18.68,1975,EFR between Mahanadi and Pennar,175.26,173.73,6.597,29136.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"16° 3' 17.000"" N","79° 20' 10.000"" E",3929686.6758999974,3134984.150699999
AP01LH0037,"Pedda Cheruvu Tank, Nagasamudram",Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",14.0,1975,Pennar,415.785,415.175,4.0708,82.09,1200,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 18' 28.000"" N","77° 39' 7.000"" E",3748129.6501,2945171.0472999997
AP01MH0039,Varaha,Andhra Pradesh,Andhra Pradesh,,Sarpa,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",25.0,1975,EFR between Mahanadi and Pennar,141.4,140.2,13.38,523.0,0,•	ROCKFILL (EMBANKMENT),Irrigation,"17° 48' 39.000"" N","82° 40' 31.000"" E",4279680.826200001,3329466.696800001
AP01HH0040,Kalyani Dam,Andhra Pradesh,Andhra Pradesh,Tirupati,Kalyani R,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",36.0,1977,EFR between Pennar and Kanyakumari,274.32,274.32,25.76,1615.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 39' 27.000"" N","79° 16' 9.000"" E",3921230.5543000028,2871673.2782000005
AP01LH0041,Kaleti Vagu Reservoir,Andhra Pradesh,Andhra Pradesh,,Kaleti Vanka,"Chief Engineer, Projects,Kadapa, Department: Water Resources Department",11.2,0,Pennar,0.0,0.0,6.4,683.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 14' 12.000"" N","78° 27' 42.000"" E",3834896.8527999967,2936149.852600001
AP01MH0042,Mehadrigedda,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,Narava Gedda,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",15.0,1977,EFR between Mahanadi and Pennar,18.9,18.3,1.19,1501.0,0,· HOMOGENEOUS EARTHEN DAM,Water Supply,"17° 45' 54.000"" N","83° 11' 27.000"" E",4333683.2236,3325587.2754999995
AP01HH0043,Thandava,Andhra Pradesh,Andhra Pradesh,Anakapalli,Tandava,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",33.0,1977,EFR between Mahanadi and Pennar,116.83,115.824,140.11,1218.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 37' 17.000"" N","82° 27' 42.000"" E",4257713.012999997,3308382.338300001
AP01MH0044,Peddabommalapuram Tank,Andhra Pradesh,Andhra Pradesh,prakasam,Yelugukunta Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",17.3,1978,EFR between Mahanadi and Pennar,253.9,252.07,3.763,628.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 57' 35.000"" N","79° 8' 14.000"" E",3908558.608099997,3124692.153099999
AP01LH0045,Pittakayagulla Tank,Andhra Pradesh,Andhra Pradesh,,Vemuleru R,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",12.5,1978,EFR between Mahanadi and Pennar,219.45,218.2,3.306,42.91,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"15° 28' 41.000"" N","79° 7' 27.000"" E",3906846.737999998,3071904.5386999995
AP01MH0046,Pampa Reservoir,Andhra Pradesh,Andhra Pradesh,Kakinada,,"Chief Engineer, Gds,Dowlaiswaram, Water Resources Department",14.63,1979,EFR between Mahanadi and Pennar,32.0,32.0,15.96,1400.0,426,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 17' 10.000"" N","82° 24' 4.000"" E",4251998.044699997,3271660.8260999992
AP01MH0047,Gajuladinne Project,Andhra Pradesh,Andhra Pradesh,kurnool,hindri,"Chief Engineer, Projects,Kurnool, Water Resources Department",19.0,1979,Krishna,378.0,377.0,127.42,2265.35,4325,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 41' 48.000"" N","77° 37' 2.000"" E",3746984.5710999966,3097724.6838000007
AP01LH0048,Sadasivakona,Andhra Pradesh,Andhra Pradesh,,Tungala Madugu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",14.03,1979,EFR between Pennar and Kanyakumari,136.25,135.03,4.315,180.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 35' 34.000"" N","79° 36' 56.000"" E",3958544.8571999967,2864391.4563000016
AP01HH0049,Pedderu,Andhra Pradesh,Andhra Pradesh,Annamayya,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",35.0,1980,Pennar,486.5,481.5,20.39,3171.0,0,•	ROCKFILL (EMBANKMENT),Irrigation,"13° 53' 2.000"" N","78° 22' 17.000"" E",3824759.219700001,2897425.0989000015
AP01LH0050,Saddikutimadugu Reservoir,Andhra Pradesh,Andhra Pradesh,Tirupati,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.94,1980,Suvarnamukhi,119.78,119.18,1.0989,57.37,800,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 27' 19.000"" N","79° 48' 42.000"" E",3979671.488300003,2849187.7963000014
AP01LH0051,Jalakanur Tank,Andhra Pradesh,Andhra Pradesh,Nandyal,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.51,1981,Pennar,291.95,290.45,3.62,0.0,1070,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 43' 18.000"" N","78° 18' 25.000"" E",3820251.4601000026,3099405.5407
AP01MH0052,Krishnapuram Tank,Andhra Pradesh,Andhra Pradesh,Chittoor,,"Chief Engineer,Ntr Tgp,Tirupati,Water Resources Department",21.0,1981,EFR between Pennar and Kanyakumari,213.0,213.0,5.64,1077.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 23' 42.000"" N","79° 47' 34.000"" E",3977622.8638999984,2842542.482000001
AP01MH0053,Raiwada Reservoir,Andhra Pradesh,Andhra Pradesh,Anakapalli,Sarada,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",28.0,1982,EFR between Mahanadi and Pennar,114.0,114.0,101.9,1897.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply,"18° 0' 30.000"" N","82° 59' 0.000"" E",4311424.903800003,3351661.1284000017
AP01LH0054,Itugulapadu Tank,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.5,1982,Pennar,101.0,100.0,1.96,668.27,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 56' 43.000"" N","78° 53' 33.000"" E",3881747.612800002,3013608.083299998
AP01LH0055,Thadukuvagu Reservoir,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",12.2,1982,Pennar,101.0,100.0,1.7,679.6,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 8' 1.000"" N","78° 52' 7.000"" E",3879362.996299997,3034305.969799999
AP01MH0056,Konam Reservoir,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",23.0,1983,EFR between Mahanadi and Pennar,101.25,101.25,24.09,60.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 57' 59.000"" N","82° 51' 14.000"" E",4298007.013099998,3346805.4963999987
AP01HH0057,Donkarai (S.H.E.S),Andhra Pradesh,Andhra Pradesh,Alluri Sitharama Raju,,"Chief Engineer, Lower Sileru Hydro Electric Scheme, Mothugudem, Water Resources Department",71.0,1983,Godavari,316.69,316.08,467.22,15593.0,669,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 56' 2.000"" N","81° 47' 44.000"" E",4187547.327299997,3341435.9426999986
AP01MH0058,Mylavaram Reservoir,Andhra Pradesh,Andhra Pradesh,Y.S.R,Pennar,"Chief Engineer, Projects,Kadapa, Department: Water Resources Department",24.0,1983,Pennar,202.65,202.65,283.0,8180.0,2840,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Industrial / Tourism / Flood Control / Fishing,"14° 50' 58.000"" N","78° 20' 27.000"" E",3822722.184799999,3003661.1515999995
AP01VH0059,Srisailam Project (N.S.R.S.P),Ndsa-South,Andhra Pradesh,Nandyal,Krishna,"Chief Engineer, Projects, Kurnool, Water Resources Department(Ce Wrd Kurnool)",145.0,1984,Krishna,271.88,269.75,6110.9,38369.0,0,,Irrigation / Hydropower / Water Supply / Industrial / Tourism / Flood Control / Fishing,"16° 5' 13.000"" N","78° 53' 47.000"" E",3883143.537100002,3138805.276999999
AP01HH0060,Papavinasanam Dam,Andhra Pradesh,Andhra Pradesh,Tirupati,Papavinasa Kona,"Chief Engineer, Ttd, Tirupati, Water Resources Department",50.0,1985,EFR between Pennar and Kanyakumari,697.14,697.14,2.124,201.0,0,,Irrigation / Water Supply,"13° 43' 11.000"" N","79° 20' 36.000"" E",3929256.1582999974,2878491.0747000016
AP01LH0061,Savisettipalli Tank,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",12.0,1985,Pennar,102.1,100.0,2.36,130.26,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 59' 1.000"" N","78° 51' 56.000"" E",3878904.5988000035,3017840.4992999993
AP01HH0062,Somasila Reservoir,Andhra Pradesh,Andhra Pradesh,Sri Potti Sriramulu Nellore,Tummmala Vagu,"Chief Engineer,Ntr Tgp,Tirupati,Water Resources Department",39.0,1989,Pennar,101.803,100.584,2208.37,22375.0,352,· HOMOGENEOUS EARTHEN DAM,Irrigation / Hydropower / Water Supply,"14° 29' 29.000"" N","79° 12' 40.000"" E",3915487.353600003,2963502.8629
AP01MH0063,Gandipalem Project,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",21.0,1990,EFR between Mahanadi and Pennar,148.62,147.82,53.277,1658.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 59' 9.000"" N","79° 17' 54.000"" E",3925101.8452999964,3017783.5089000016
AP01HH0064,Jalleru Reservoir,Andhra Pradesh,Andhra Pradesh,Eluru,,"Chief Engineer, Gds,Dowlaiswaram, Water Resources Department",31.42,1992,Godavari,217.8,217.8,15.32,339.8,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 17' 24.000"" N","81° 20' 44.000"" E",4141217.4910999984,3270612.694600001
AP01MH0065,Thammileru,Andhra Pradesh,Andhra Pradesh,,Tammileru,"Chief Engineer, Gds,Dowlaiswaram, Water Resources Department",22.56,1997,EFR between Mahanadi and Pennar,108.2,108.2,31.11,736.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 0' 44.000"" N","80° 57' 35.000"" E",4100931.3871000037,3239927.2705000006
AP01MH0066,Varikunta Tank,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",15.1,1997,Pennar,101.0,100.0,1.9,809.85,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 2' 29.000"" N","78° 50' 35.000"" E",3876555.0014000013,3024204.0319
AP01LH0067,Pendlur Tank,Andhra Pradesh,Andhra Pradesh,,,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",10.6,1998,Pennar,101.0,100.0,1.59,293.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 24' 30.000"" N","78° 23' 30.000"" E",3827599.9155,2955116.859099999
AP01LH0068,Vagetikona Reservoir,Andhra Pradesh,Andhra Pradesh,,Gunjana Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",11.3,1998,Pennar,244.9,244.0,2.03,285.02,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"13° 52' 10.000"" N","79° 20' 2.000"" E",3928316.683799997,2894990.7457000017
AP01MH0069,Vengalaraya Sagar,Andhra Pradesh,Andhra Pradesh,Parvathipuram Manyam,,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",21.0,1998,EFR between Mahanadi and Pennar,161.0,161.0,47.51,1671.0,40700,· HOMOGENEOUS EARTHEN DAM,Irrigation,"18° 37' 44.000"" N","83° 12' 52.000"" E",4334002.332699999,3419848.2029
AP01LH0070,Pedaballi Reservoir,Andhra Pradesh,Andhra Pradesh,,Papagni,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",12.0,2000,Pennar,458.455,455.0,3.794,1676.0,0,,Irrigation,"13° 58' 12.000"" N","78° 22' 52.000"" E",3825914.2591999993,2906895.735800002
AP01LH0071,Sancherla Tank,Andhra Pradesh,Andhra Pradesh,,Pedda Vagu,"Chief Engineer, Minor Medium, Vijayawada, Water Resources Department",12.0,2000,Pennar,101.0,100.0,1.8,339.8,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"15° 8' 53.000"" N","79° 1' 25.000"" E",3895900.9381000027,3035767.8451000005
AP01MH0072,Andra Reservoir,Andhra Pradesh,Andhra Pradesh,Vizianagaram,,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",22.0,2000,Nagavali,146.0,146.0,27.75,1189.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"18° 20' 23.000"" N","83° 11' 53.000"" E",4333015.244999997,3388291.0489000008
AP01MH0073,Buggavanka Project,Andhra Pradesh,Andhra Pradesh,,Bugga Vanka,"Chief Engineer, Projects,Kadapa, Department: Water Resources Department",26.0,2001,Pennar,186.0,186.0,14.44,929.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 23' 51.000"" N","78° 50' 15.000"" E",3875378.4531000033,2953455.5163000003
AP01MH0074,Yogi Vemana (Maddileru) Reservoir,Andhra Pradesh,Andhra Pradesh,Sri Sathya Sai,,"Chief Engineer, Projects, Anantapur, Water Resources Department",29.5,2001,Pennar,383.0,383.0,23.77,3545.0,198,· HOMOGENEOUS EARTHEN DAM,Irrigation,"14° 21' 32.000"" N","78° 3' 13.000"" E",3791290.1247000024,2950136.2349000014
AP01MH0075,Madduvalasa Reservoir,Andhra Pradesh,Andhra Pradesh,Vizianagaram,Suvarnamukhi,"Chief Engineer, North Coast, Visakhapatnam, Water Resources Department",16.0,2003,EFR between Mahanadi and Pennar,65.0,65.0,95.51,5591.0,2162,·  ZONED EARTHEN DAM,Irrigation,"18° 35' 15.000"" N","83° 37' 10.000"" E",4376191.694700003,3416358.6569
