SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
29,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-21 08:30:00,1.2
30,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-24 08:30:00,12.6
31,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-25 08:30:00,1.2
32,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-26 08:30:00,7.6
33,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-27 08:30:00,8.4
34,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-29 08:30:00,26.8
35,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-30 08:30:00,79.2
36,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-31 08:30:00,123.6
37,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-04-08 08:30:00,5.0
38,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-05-08 08:30:00,8.2
39,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-08 08:30:00,41.2
40,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-08 08:30:00,0.2
41,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-10-08 08:30:00,5.2
42,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-11-08 08:30:00,4.2
43,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-13 08:30:00,20.2
44,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-14 08:30:00,5.2
45,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-17 08:30:00,2.2
46,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-19 08:30:00,3.6
47,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-26 08:30:00,1.2
48,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-28 08:30:00,11.4
49,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-29 08:30:00,1.2
50,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-30 08:30:00,21.6
51,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-31 08:30:00,6.2
52,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-01-09 08:30:00,6.2
53,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-03-09 08:30:00,1.2
54,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-04-09 08:30:00,8.0
55,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-09 08:30:00,3.2
56,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-08-09 08:30:00,7.0
57,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-12-09 08:30:00,1.2
58,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-13 08:30:00,2.2
59,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-14 08:30:00,33.6
60,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-15 08:30:00,23.2
61,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-22 08:30:00,1.2
62,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-23 08:30:00,2.4
63,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-28 08:30:00,2.0
64,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-29 08:30:00,1.2
65,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-09-30 08:30:00,145.6
66,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-01-10 08:30:00,95.6
67,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-02-10 08:30:00,15.2
68,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-03-10 08:30:00,1.2
69,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-06-10 08:30:00,10.6
70,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-07-10 08:30:00,3.6
71,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-10-17 08:30:00,8.6
72,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-10-18 08:30:00,10.0
73,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-10-19 08:30:00,54.6
74,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2021-10-20 08:30:00,5.0
