Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Bhavnagar,225,6,2765060,14.0,1.164791431,1.145481372,0.019310059
Bhilwara,85,4,2821404,20.0,0.795160097,0.045229947,0.74993015
Bhind,25,0,1937516,6.0,2.808721208,0.119319241,2.689401967
Bhiwani,31,6,1296415,5.0,2.188213606,0.000980524,2.187233082
Bhojpur,119,0,3338604,21.0,6.197224303,0.810391565,5.386832738
Bhopal,64,13,2938719,4.0,0.626374883,0.626869321,0.000494438
Bid,242,15,3032850,4.0,0.847814579,0.573485427,0.274329152
Bidar,89,7,1848763,8.0,1.344650341,0.577171919,0.767478422
Bijapur,85,20,275997,9.0,2.067319021,0.119061839,1.948257182
Bijnor,56,0,4311589,24.0,3.55139876,0.063788983,3.487609777
Bikaner,61,23,3124233,14.0,0.693208661,0.008307225,0.684901436
Bilaspur,111,9,2180689,5.0,1.199971728,0.445297237,0.754674491
Bilaspur,111,9,2180689,5.0,6.380614515,4.196110632,2.184503883
Bilaspur,111,9,517758,5.0,1.199971728,0.445297237,0.754674491
Bilaspur,111,9,517758,5.0,6.380614515,4.196110632,2.184503883
Birbhum,186,1,4082552,31.0,4.557102699,0.073826304,4.483276395
Bishnupur,1,0,299943,6.0,3.487839839,3.486841412,0.000998427
Biswanath,56,1,666698,10.0,5.175865068,2.020191719,3.155673349
Bokaro,12,1,2426002,2.0,1.369848729,1.347818433,0.022030296
Bongaigaon,79,1,803266,11.0,11.75738514,3.469432123,8.287953017
Botad,38,1,737921,17.0,0.962947549,0.085839662,0.877107887
Budaun,90,4,3653296,23.0,3.899941243,0.043402472,3.856538771
Bulandshahr,142,1,4116049,24.0,4.647089954,0.043817515,4.603272439
Buldana,92,7,2939030,3.0,0.570331597,0.427298223,0.143033374
Bundi,137,4,1323567,17.0,2.12987866,0.138460405,1.991418255
Burhanpur,15,10,917654,6.0,0.821960718,0.136420671,0.685540047
Buxar,89,0,2014287,25.0,5.8158623,0.526160857,5.289701443
Cachar,194,33,2105643,8.0,9.573358688,0.339758463,9.233600225
Central,5,13,1667718,3.0,7.250541685,0.0,7.250541685
Chamarajanagara,20,1,1089392,9.0,2.083532915,0.145853665,1.93767925
Chamba,125,13,586226,5.0,0.400300346,0.191863584,0.208436762
Chamoli,1546,75,426828,4.0,1.044647093,0.05612071,0.988526383
Champawat,26,14,293584,2.0,1.472908997,0.256522301,1.216386696
Champhai,9,8,136805,3.0,0.919185436,0.0,0.919185436
Chandauli,40,1,2179069,28.0,8.940225734,1.049386239,7.890839495
Chandel,0,0,125173,7.0,0.632996,0.002124825,0.630871175
Chandigarh,17,13,897511,2.0,0.001739235,0.000745464,0.000993771
Chandrapur,114,20,2348545,5.0,1.760192182,0.535308039,1.224884143
Changlang,4,1,183018,5.0,2.538486995,0.021259348,2.517227647
Charaideo,50,1,496227,18.0,16.05397104,0.010879162,16.04309188
Charki Dadri,2,0,545880,7.0,0.854921696,0.002355435,0.852566261
Chatra,8,3,1313082,2.0,0.37639693,0.036811514,0.339585416
Chengalpattu,36,4,3240797,10.0,4.817890104,2.065380723,2.752509381
Chennai,238,21,5558758,8.0,4.645634657,1.072848464,3.572786193
Chhatarpur,12,0,2100270,6.0,1.27766675,0.251215844,1.026450906
Chhindwara,33,6,2383077,5.0,0.626598635,0.382961008,0.243637627
Chikkaballapura,34,7,1326139,7.0,0.292140809,0.110670649,0.18147016
Chikkamagaluru,40,6,1168539,7.0,1.355001002,0.868566012,0.48643499
Chirang,56,1,616102,9.0,2.875769392,0.021873585,2.853895807
Chitradurga,99,3,1798153,9.0,0.426895091,0.23997582,0.186919271
Chitrakoot,41,3,1269815,24.0,2.917583682,0.454897641,2.462686041
Chittaurgarh,4,0,1838803,10.0,1.068551638,1.101782041,0.033230403
Chittoor,124,0,4580686,8.0,0.573483172,0.068957975,0.504525197
Chota Udaipur,22,0,1206205,16.0,0.859683354,0.747200646,0.112482708
Churachandpur,0,0,257051,7.0,1.167264968,0.2279733,0.939291668
Churu,43,14,2206492,25.0,0.776519408,0.00062635,0.775893058
Coimbatore,142,24,4180340,5.0,0.519629022,0.20279264,0.316836382
Cooch Behar,337,3,3286533,8.0,7.872524259,0.371070198,7.501454061
Cuddalore,63,10,2998319,4.0,6.561569456,0.689771711,5.871797745
Cuttack,285,2,2887779,16.0,13.14840204,1.638891263,11.50951078
Dadra & Nagar Haveli,10,0,618459,1.0,3.614704922,0.645537217,2.969167705
Dakshin Bastar Dantewada,0,0,332104,,1.73160173,0.05840241,1.67319932
Dakshin Dinajpur,190,3,1838248,24.0,3.854366613,0.005980479,3.848386134
Dakshina Kannada,117,41,2388502,8.0,1.44861205,0.422123179,1.026488871
Daman,0,0,190125,,2.853534384,1.308995942,1.544538442
Damoh,26,0,1437365,6.0,1.37672163,0.183081246,1.193640384
Darbhanga,207,9,4562640,18.0,10.08119281,0.024744941,10.05644787
Darjiling,548,63,1849559,11.0,2.014600116,0.096238867,1.918361249
Darrang,150,3,1126535,9.0,15.62408864,3.822695958,11.80139268
Datia,9,0,955153,6.0,2.46515688,0.299925165,2.165231715
Dausa,17,3,2162212,30.0,0.503371084,0.004574126,0.498796958
Davanagere,57,6,2110205,11.0,0.757147753,0.419899366,0.337248387
Debagarh,36,0,351390,32.0,2.166747854,2.19247626,0.025728406
Dehradun,232,17,2132260,6.0,1.565549733,0.084799737,1.480749996
Deoghar,3,0,1878226,4.0,0.900022929,0.088257849,0.81176508
Deoria,211,11,3288259,19.0,7.998150162,0.303328624,7.694821538
Devbhumi Dwarka,59,2,898223,20.0,0.632384691,0.65675835,0.024373659
Dewas,17,18,1839994,5.0,1.037523564,0.405980697,0.631542867
Dhalai,12,1,436885,4.0,1.167627679,0.830802532,0.336825147
Dhamtari,13,1,897907,1.0,1.523869436,1.570806706,0.04693727
Dhanbad,1,1,3014375,1.0,1.331577575,1.123698027,0.207879548
Dhar,14,0,2722423,5.0,0.815779757,0.487835201,0.327944556
Dharmapuri,28,4,1771524,6.0,0.764553583,0.519672081,0.244881502
Dharwad,123,30,2085599,7.0,0.419364228,0.136242811,0.283121417
Dhaulpur,62,0,1501877,21.0,3.16604113,0.385474633,2.780566497
Dhemaji,162,35,702202,9.0,10.8217802,1.436232391,9.385547809
Dhenkanal,140,0,1387551,28.0,1.607306371,0.725516959,0.881789412
Dhubri,141,3,1376422,12.0,11.79092943,2.559481456,9.231447974
Dhule,58,4,2456650,4.0,0.703409115,0.475721838,0.227687277
Dibrugarh,147,47,1510242,10.0,14.95295738,3.039084044,11.91387334
Dima Hasao,41,1,288305,8.0,1.849797408,0.192925704,1.656871704
Dimapur,1,0,510639,4.0,1.720970931,0.004473913,1.716497018
Dindigul,52,12,2457758,6.0,0.458409501,0.079067201,0.3793423
Dindori,3,0,917721,7.0,1.451159302,0.207929959,1.243229343
Diu,0,0,67412,,5.79981831,4.979981831,0.819836479
Doda,122,34,563657,4.0,0.541398151,0.270867996,0.270530155
Dohad,25,0,2742293,25.0,0.331645594,0.201923678,0.129721916
Dumka,8,0,1522340,6.0,0.826039058,0.598250003,0.227789055
Dungarpur,10,3,1670388,30.0,0.586707161,0.388930127,0.197777034
Durg,16,0,2010685,2.0,1.029480865,0.598727155,0.43075371
East ,0,0,1368632,,0.1,0.0,0.1
East District,146,8,337891,2.0,0.934153719,0.10298745,0.831166269
East Garo Hills,20,0,188522,4.0,0.691122728,0.004744409,0.686378319
East Godavari,222,1,5569277,9.0,6.191781457,2.48908494,3.702696517
East Jaintia Hills,4,0,150787,5.0,1.649728103,0.02228155,1.627446553
East Kameng,0,0,87734,2.0,1.388336152,0.061410827,1.326925325
East Khasi Hills,20,9,1005453,2.0,1.226830999,0.077062889,1.14976811
East Nimar,4,0,1518478,7.0,1.041803014,1.03067221,0.011130804
East Siang,13,668,86959,6.0,3.916385666,1.35629866,2.560087006
Ernakulam,136,61,3428525,5.0,5.103357738,3.843019755,1.260337983
Erode,64,9,2286982,6.0,1.28966656,0.635350328,0.654316232
Etah,106,1,2068262,23.0,1.185341675,0.000451786,1.184889889
Etawah,184,13,1845391,18.0,8.738456012,0.23711024,8.501345772
Faizabad,207,5,3092832,18.0,4.054677701,0.247188018,3.807489683
Faridabad,14,2,2383525,7.0,6.911149485,0.0,6.911149485
Faridkot,15,1,659286,5.0,4.441457773,0.0,4.441457773
Farrukhabad,76,0,2145188,20.0,6.314129092,0.099039455,6.215089637
Fatehabad,4,6,1056284,6.0,9.544000142,0.0,9.544000142
Fatehgarh Sahib,37,1,640240,5.0,0.476176498,0.0,0.476176498
Fatehpur,94,1,3038415,16.0,6.194245238,0.497518236,5.696727002
Fazilka,13,0,1143916,7.0,4.742047502,0.0,4.742047502
Firozabad,62,21,2948291,21.0,4.216316792,0.0,4.216316792
Firozpur,79,1,1057444,8.0,8.113945312,0.027828753,8.086116559
Gadag,82,8,1218001,10.0,0.935237691,0.161614128,0.773623563
Gadchiroli,90,15,1183215,4.0,1.859313068,0.196356508,1.66295656
Gajapati,25,0,638094,29.0,0.776854184,0.1973271,0.579527084
Ganderbal,58,13,559525,6.0,1.994547665,0.499016366,1.495531299
Gandhinagar,49,2,1324292,25.0,1.280221069,0.000328815,1.279892254
Ganganagar,31,1,2163051,21.0,6.604699359,0.009686833,6.595012526
Ganjam,391,2,3912072,23.0,3.782362954,1.187000815,2.595362139
Garhwa,10,0,1689634,2.0,0.838209479,0.290692695,0.547516784
Garhwal,171,7,727119,7.0,1.014386007,0.69594354,0.318442467
Gariaband,0,0,777859,,0.872452961,0.366717302,0.505735659
Gautam Buddha Nagar,59,4,2613780,25.0,4.671283575,0.002840861,4.668442714
Gaya,122,0,5429170,23.0,3.47076538,0.000225598,3.470539782
Ghaziabad,70,2,4601786,24.0,2.474121961,0.0,2.474121961
Ghazipur,97,3,4171506,20.0,9.244698358,0.864783267,8.379915091
Gir Somnath,62,5,1353212,20.0,0.779801587,0.532788711,0.247012876
Giridih,12,0,3023152,4.0,0.488850861,0.045970652,0.442880209
Goalpara,158,5,1063871,10.0,15.877175,3.270135105,12.6070399
Godda,16,0,1541633,5.0,0.351053647,0.042063828,0.308989819
Golaghat,83,5,1310870,9.0,13.18454925,1.593594635,11.59095462
Gomati,10,1,559331,4.0,2.520489489,0.002801781,2.517687708
Gonda,196,4,4066976,15.0,2.9367264,0.067902889,2.868823511
Gondiya,35,10,1579976,5.0,1.020830235,0.911616345,0.10921389
Gopalganj,129,10,2913408,24.0,5.900053501,0.432458286,5.467595215
Gorakhpur,312,11,5059142,18.0,10.44474452,0.35299449,10.09175003
Gumla,8,0,1266667,4.0,0.738034735,0.061045269,0.676989466
Guna,63,2,1461635,6.0,0.595168951,0.137757934,0.457411017
Guntur,188,108,5374652,8.0,10.2423074,0.999528068,9.242779332
Gurdaspur,92,3,1740157,6.0,8.104089132,0.113656362,7.99043277
Gurugram,9,0,2517256,7.0,1.190106782,0.025213178,1.164893604
Gwalior,46,2,2515503,5.0,0.637436542,0.480315571,0.157120971
Hailakandi,73,6,765445,9.0,17.39218508,0.052376525,17.33980856
Hamirpur,219,20,502514,10.0,0.722347337,0.097059815,0.625287522
Hamirpur,219,20,502514,10.0,6.709509044,0.665130154,6.04437889
Hamirpur,219,20,1250794,10.0,0.722347337,0.097059815,0.625287522
Hamirpur,219,20,1250794,10.0,6.709509044,0.665130154,6.04437889
Hanumangarh,12,0,2002775,7.0,3.719727987,0.012851681,3.706876306
