Phase,State_Name,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_name,Waterbody_Category_Code,waterbody_nature,Ownership,waterbody_use,waterbody_use_type,reason_not_in_use,waterbody_encroached,Rural_Urban,Water_Spread_Area,Storage_Capacity,construction_year,renovation_year,data_collection_method,waterbody_under_govt_scheme,wbid,apr24,nov23,apr23,nov22,apr22,nov21,apr21,nov20,apr20,photo,Dataset_Name
Phase 2,Punjab,Mansa,Mansa,Ubha,PB01MNS0046,30.10772966,75.35626567,Indus (Up to border),Satluj Lower,,Lakes/Pond,1.22137411,12213.741052178157,467.1577848838376,,NWIC,74,74,928.0,03,037,0249,36157,01,01,SUL,SUL,WS01SUL043,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Amritsar,Baba Bakala,Baba Bakala,PB01AMT0041,31.5579104,75.26196866,Indus (Up to border),Beas,Beas,Lakes/Pond,2.88531096,28853.109609392526,679.4911465924794,,NWIC,679,679,2206.0,03,027,0258,37849,01,01,BEA,BEA,WS01BEA030,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Sangrur,Sunam,Kotra Amru,PB01SNR0072,30.09727629,75.73069926,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,1.54224821,15422.482131022833,477.7438924646175,Kotra Amru,NWIC,824,824,58305.0,03,043,0272,039858,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Sangrur,Sangrur,Longowal,PB01SNR0220,30.21138979,75.69121166,Indus (Up to border),Satluj Lower,Bahadursinghwala Drain,Lakes/Pond,2.65678188,26567.8187713356,674.5361494310685,,NWIC,1146,1146,58627.0,03,043,0271,248385,01,01,SUL,SUL,WS01SUL047,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Galoli,PB01PTL0001,29.83377398,76.16872242,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.49297211,24929.72111098012,601.9493932429654,,NWIC,1,1,837.0,03,041,0251,36235,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Gulzarpur Alias Tharwa,PB01PTL0002,29.84871394,76.17329497,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.80294058,28029.40580123042,788.372666828245,,NWIC,2,2,838.0,03,041,0251,36240,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Dhabi Gujran,PB01PTL0003,29.81331145,76.12988487,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,3.59780841,35978.084105529226,694.7209082265606,,NWIC,3,3,839.0,03,041,0251,36233,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Shergarh,PB01PTL0004,29.82873881,76.14139945,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.73845469,17384.546909468805,520.947585791835,,NWIC,4,4,840.0,03,041,0251,36234,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Matauli,PB01PTL0005,29.86633599,76.14517591,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.08405581,10840.55808662078,391.8892897522961,,NWIC,5,5,841.0,03,041,0251,36242,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Shutrana,PB01PTL0006,29.9064177,76.11787436,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.6052746,26052.74597137456,731.877517824928,,NWIC,6,6,842.0,03,041,0251,36258,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Shutrana,PB01PTL0007,29.90957613,76.12155528,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,2.74321923,27432.19230278736,776.3923754330394,,NWIC,7,7,843.0,03,041,0251,36258,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,Yes,No,Yes,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Akbarpur Khudal,PB01MNS0005,29.87208053,75.73569818,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.03424636,20342.46362110788,555.4210842708428,,NWIC,17,17,856.0,03,037,0248,36039,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Atalan,PB01PTL0008,29.9917063,76.10365514,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,3.47903114,34790.31143289158,690.4385071503465,,NWIC,8,8,844.0,03,041,0251,36283,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Daroli,PB01PTL0009,29.9706673,76.12010378,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.35816706,13581.670620255269,433.40814335729885,,NWIC,9,9,845.0,03,041,0251,36277,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Kahangarh Gharachon,PB01PTL0010,29.9471532,76.07128043,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.13105034,11310.503371123265,436.9249029709417,,NWIC,10,10,846.0,03,041,0251,36265,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Dotal,PB01PTL0011,29.936795120000003,76.09461827,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.06014685,10601.468482732816,531.3850131521152,,NWIC,11,11,847.0,03,041,0251,36263,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,Yes,No,Yes,No,Yes,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Chunagra,PB01PTL0012,29.9415265,76.02440313,Indus (Up to border),Ghaghar and others,Choe,Lakes/Pond,1.59706562,15970.656203378763,490.62890834861616,,NWIC,12,12,848.0,03,041,0251,36267,01,01,GHO,GHO,WS01GHO016,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kishangarh Urf Sedha Singhewala,PB01MNS0001,29.90608178,75.73136346000001,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.07148601,10714.86014914097,391.3903959746217,,NWIC,13,13,852.0,03,037,0248,36040,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kishangarh Urf Sedha Singhewala,PB01MNS0002,29.91108506,75.72738026,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.55411278,15541.127808309511,517.7444216007136,,NWIC,14,14,853.0,03,037,0248,36040,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Ranghrial,PB01MNS0003,29.92309698,75.6538773,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,3.57613619,35761.36185990694,695.2764261816327,,NWIC,15,15,854.0,03,037,0248,36057,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Bahadarpur,PB01MNS0004,29.88390868,75.7032098,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,4.943484570000001,49434.84573301292,1228.826196512288,,NWIC,16,16,855.0,03,037,0248,36041,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Khudal Shekhupur,PB01MNS0006,29.85753302,75.73574278999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.61793127,16179.312692800708,530.1984929073869,,NWIC,18,18,857.0,03,037,0248,36037,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Khudal Kalan,PB01MNS0007,29.85429106,75.72244746999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.51972179,15197.21794576124,467.5299200381317,,NWIC,19,19,858.0,03,037,0248,36036,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Bareta,PB01MNS0008,29.85444804,75.69529482,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.91895619,29189.56188257425,663.2389311572513,,NWIC,20,20,859.0,03,037,0248,0,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,Yes,No,Yes,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Bareta,PB01MNS0009,29.85368064,75.69048578,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.11710603,21171.060333002348,664.7739740995878,,NWIC,21,21,860.0,03,037,0248,0,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kahangarh,PB01MNS0010,29.83977827,75.73535212,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.22420214,12242.02135492331,419.8951860034166,,NWIC,22,22,861.0,03,037,0248,36012,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kahangarh,PB01MNS0011,29.83506278,75.73957355,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.03715057,10371.505745582956,383.3404169759245,,NWIC,23,23,862.0,03,037,0248,36012,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Juglan,PB01MNS0012,29.82519997,75.69875787000001,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.54503221,15450.32208735447,492.9941777314102,,NWIC,24,24,863.0,03,037,0248,36013,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kulrian,PB01MNS0013,29.80304904,75.67957787,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,4.54210126,45421.01263829525,808.756086307331,,NWIC,25,25,864.0,03,037,0248,36011,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Chak Alisher,PB01MNS0014,29.78047585,75.62330236,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.60288733,26028.873322133728,594.1877770687188,,NWIC,26,26,865.0,03,037,0248,36005,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Bhakhrial,PB01MNS0015,29.80092613,75.62227978,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.1198708,11198.708013673508,394.2703535188786,,NWIC,27,27,866.0,03,037,0248,36008,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Ramgarh Shah Purian,PB01MNS0016,29.80603458,75.61027080000001,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.76166014,17616.60142984973,544.3140369090148,,NWIC,28,28,867.0,03,037,0248,36007,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Talabwala,PB01MNS0017,29.78568757,75.5324821,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.29403495,12940.34953829721,422.9989771599892,,NWIC,29,29,868.0,03,037,0248,35998,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Hakamwala,PB01MNS0018,29.7934129,75.50957979,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,3.08751445,30875.14453340056,659.1375872406151,,NWIC,30,30,869.0,03,037,0248,35995,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Gandu Kalan,PB01MNS0019,29.78668267,75.55865244,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,4.80128912,48012.89118226635,844.7189869012499,,NWIC,31,31,870.0,03,037,0248,35999,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Maghanian,PB01MNS0020,29.80620932,75.58075290999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.93893301,29389.330080167023,631.1544036925759,,NWIC,32,32,871.0,03,037,0248,36001,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Sher Khanwala,PB01MNS0021,29.81555171,75.56456854999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,6.32520038,63252.003813812815,949.8785905592624,,NWIC,33,33,872.0,03,037,0248,36019,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Saidewala,PB01MNS0022,29.83140258,75.5923967,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,3.12415339,31241.5338894013,733.8980183175219,,NWIC,34,34,873.0,03,037,0248,36018,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patiala,Panjola,PB01PTL0019,30.18810446,76.37494877,Indus (Up to border),Ghaghar and others,Patialewali,Lakes/Pond,2.26379411,22637.941110374828,586.6060770255016,,NWIC,62,62,916.0,03,041,0253,36662,01,01,GHO,GHO,WS01GHO014,,01,,,,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Rampur Mander,PB01MNS0023,29.86156549,75.54847275,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.09678481,10967.848079934696,409.28414801205497,,NWIC,35,35,874.0,03,037,0248,36031,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Rampur Mander,PB01MNS0024,29.86229914,75.55517922,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.34122872,13412.287150872866,454.8612777327952,,NWIC,36,36,875.0,03,037,0248,36031,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Satike,PB01MNS0025,29.86314132,75.59691335000001,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.10742117,11074.211726884709,407.5849679182537,,NWIC,37,37,876.0,03,037,0248,36032,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Saspali,PB01MNS0026,29.8475813,75.60099407999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.28483036,22848.30356959229,580.3812379608671,,NWIC,38,38,877.0,03,037,0248,36016,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Ram Nagar Bhathal,PB01MNS0027,29.8750145,75.52733748,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.82808315,18280.831540413,531.4604080440137,,NWIC,39,39,878.0,03,037,0248,36030,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kulana,PB01MNS0028,29.88483011,75.57903417,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.59343562,25934.3561959208,609.9240628285748,,NWIC,40,40,879.0,03,037,0248,36047,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Kulana,PB01MNS0029,29.8868643,75.58201609999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,3.18230275,31823.027486370785,672.2769300498528,,NWIC,41,41,880.0,03,037,0248,36047,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Phuluwala Dogran,PB01MNS0030,29.90185218,75.52431736999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.41717622,24171.76217943088,611.1602304077055,,NWIC,42,42,881.0,03,037,0248,36049,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,Yes,No,Yes,No,No,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patiala,Maddo Majra,PB01PTL0020,30.20877159,76.31266455000001,Indus (Up to border),Ghaghar and others,Patialewali,Lakes/Pond,1.22191073,12219.10729191704,433.9534977211102,,NWIC,63,63,917.0,03,041,0253,36638,01,01,GHO,GHO,WS01GHO014,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Karipur,PB01MNS0031,29.89982088,75.55332164999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.30318009,13031.8008973652,429.6400464657973,,NWIC,43,43,882.0,03,037,0248,36048,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Budhlada,PB01MNS0032,29.92741776,75.56700439999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,4.476214890000001,44762.148936785365,802.0929401128477,,NWIC,44,44,883.0,03,037,0248,36059,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Budhlada,PB01MNS0033,29.9319614,75.56247565999999,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,5.47368226,54736.822555975865,905.5276724773328,,NWIC,45,45,884.0,03,037,0248,0,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Rali,PB01MNS0034,29.93060427,75.60778696,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,3.53585402,35358.540226757774,751.715018536261,,NWIC,46,46,885.0,03,037,0248,36058,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Beharjach,PB19PTL0013,29.87498348,76.23658424000001,Area of Inland drainage in Rajasthan,Area of Inland drainage in Rajasthan,,Lakes/Pond,1.64102319,16410.231914602948,507.1673626441225,,NWIC,47,47,894.0,03,041,0251,36238,19,19,ADR,ADR,WS19ADR007,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Arno,PB19PTL0014,29.85757824,76.21773986,Area of Inland drainage in Rajasthan,Area of Inland drainage in Rajasthan,,Lakes/Pond,1.20363744,12036.374425293943,478.8778219917901,,NWIC,48,48,895.0,03,041,0251,36236,19,19,ADR,ADR,WS19ADR007,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Bareh,PB01MNS0035,29.89587944,75.500014,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,1.20316191,12031.619147622796,401.24730976683946,,NWIC,49,49,896.0,03,037,0248,36050,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Chakan,PB01MNS0036,29.95532589,75.5750755,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,1.35665473,13566.547322967834,466.79441141130064,,NWIC,50,50,897.0,03,037,0248,36064,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Borawal,PB01MNS0037,29.99843332,75.54449958,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,6.35151558,63515.15581664463,1133.7716996522652,,NWIC,51,51,898.0,03,037,0248,36069,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Bathinda,Bathinda,Lehra Mohabat,PB01BTH0010,30.24380509,75.16388184,Indus (Up to border),Satluj Lower,,Lakes/Pond,4.14959492,41495.94924878201,814.8565904198163,,NWIC,77,77,931.0,03,028,0245,35731,01,01,SUL,SUL,WS01SUL045,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Dodra,PB01MNS0038,29.97810993,75.63008817,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,2.08835106,20883.51061362364,598.9563050988716,,NWIC,52,52,899.0,03,037,0248,36066,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Biroke Kalan,PB01MNS0039,29.9970593,75.59372806,Indus (Up to border),Ghaghar and others,Ghagghar,Lakes/Pond,2.28223132,22822.313161429098,591.4090553738635,,NWIC,53,53,900.0,03,037,0248,36067,01,01,GHO,GHO,WS01GHO023,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Kalar Bhaini,PB01PTL0015,29.90422889,75.97241292,Indus (Up to border),Ghaghar and others,,Lakes/Pond,1.42830923,14283.092298457716,466.1572568264605,,NWIC,54,54,908.0,03,041,0251,36254,01,01,GHO,GHO,WS01GHO017,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,Yes,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Bhutgarh,PB01PTL0016,29.903647210000003,75.95367205999999,Indus (Up to border),Ghaghar and others,,Lakes/Pond,2.11796809,21179.68086654643,567.0506560333141,,NWIC,55,55,909.0,03,041,0251,36255,01,01,GHO,GHO,WS01GHO017,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patran,Bhutgarh,PB01PTL0017,29.90380676,75.95120556,Indus (Up to border),Ghaghar and others,,Lakes/Pond,2.05723171,20572.31711508521,543.2041064579806,,NWIC,56,56,910.0,03,041,0251,36255,01,01,GHO,GHO,WS01GHO017,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Dariapur,PB01MNS0040,29.90091465,75.59478976,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.52037291,15203.72909177494,463.5355921654132,,NWIC,57,57,911.0,03,037,0248,36046,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Dariapur,PB01MNS0041,29.89213719,75.60075838,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,2.12374045,21237.404510857665,565.7357092036729,,NWIC,58,58,912.0,03,037,0248,36046,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Phuluwala Dod,PB01MNS0042,29.88134786,75.61228515,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,3.18546154,31854.615368429186,727.6214616343157,,NWIC,59,59,913.0,03,037,0248,36045,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Mansa,Budhlada,Jalwehra,PB01MNS0043,29.85419028,75.65134544,Indus (Up to border),Ghaghar and others,Bareta Drain,Lakes/Pond,1.49851862,14985.186241724776,450.79359991564064,,NWIC,60,60,914.0,03,037,0248,36035,01,01,GHO,GHO,WS01GHO022,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Patiala,Patiala,Bhatian,PB01PTL0018,30.2352584,76.41602216,Indus (Up to border),Ghaghar and others,Patialewali,Lakes/Pond,1.77177266,17717.726637152016,514.7708461745066,,NWIC,61,61,915.0,03,041,0253,36616,01,01,GHO,GHO,WS01GHO014,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
Phase 2,Punjab,Bathinda,Rampura Phul,Pirkot,PB01BTH0002,30.1396099,75.32631985,Indus (Up to border),Satluj Lower,,Lakes/Pond,1.78742098,17874.209784109233,512.4783781788584,,NWIC,64,64,918.0,03,028,0244,35681,01,01,SUL,SUL,WS01SUL043,,01,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,District Water Body Atlas
