SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,01-06-2005 08:00,0
2,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,02-06-2005 08:00,0
3,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,03-06-2005 08:00,0
4,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,04-06-2005 08:00,0
5,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,05-06-2005 08:00,0
6,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,06-06-2005 08:00,0
7,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,07-06-2005 08:00,0
8,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,08-06-2005 08:00,0
9,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,09-06-2005 08:00,0
10,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,10-06-2005 08:00,0
11,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,11-06-2005 08:00,0
12,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,12-06-2005 08:00,0
13,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,13-06-2005 08:00,0
14,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,14-06-2005 08:00,0
15,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,15-06-2005 08:00,0
16,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,16-06-2005 08:00,0
17,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,17-06-2005 08:00,0
18,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,18-06-2005 08:00,0
19,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,19-06-2005 08:00,0
20,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,20-06-2005 08:00,0
21,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,22-06-2005 08:00,0.05
22,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,23-06-2005 08:00,0
23,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,24-06-2005 08:00,0
24,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,25-06-2005 08:00,0
25,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,26-06-2005 08:00,0
26,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,27-06-2005 08:00,0
27,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,28-06-2005 08:00,0
28,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,29-06-2005 08:00,0.093
29,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,30-06-2005 08:00,0.204
30,Abu Road,CWC,8,Rajasthan,115,SIROHI,ABU ROAD,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.49361111,72.79027778,02-07-2005 11:00,2.92711
