SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
36,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,28-07-2023 09:00,20.124
37,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,29-07-2023 09:00,18.391
38,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,30-07-2023 08:00,7.83
39,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,31-07-2023 08:20,7.786
40,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,01-08-2023 08:20,70.642
41,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,02-08-2023 09:05,19.774
42,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,03-08-2023 08:22,126.27
43,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,04-08-2023 08:25,359.533
44,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,05-08-2023 08:20,298.79
45,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,06-08-2023 08:00,166.75
46,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,07-08-2023 08:00,348.091
47,Feni G & D Site,CWC,16,Tripura,271,SOUTH TRIPURA,RAJNAGAR,-,-,-,-,-,-,-,-,22.97888889,91.68222222,08-08-2023 08:00,425.069
