SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,Aji-2 dam,Gujarat SW GW,24,Gujarat,457,Rajkot,RAJKOT,-,-,Aji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.37472222,70.76583333,No,0,73.30,01-05-1974 00:00,77.912
2,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,Yes,0,13.70,07-10-1970 19:00,14.491
3,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,Yes,0,13.70,09-10-1970 14:00,14.352
4,Aji_Paddhari,Gujarat SW GW,24,Gujarat,457,Rajkot,PADDHARI,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.44388889,70.59472222,Yes,0,13.70,19-10-1970 08:00,14.486
5,Arjuni_Motasada,Gujarat SW GW,24,Gujarat,441,Banaskantha,VADGAM,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,24.14222222,72.67944444,No,0.0000,251.95,23-11-1970 02:00,252.12
6,BHANG MANGADH,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.43305556,70.90083333,No,95.6000,9.10,15-08-1970 15:00,95.719
7,BHANG MANGADH,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.43305556,70.90083333,No,95.6000,9.10,12-11-1970 16:00,95.63
8,BHANG MANGADH,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.43305556,70.90083333,No,95.6000,9.10,23-12-1971 20:00,95.576
9,Dantiwada,Gujarat SW GW,24,Gujarat,441,Banaskantha,DANTIWADA,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.33694444,72.33888889,No,0,73.20,31-12-1969 14:00,170.7
10,Dantiwada,Gujarat SW GW,24,Gujarat,441,Banaskantha,DANTIWADA,-,-,Banas,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Banas,24.33694444,72.33888889,No,0,73.20,10-10-1970 00:00,170.7
11,Delwada,Gujarat SW GW,24,Gujarat,451,Mahesana,BECHARAJI,-,-,Falku,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Falku,23.08861111,73.05722222,No,0.0000,45.86,22-02-1970 15:00,45.771
12,Delwada,Gujarat SW GW,24,Gujarat,451,Mahesana,BECHARAJI,-,-,Falku,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Falku,23.08861111,73.05722222,No,0.0000,45.86,13-03-1979 10:00,46.17
13,Demi-I,Gujarat SW GW,24,Gujarat,673,Morbi,Tankara,-,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.55416667,70.74944444,No,0,85.10,09-06-1972 08:00,60.421
14,Demi-III,Gujarat SW GW,24,Gujarat,673,Morbi,Jodiya,-,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Demi,22.74333333,70.60944444,No,0,19.50,10-11-1970 17:00,25.667
15,Demi-III,Gujarat SW GW,24,Gujarat,673,Morbi,Jodiya,-,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Demi,22.74333333,70.60944444,No,0,19.50,12-11-1970 05:00,25.069
16,Demi-ll,Gujarat SW GW,24,Gujarat,673,Morbi,Tankara,-,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Demi,22.70833333,70.72972222,No,0,45.60,15-01-1970 09:00,45.624
17,Demi-ll,Gujarat SW GW,24,Gujarat,673,Morbi,Tankara,-,-,Demi,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Demi,22.70833333,70.72972222,No,0,45.60,28-01-1970 06:00,43.261
18,Dhanera,Gujarat SW GW,24,Gujarat,441,Banaskantha,DHANERA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,24.53055556,72.03027778,No,0,132.52,20-11-1970 05:00,132.247
19,Dhatarvadi,Gujarat SW GW,24,Gujarat,439,Amreli,RAJULA,-,-,Dhatarwadi,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Dhatarwadi,21.02861111,71.42777778,No,0,33.75,11-10-1970 11:00,34.111
