SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
31,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,06-01-2021 23:30,0.5
32,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 11:30,0.5
33,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 12:30,1
34,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 13:30,1
35,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 14:30,1
36,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 15:30,1.5
37,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 16:30,1.5
38,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 17:30,1
39,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,07-01-2021 21:30,0.5
40,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,08-01-2021 11:30,0.5
41,Ganeshpura_1,CWC,1,Jammu & Kashmir,1,ANANTNAG,PAHALGAM,-,-,Jhelum,Indus,Lidder,-,-,Lidder,33.90388889,75.28194444,08-01-2021 12:30,1
