SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
28,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,15-01-2026 18:00,-16.529
29,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,16-01-2026 00:00,-16.426
30,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,16-01-2026 06:00,-15.908
31,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,16-01-2026 12:00,-16.568
32,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,16-01-2026 18:00,-16.801
33,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,17-01-2026 00:00,-16.485
34,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,17-01-2026 06:00,-16.315
35,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,17-01-2026 12:00,-16.557
36,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,17-01-2026 18:00,-16.543
37,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,20-01-2026 12:00,-16.556
38,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,20-01-2026 18:00,-16.724
