SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 00:00,58.39
2,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 01:00,58.39
3,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 02:00,58.39
4,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 03:00,58.39
5,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 04:00,58.391
6,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 05:00,58.392
7,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 06:00,58.393
8,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 07:00,58.393
9,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 08:00,58.394
10,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,14-06-2007 09:00,58.393
