SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
31,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,09-04-2026 19:00,1
32,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,09-04-2026 23:00,1
33,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 00:00,1.5
34,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 01:00,0.5
35,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 08:00,0.5
36,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 12:00,0.5
37,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 13:00,1
38,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 14:00,0.5
39,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 20:00,1
40,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 21:00,1
41,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 22:00,1.5
42,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,10-04-2026 23:00,0.5
43,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-04-2026 00:00,1.5
44,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-04-2026 05:00,0.5
45,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-04-2026 18:00,1
46,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-04-2026 20:00,1
47,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-04-2026 23:00,1
48,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 00:00,1.5
49,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 01:00,1.5
50,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 05:00,0.5
51,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 06:00,0.5
52,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 11:00,0.5
53,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 15:00,0.5
54,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 16:00,0.5
55,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 18:00,0.5
56,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 19:00,0.5
57,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,12-04-2026 23:00,0.5
58,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,13-04-2026 01:00,0.5
59,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,13-04-2026 02:00,0.5
60,GUMTI HYDRO DAM,CWC,16,Tripura,271,SOUTH TRIPURA,Jolaibari,-,-,Gumti,Barak and Others,-,-,-,Gumti,23.42916667,91.82222222,11-05-2026 23:00,0.5
