SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,01-04-2026 08:30,670
2,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,01-04-2026 17:30,660
3,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,02-04-2026 08:30,650
4,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,02-04-2026 17:30,640
5,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,03-04-2026 08:30,640
6,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,03-04-2026 17:30,630
7,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,04-04-2026 08:30,630
8,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,04-04-2026 17:30,620
9,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,05-04-2026 08:30,620
10,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,05-04-2026 17:30,610
11,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,06-04-2026 08:30,610
12,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,06-04-2026 17:30,600
13,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,07-04-2026 08:30,600
14,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,07-04-2026 17:30,590
15,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,08-04-2026 08:30,590
16,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,08-04-2026 17:30,580
17,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,09-04-2026 08:30,580
18,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,09-04-2026 17:30,570
19,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,10-04-2026 08:30,570
20,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,10-04-2026 17:30,560
21,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,11-04-2026 08:30,560
22,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,11-04-2026 17:30,550
23,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,12-04-2026 08:30,550
24,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,12-04-2026 17:30,530
25,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,13-04-2026 08:30,530
26,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,13-04-2026 17:30,510
27,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,14-04-2026 08:30,510
28,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,14-04-2026 17:30,490
29,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,15-04-2026 08:30,490
30,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,15-04-2026 17:30,470
31,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,16-04-2026 08:30,470
32,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,16-04-2026 17:30,450
33,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,17-04-2026 08:30,450
34,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,17-04-2026 17:30,430
35,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,18-04-2026 08:30,430
36,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,18-04-2026 17:30,410
37,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,19-04-2026 08:30,410
38,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,19-04-2026 17:30,390
39,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,20-04-2026 08:30,390
40,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,20-04-2026 17:30,370
41,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,21-04-2026 08:30,370
42,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,21-04-2026 17:30,350
43,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,22-04-2026 08:30,350
44,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,22-04-2026 17:30,348
45,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,23-04-2026 08:30,348
46,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,23-04-2026 17:30,346
47,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,24-04-2026 08:30,346
48,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,24-04-2026 17:30,344
49,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,25-04-2026 08:30,344
50,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,25-04-2026 17:30,342
51,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,26-04-2026 08:30,342
52,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,26-04-2026 17:30,340
53,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,27-04-2026 08:30,340
54,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,27-04-2026 17:30,338
55,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,28-04-2026 08:30,338
56,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,28-04-2026 17:30,336
57,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,29-04-2026 08:30,336
58,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,29-04-2026 17:30,334
59,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,30-04-2026 08:30,332
60,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,30-04-2026 17:30,330
61,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,01-05-2026 08:30,328.5
62,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,01-05-2026 17:30,327
63,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,02-05-2026 08:30,325.5
64,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,02-05-2026 17:30,324
65,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,03-05-2026 08:30,322.5
66,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,03-05-2026 17:30,321
67,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,04-05-2026 08:30,319.5
68,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,04-05-2026 17:30,318
69,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,05-05-2026 08:30,316.5
70,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,05-05-2026 17:30,315
71,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,06-05-2026 08:30,313.5
72,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,06-05-2026 17:30,312
73,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,07-05-2026 08:30,310.5
74,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,07-05-2026 17:30,309
75,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,08-05-2026 08:30,307.5
76,Mahagaon,Maharashtra SW,27,Maharashtra,475,Gadchiroli,AHERI,-,-,Godavari,Godavari,Pranhita,-,-,Pranhita,19.44944444,79.97000000,08-05-2026 17:30,306
