SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
33,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,27-04-2021 23:00,5.5
34,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,27-04-2021 23:15,4.5
35,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,27-04-2021 23:30,9
36,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,27-04-2021 23:45,13.5
37,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 00:00,17.5
38,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 00:15,3
39,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 00:30,4
40,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 00:45,4
41,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 01:00,4.5
42,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 01:45,0.5
43,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 02:00,1
44,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 02:30,0.5
45,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 02:45,0.5
46,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 03:00,1
47,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 03:15,0.5
48,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 03:30,0.5
49,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 03:45,0.5
50,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,28-04-2021 04:00,0.5
51,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,01-05-2021 21:15,0.5
52,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,01-05-2021 21:30,0.5
53,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,01-05-2021 21:45,0.5
54,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,01-05-2021 22:00,0.5
55,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,02-05-2021 23:45,2
56,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,03-05-2021 00:00,2.5
57,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,06-05-2021 16:30,0.5
58,Ganjem,Goa,30,Goa,551,NORTH GOA,SATARI,-,-,Vashisti,West flowing rivers from Tapi to Tadri,-,-,-,-,15.46888889,74.09305556,06-05-2021 16:45,0.5
