SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
120,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 23:00,414.950012
121,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 00:00,414.950012
122,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 01:00,414.950012
123,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 02:00,414.950012
124,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 03:00,414.950012
125,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 04:00,414.950012
126,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 05:00,414.950012
127,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 06:00,414.950012
128,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 07:00,414.950012
129,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 08:00,414.850006
130,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 09:00,414.850006
131,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 10:00,414.850006
132,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 11:00,414.850006
133,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 12:00,414.850006
134,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 13:00,414.850006
135,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 14:00,414.850006
136,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 15:00,414.850006
137,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 16:00,414.850006
138,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 17:00,414.850006
139,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 18:00,414.850006
140,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 19:00,414.850006
141,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 20:00,414.850006
142,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 21:00,414.850006
143,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 22:00,414.850006
144,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,06-06-2021 23:00,414.850006
145,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 00:00,414.850006
146,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 01:00,414.850006
147,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 02:00,414.850006
148,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 03:00,414.850006
149,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 04:00,414.850006
150,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 05:00,414.850006
151,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 06:00,414.850006
152,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 07:00,414.850006
153,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 08:00,414.799988
154,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 09:00,414.799988
155,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 10:00,414.799988
156,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 11:00,414.799988
157,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 12:00,414.799988
158,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 13:00,414.799988
159,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 14:00,414.799988
160,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 15:00,414.799988
161,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 16:00,414.799988
162,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 17:00,414.799988
163,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 18:00,414.799988
164,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 19:00,414.799988
165,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 20:00,414.799988
166,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 21:00,414.799988
167,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 22:00,414.799988
168,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,07-06-2021 23:00,414.799988
169,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 00:00,414.799988
170,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 01:00,414.799988
171,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 02:00,414.799988
172,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 03:00,414.799988
173,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 04:00,414.799988
174,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 05:00,414.799988
175,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 06:00,414.799988
176,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 07:00,414.799988
177,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 08:00,414.750000
178,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 09:00,414.750000
179,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 10:00,414.750000
180,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 11:00,414.750000
181,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 12:00,414.750000
182,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 13:00,414.750000
183,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 14:00,414.750000
184,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 15:00,414.750000
185,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 16:00,414.750000
186,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 17:00,414.750000
187,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 18:00,414.750000
188,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 19:00,414.750000
189,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 20:00,414.750000
190,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 21:00,414.750000
191,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 22:00,414.750000
192,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,08-06-2021 23:00,414.750000
193,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 00:00,414.750000
194,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 01:00,414.750000
195,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 02:00,414.750000
196,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 03:00,414.750000
197,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 04:00,414.750000
198,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 05:00,414.750000
199,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 06:00,414.750000
200,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 07:00,414.750000
201,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 08:00,414.700012
202,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 09:00,414.700012
203,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 10:00,414.700012
204,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 11:00,414.700012
205,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 12:00,414.700012
206,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 13:00,414.700012
207,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 14:00,414.700012
208,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 15:00,415.700012
209,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 16:00,415.700012
210,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 17:00,415.700012
211,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 18:00,415.700012
212,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 19:00,415.700012
213,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 20:00,415.700012
214,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 21:00,415.700012
215,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 22:00,415.700012
216,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,09-06-2021 23:00,415.700012
217,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 00:00,414.700012
218,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 01:00,414.700012
219,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 02:00,414.700012
220,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 03:00,414.700012
221,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 04:00,414.700012
222,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 05:00,414.700012
223,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 06:00,414.700012
224,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 07:00,414.700012
225,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 08:00,414.700012
226,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 09:00,414.700012
227,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 10:00,414.700012
228,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 11:00,414.700012
229,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 12:00,414.700012
230,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 13:00,414.700012
231,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 14:00,414.700012
232,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 15:00,414.700012
233,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 16:00,414.700012
234,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 17:00,414.700012
235,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 18:00,414.700012
236,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 19:00,414.700012
237,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 20:00,414.700012
238,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 21:00,414.700012
239,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 22:00,414.700012
240,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,10-06-2021 23:00,414.700012
