SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,BHADAR   UNDAVA,Gujarat SW GW,24,Gujarat,669,Mahisagar,Khanpur,-,-,-,Mahi,-,-,-,-,23.29611111,73.67527778,Yes,0.0000,106.73,08-09-1970 02:00,106.73
2,BHADAR   UNDAVA,Gujarat SW GW,24,Gujarat,669,Mahisagar,Khanpur,-,-,-,Mahi,-,-,-,-,23.29611111,73.67527778,Yes,0.0000,106.73,11-10-1970 23:00,97.47
3,BHADAR   UNDAVA,Gujarat SW GW,24,Gujarat,669,Mahisagar,Khanpur,-,-,-,Mahi,-,-,-,-,23.29611111,73.67527778,Yes,0.0000,106.73,27-10-1970 00:44,97.319
4,BHADAR   UNDAVA,Gujarat SW GW,24,Gujarat,669,Mahisagar,Khanpur,-,-,-,Mahi,-,-,-,-,23.29611111,73.67527778,Yes,0.0000,106.73,19-08-1971 02:00,97.12
5,DEVGADH BARIA,Gujarat SW GW,24,Gujarat,445,Dohad,DEVGAD BARIA,-,-,Mahi,Mahi,-,-,-,Mahi,22.70000000,73.88638889,Yes,0.0000,173.76,20-11-1973 02:00,173.849
6,DEVGADH BARIA,Gujarat SW GW,24,Gujarat,445,Dohad,DEVGAD BARIA,-,-,Mahi,Mahi,-,-,-,Mahi,22.70000000,73.88638889,Yes,0.0000,173.76,03-03-1978 14:00,173.891
7,DHADHAR   BHILAPUR,Gujarat SW GW,24,Gujarat,461,Vadodara,DABHOI,-,-,-,Mahi,-,-,-,-,22.18083333,73.32916667,Yes,0.0000,25.93,08-06-1972 13:00,26.813
8,Hadaf,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,Hadaf,-,-,-,22.89055556,73.87777778,No,0,163.65,05-10-1970 07:00,166.317
9,Hadaf,Gujarat SW GW,24,Gujarat,445,Dohad,DOHAD,-,-,Mahi,Mahi,Hadaf,-,-,-,22.89055556,73.87777778,No,0,163.65,22-10-1970 06:00,166.292
10,HADAF   LIMKHEDA,Gujarat SW GW,24,Gujarat,445,Dohad,LIMKHEDA,-,-,Mahi,Mahi,-,-,-,-,22.83361111,73.98944444,Yes,0.0000,192.63,15-01-1971 22:00,192.79
11,Kadana,Gujarat SW GW,24,Gujarat,669,Mahisagar,Kadana,-,-,Mahi,Mahi,-,-,-,Mahi,23.30555556,73.82500000,No,0,122.60,05-07-1972 17:00,127.977
12,KALOL,Gujarat SW GW,24,Gujarat,454,Panchmahals,KALOL,-,-,-,Mahi,-,-,-,-,22.60500000,73.47305556,Yes,0.0000,69.07,09-01-1970 06:00,70.538
13,Karad dam,Gujarat SW GW,24,Gujarat,454,Panchmahals,GHOGHAMBA,-,-,Mahi,Mahi,Karad,-,-,-,22.56055556,73.69333333,No,0,133.04,08-10-1970 00:00,135.86
14,KOLIARI   RAMPUR,Gujarat SW GW,24,Gujarat,454,Panchmahals,MORWA (HADAF),-,-,Mahi,Mahi,Goma,-,-,Goma,22.87805556,73.82388889,Yes,0.0000,140.00,05-10-1970 00:00,136.141
15,KUN   KHANDIA,Gujarat SW GW,24,Gujarat,454,Panchmahals,SHEHERA,-,-,-,Mahi,-,-,-,-,22.86277778,73.62694444,Yes,0.0000,116.70,08-10-1970 08:00,110.183
16,Machhannala dam,Gujarat SW GW,24,Gujarat,445,Dohad,JHALOD,-,-,Mahi,Mahi,Machhan,-,-,-,23.05583333,74.16361111,No,0,270.00,05-10-1970 18:00,277.865
17,Machhannala dam,Gujarat SW GW,24,Gujarat,445,Dohad,JHALOD,-,-,Mahi,Mahi,Machhan,-,-,-,23.05583333,74.16361111,No,0,270.00,06-10-1970 12:00,277.801
18,PANAM AT SANTROD,Gujarat SW GW,24,Gujarat,454,Panchmahals,GODHRA,-,-,Mahi,Mahi,Mesari,-,-,Mesari,22.80027778,73.78722222,Yes,0.0000,143.60,22-09-1973 07:00,144.594
19,Panam dam,Gujarat SW GW,24,Gujarat,669,Mahisagar,Shehera,-,-,Mahi,Mahi,Panam,-,-,-,23.05416667,73.71666667,No,0,120.81,18-07-1973 05:00,120.586
20,Patadungri (GJSW0039),Gujarat SW GW,24,Gujarat,445,Dohad,GARBADA,-,-,-,Mahi,-,-,-,-,22.72638889,74.28555556,No,0,164.71,17-03-1970 05:00,0
21,Patadungri (GJSW0039),Gujarat SW GW,24,Gujarat,445,Dohad,GARBADA,-,-,-,Mahi,-,-,-,-,22.72638889,74.28555556,No,0,164.71,22-05-1979 13:00,0
22,PILOL,Gujarat SW GW,24,Gujarat,461,Vadodara,SAVLI,-,-,-,Mahi,-,-,-,-,22.41638889,73.22138889,Yes,0.0000,94.87,08-07-1970 00:00,94.904
23,PILOL,Gujarat SW GW,24,Gujarat,461,Vadodara,SAVLI,-,-,-,Mahi,-,-,-,-,22.41638889,73.22138889,Yes,0.0000,94.87,16-11-1970 20:00,94.916
24,SANSOLI,Gujarat SW GW,24,Gujarat,454,Panchmahals,KALOL,-,-,-,Mahi,-,-,-,-,22.70694444,73.41694444,Yes,0.0000,89.09,03-02-1970 18:00,89.054
25,SANSOLI,Gujarat SW GW,24,Gujarat,454,Panchmahals,KALOL,-,-,-,Mahi,-,-,-,-,22.70694444,73.41694444,Yes,0.0000,89.09,08-10-1970 18:00,89.143
26,SANSOLI,Gujarat SW GW,24,Gujarat,454,Panchmahals,KALOL,-,-,-,Mahi,-,-,-,-,22.70694444,73.41694444,Yes,0.0000,89.09,10-11-1970 15:00,89.037
27,SANSOLI,Gujarat SW GW,24,Gujarat,454,Panchmahals,KALOL,-,-,-,Mahi,-,-,-,-,22.70694444,73.41694444,Yes,0.0000,89.09,09-02-1979 23:00,89.124
28,WANKADI,Gujarat SW GW,24,Gujarat,445,Dohad,LIMKHEDA,-,-,Mahi,Mahi,Panam,-,-,Panam,22.86250000,74.00027778,Yes,0.0000,190.89,05-01-1970 07:00,190.51
29,Wankleshwar Bhey,Gujarat SW GW,24,Gujarat,445,Dohad,DHANPUR,-,-,Mahi,Mahi,-,-,-,-,22.70083333,73.98611111,No,0,214.88,28-04-1970 00:00,218.017
