SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,Man Dam Project,NCA,23,Madhya Pradesh,403,DHAR,DHAR,-,-,Narmada,Narmada,-,-,-,-,22.43000000,75.21000000,No,0,0,04-04-1970 03:00,280.292
2,Man Dam Project,NCA,23,Madhya Pradesh,403,DHAR,DHAR,-,-,Narmada,Narmada,-,-,-,-,22.43000000,75.21000000,No,0,0,02-07-1970 05:00,281.869
