SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
1,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 15:00,0
2,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 16:00,2.139
3,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 17:00,2.195
4,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 18:00,2.201
5,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 19:00,2.193
6,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 20:00,2.187
7,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 21:00,2.187
8,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 22:00,2.193
9,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,13-04-2023 23:00,2.19
10,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 00:00,2.191
11,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 01:00,2.188
12,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 02:00,2.189
13,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 03:00,2.19
14,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 04:00,2.188
15,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 05:00,2.184
16,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 06:00,2.184
17,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 07:00,2.186
18,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 08:00,2.19
19,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 09:00,2.189
20,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 10:00,2.195
21,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 11:00,2.202
22,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 12:00,2.174
23,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 13:00,2.062
24,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 14:00,2.016
25,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 15:00,2.056
26,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 16:00,2.198
27,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 17:00,2.203
28,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 18:00,2.202
29,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 19:00,2.199
30,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 20:00,2.198
31,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 21:00,2.106
32,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 22:00,2.011
33,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,14-04-2023 23:00,1.981
34,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 00:00,1.971
35,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 01:00,2.042
36,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 02:00,2.1
37,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 03:00,2.121
38,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 04:00,2.136
39,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 05:00,2.141
40,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 06:00,2.145
41,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 07:00,2.15
42,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 08:00,2.154
43,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 09:00,2.158
44,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 10:00,2.273
45,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 11:00,2.262
46,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 12:00,2.299
47,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 13:00,2.334
48,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 14:00,2.334
49,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 15:00,2.305
50,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 16:00,2.249
51,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 17:00,2.225
52,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 18:00,2.209
53,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 19:00,2.203
54,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 20:00,2.192
55,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 21:00,2.189
56,Champabati,Assam,18,Assam,287,GOALPARA,-,-,-,-,-,-,-,-,-,26.02744200,90.66889200,,15-04-2023 22:00,2.191
