SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
49,GANGA AT GARHMUKTESHWAR U.P,CPCB,9,Uttar Pradesh,154,JYOTIBA PHULE NAGAR,HASANPUR,-,-,-,-,-,-,-,-,28.76062000,78.14376600,07-01-2021 08:30,"","","","","",""
50,GANGA AT GARHMUKTESHWAR U.P,CPCB,9,Uttar Pradesh,154,JYOTIBA PHULE NAGAR,HASANPUR,-,-,-,-,-,-,-,-,28.76062000,78.14376600,18-01-2021 08:30,"","","","","",""
51,GANGA AT GARHMUKTESHWAR U.P,CPCB,9,Uttar Pradesh,154,JYOTIBA PHULE NAGAR,HASANPUR,-,-,-,-,-,-,-,-,28.76062000,78.14376600,02-02-2021 08:30,"","","","","",""
52,GANGA AT GARHMUKTESHWAR U.P,CPCB,9,Uttar Pradesh,154,JYOTIBA PHULE NAGAR,HASANPUR,-,-,-,-,-,-,-,-,28.76062000,78.14376600,23-02-2021 08:30,"","","","","",""
53,GANGA AT GARHMUKTESHWAR U.P,CPCB,9,Uttar Pradesh,154,JYOTIBA PHULE NAGAR,HASANPUR,-,-,-,-,-,-,-,-,28.76062000,78.14376600,09-03-2021 08:30,"","","","","",""
54,GANGA AT GARHMUKTESHWAR U.P,CPCB,9,Uttar Pradesh,154,JYOTIBA PHULE NAGAR,HASANPUR,-,-,-,-,-,-,-,-,28.76062000,78.14376600,23-03-2021 08:30,"","","","","",""
55,GANGA AT KACHHLA GHAT ALIGARH,CPCB,9,Uttar Pradesh,133,BUDAUN,Budaun,-,-,-,-,-,-,-,-,27.92780300,78.86628900,03-02-2021 08:30,"","","","","",""
56,GANGA AT KACHHLA GHAT ALIGARH,CPCB,9,Uttar Pradesh,133,BUDAUN,Budaun,-,-,-,-,-,-,-,-,27.92780300,78.86628900,09-03-2021 08:30,"","","","","",""
57,GANGA AT KADAGHAT ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.44312400,81.88714800,04-01-2021 08:30,"","","","","",""
58,GANGA AT KADAGHAT ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.44312400,81.88714800,21-01-2021 08:30,"","","","","",""
59,GANGA AT KADAGHAT ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.44312400,81.88714800,18-02-2021 08:30,"","","","","",""
60,GANGA AT KADAGHAT ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.44312400,81.88714800,28-02-2021 08:30,"","","","","",""
61,GANGA AT KADAGHAT ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.44312400,81.88714800,07-03-2021 08:30,"","","","","",""
62,GANGA AT KADAGHAT ALLAHABAD,CPCB,9,Uttar Pradesh,120,Allahabad,Allahabad,-,-,-,-,-,-,-,-,25.44312400,81.88714800,21-03-2021 08:30,"","","","","",""
63,GANGA AT KALA KANKAR RAEBARELI,CPCB,9,Uttar Pradesh,174,PRATAPGARH,KUNDA,-,-,-,-,-,-,-,-,25.77429300,81.38267300,05-01-2021 08:30,"","","","","",""
64,GANGA AT KANNAUJ D/S U.P,CPCB,9,Uttar Pradesh,155,KANNAUJ,KANNAUJ,-,-,-,-,-,-,-,-,27.01095300,79.98644200,05-01-2021 08:30,"","","","","",""
65,GANGA AT KANNAUJ D/S U.P,CPCB,9,Uttar Pradesh,155,KANNAUJ,KANNAUJ,-,-,-,-,-,-,-,-,27.01095300,79.98644200,22-01-2021 08:30,"","","","","",""
66,GANGA AT KANNAUJ D/S U.P,CPCB,9,Uttar Pradesh,155,KANNAUJ,KANNAUJ,-,-,-,-,-,-,-,-,27.01095300,79.98644200,02-02-2021 08:30,"","","","","",""
67,GANGA AT KANNAUJ D/S U.P,CPCB,9,Uttar Pradesh,155,KANNAUJ,KANNAUJ,-,-,-,-,-,-,-,-,27.01095300,79.98644200,24-02-2021 08:30,"","","","","",""
68,GANGA AT KANNAUJ U/S (RAJGHAT) U.P,CPCB,9,Uttar Pradesh,150,HARDOI,BILGRAM,-,-,-,-,-,-,-,-,27.13845100,79.93077500,05-01-2021 08:30,"","","","","",""
69,GANGA AT KANNAUJ U/S (RAJGHAT) U.P,CPCB,9,Uttar Pradesh,150,HARDOI,BILGRAM,-,-,-,-,-,-,-,-,27.13845100,79.93077500,22-01-2021 08:30,"","","","","",""
70,GANGA AT KANNAUJ U/S (RAJGHAT) U.P,CPCB,9,Uttar Pradesh,150,HARDOI,BILGRAM,-,-,-,-,-,-,-,-,27.13845100,79.93077500,02-02-2021 08:30,"","","","","",""
71,GANGA AT KANNAUJ U/S (RAJGHAT) U.P,CPCB,9,Uttar Pradesh,150,HARDOI,BILGRAM,-,-,-,-,-,-,-,-,27.13845100,79.93077500,24-02-2021 08:30,"","","","","",""
72,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION) U.P,CPCB,9,Uttar Pradesh,186,UNNAO,PURWA,-,-,-,-,-,-,-,-,26.43618500,80.40961000,05-01-2021 08:30,"","","","","",""
73,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION) U.P,CPCB,9,Uttar Pradesh,186,UNNAO,PURWA,-,-,-,-,-,-,-,-,26.43618500,80.40961000,22-01-2021 08:30,"","","","","",""
74,GANGA AT KANPUR D/S (JAJMAU PUMPING STATION) U.P,CPCB,9,Uttar Pradesh,186,UNNAO,PURWA,-,-,-,-,-,-,-,-,26.43618500,80.40961000,02-02-2021 08:30,"","","","","",""
75,GANGA AT KANPUR U/S (RANIGHAT) U.P,CPCB,9,Uttar Pradesh,157,KANPUR NAGAR,Kanpur Nagar,-,-,-,-,-,-,-,-,26.50554200,80.31434400,05-01-2021 08:30,"","","","","",""
76,GANGA AT KANPUR U/S (RANIGHAT) U.P,CPCB,9,Uttar Pradesh,157,KANPUR NAGAR,Kanpur Nagar,-,-,-,-,-,-,-,-,26.50554200,80.31434400,22-01-2021 08:30,"","","","","",""
77,GANGA AT KANPUR U/S (RANIGHAT) U.P,CPCB,9,Uttar Pradesh,157,KANPUR NAGAR,Kanpur Nagar,-,-,-,-,-,-,-,-,26.50554200,80.31434400,02-02-2021 08:30,"","","","","",""
78,GANGA AT NARORA (BULANDSAHAR) U.P.,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.18970000,78.39587800,07-01-2021 08:30,"","","","","",""
79,GANGA AT NARORA (BULANDSAHAR) U.P.,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.18970000,78.39587800,21-01-2021 08:30,"","","","","",""
80,GANGA AT NARORA (BULANDSAHAR) U.P.,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.18970000,78.39587800,08-02-2021 08:30,"","","","","",""
81,GANGA AT NARORA (BULANDSAHAR) U.P.,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.18970000,78.39587800,22-02-2021 08:30,"","","","","",""
82,GANGA AT NARORA (BULANDSAHAR) U.P.,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.18970000,78.39587800,08-03-2021 08:30,"","","","","",""
83,GANGA AT NARORA (BULANDSAHAR) U.P.,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.18970000,78.39587800,22-03-2021 08:30,"","","","","",""
84,GANGA AT TARIGHAT GHAZIPUR (U.P.),CPCB,9,Uttar Pradesh,146,GHAZIPUR,GHAZIPUR,-,-,-,-,-,-,-,-,25.57715600,83.58421900,24-02-2021 08:30,"","","","","",""
85,GANGA AT TRIGHAT (GHAZIPUR) U.P,CPCB,9,Uttar Pradesh,146,GHAZIPUR,ZAMANIA,-,-,-,-,-,-,-,-,25.57817500,83.60959400,01-01-2021 08:30,"","","","","",""
86,GANGA AT TRIGHAT (GHAZIPUR) U.P,CPCB,9,Uttar Pradesh,146,GHAZIPUR,ZAMANIA,-,-,-,-,-,-,-,-,25.57817500,83.60959400,16-01-2021 08:30,"","","","","",""
87,GANGA AT TRIGHAT (GHAZIPUR) U.P,CPCB,9,Uttar Pradesh,146,GHAZIPUR,ZAMANIA,-,-,-,-,-,-,-,-,25.57817500,83.60959400,01-02-2021 08:30,"","","","","",""
88,GANGA AT TRIGHAT (GHAZIPUR) U.P,CPCB,9,Uttar Pradesh,146,GHAZIPUR,ZAMANIA,-,-,-,-,-,-,-,-,25.57817500,83.60959400,18-02-2021 08:30,"","","","","",""
89,GANGA AT TRIGHAT (GHAZIPUR) U.P,CPCB,9,Uttar Pradesh,146,GHAZIPUR,ZAMANIA,-,-,-,-,-,-,-,-,25.57817500,83.60959400,02-03-2021 08:30,"","","","","",""
90,GANGA AT TRIGHAT (GHAZIPUR) U.P,CPCB,9,Uttar Pradesh,146,GHAZIPUR,ZAMANIA,-,-,-,-,-,-,-,-,25.57817500,83.60959400,18-03-2021 08:30,"","","","","",""
91,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-01-2021 08:30,"","","","","",""
92,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,16-01-2021 08:30,"","","","","",""
93,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-02-2021 08:30,"","","","","",""
94,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-02-2021 08:30,"","","","","",""
95,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,01-03-2021 08:30,"","","","","",""
96,GANGA AT VARANASI D/S (MALVIYA BRIDGE) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.32148600,83.03528500,18-03-2021 08:30,"","","","","",""
97,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-01-2021 08:30,"","","","","",""
98,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-02-2021 08:30,"","","","","",""
99,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-02-2021 08:30,"","","","","",""
100,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,01-03-2021 08:30,"","","","","",""
101,GANGA AT VARANASI U/S (ASSIGHAT) U.P,CPCB,9,Uttar Pradesh,187,VARANASI,VARANASI,-,-,-,-,-,-,-,-,25.28935800,83.00638900,18-03-2021 08:30,"","","","","",""
102,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,07-01-2021 08:30,"","","","","",""
103,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,21-01-2021 08:30,"","","","","",""
104,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,08-02-2021 08:30,"","","","","",""
105,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,22-02-2021 08:30,"","","","","",""
106,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,08-03-2021 08:30,"","","","","",""
107,GANGA D/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.27420800,78.32433800,22-03-2021 08:30,"","","","","",""
108,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,04-01-2021 08:30,"","","","","",""
109,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,01-02-2021 08:30,"","","","","",""
110,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,15-02-2021 08:30,"","","","","",""
111,GANGA D/S MIRZAPUR,CPCB,9,Uttar Pradesh,170,MIRZAPUR,NAGAR (CITY),-,-,-,-,-,-,-,-,25.17705800,82.60222500,01-03-2021 08:30,"","","","","",""
112,GANGA U/S ANOOPSHAHAR,CPCB,9,Uttar Pradesh,134,Buland Shahar,Buland Shahar,-,-,-,-,-,-,-,-,28.36439600,78.27026900,07-01-2021 08:30,"","","","","",""
