SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
30,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,05-06-2021 09:00,4.6
31,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,06-06-2021 09:00,1.6
32,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,07-06-2021 09:00,16
33,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-06-2021 09:00,73.2
34,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,09-06-2021 09:00,0.8
35,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,11-06-2021 09:00,16.6
36,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,12-06-2021 09:00,8.2
37,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,13-06-2021 09:00,49.4
38,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,14-06-2021 09:00,22.2
39,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,15-06-2021 09:00,8.2
40,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,16-06-2021 09:00,11
41,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,18-06-2021 09:00,13.6
42,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-06-2021 09:00,20.6
43,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,20-06-2021 09:00,7.2
44,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,21-06-2021 09:00,23.4
45,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,22-06-2021 09:00,10.2
46,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,23-06-2021 09:00,3.2
47,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,24-06-2021 09:00,39.2
48,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,25-06-2021 09:00,26.4
49,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,26-06-2021 09:00,65.4
50,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,27-06-2021 09:00,20
51,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,28-06-2021 09:00,67
52,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,29-06-2021 09:00,85.4
53,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,30-06-2021 09:00,85
54,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,01-07-2021 10:00,18.6
55,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,02-07-2021 10:00,37
56,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,03-07-2021 10:00,66.4
57,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,04-07-2021 10:00,91.2
58,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,05-07-2021 10:00,14.8
59,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,06-07-2021 10:00,14
60,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,07-07-2021 10:00,62.6
61,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-07-2021 10:00,34
62,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,10-07-2021 10:00,22.2
63,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,11-07-2021 10:00,15.2
64,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,12-07-2021 10:00,6.8
65,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,13-07-2021 10:00,8.4
66,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,14-07-2021 10:00,86.6
67,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,15-07-2021 10:00,15.6
68,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,16-07-2021 10:00,0.8
69,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,17-07-2021 10:00,10.1
70,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,18-07-2021 10:00,0.6
71,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,22-07-2021 10:00,8.4
72,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,23-07-2021 10:00,11.5
73,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,24-07-2021 10:00,30.4
74,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,25-07-2021 10:00,19.6
75,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,26-07-2021 10:00,2.4
76,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,28-07-2021 10:00,13
77,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,29-07-2021 10:00,13.6
78,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,30-07-2021 10:00,11.6
79,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,31-07-2021 10:00,26.6
80,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,01-08-2021 10:00,11.4
81,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,02-08-2021 10:00,2.2
82,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,05-08-2021 10:00,20.2
83,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,07-08-2021 10:00,138.8
84,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-08-2021 10:00,35.2
85,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,09-08-2021 10:00,20.2
86,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,10-08-2021 10:00,79.4
87,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,11-08-2021 10:00,185.2
88,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,12-08-2021 10:00,44.2
89,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,13-08-2021 10:00,121
90,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,14-08-2021 10:00,113.4
91,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,15-08-2021 10:00,120
92,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,16-08-2021 10:00,21.2
93,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,17-08-2021 10:00,24.4
94,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-08-2021 10:00,28.8
95,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,20-08-2021 10:00,31.6
96,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,21-08-2021 10:00,3.4
97,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,23-08-2021 10:00,71.6
98,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,24-08-2021 10:00,40
99,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,25-08-2021 10:00,5.8
