SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
1,ASHWIN   HARIPURA,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.04527778,73.71694444,Yes,0.0000,58.04,20-07-1971 00:00,58.168
2,HERAN AT WASNA,Gujarat SW GW,24,Gujarat,461,Vadodara,SANKHEDA,-,-,Narmada,Narmada,-,-,-,-,22.12027778,73.74944444,Yes,0.0000,66.86,06-10-1970 06:00,67.847
3,HERAN AT WASNA,Gujarat SW GW,24,Gujarat,461,Vadodara,SANKHEDA,-,-,Narmada,Narmada,-,-,-,-,22.12027778,73.74944444,Yes,0.0000,66.86,20-11-1970 22:00,66.959
4,HERAN AT WASNA,Gujarat SW GW,24,Gujarat,461,Vadodara,SANKHEDA,-,-,Narmada,Narmada,-,-,-,-,22.12027778,73.74944444,Yes,0.0000,66.86,05-02-1971 19:00,67.07
5,Karjan Dam,Gujarat SW GW,24,Gujarat,452,Narmada,Rajpipla,-,-,Narmada,Narmada,Karjan,-,-,Karjan,21.81527778,73.53666667,No,0,105.00,12-10-1970 08:00,114.9
6,KARJAN   THAVA,Gujarat SW GW,24,Gujarat,442,Bharuch,VALIA,-,-,Narmada,Narmada,Karjan,-,-,-,21.58472222,73.46805556,Yes,0.0000,146.33,05-11-1970 00:18,146.899
7,MEN AT AMROLI,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.01722222,73.75277778,Yes,0.0000,97.02,19-10-1970 11:00,97.166
8,MEN AT AMROLI,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.01722222,73.75277778,Yes,0.0000,97.02,12-11-1970 20:50,97.033
9,MEN AT AMROLI,Gujarat SW GW,24,Gujarat,668,Chhota Udaipur,Nasvadi,-,-,Narmada,Narmada,-,-,-,-,22.01722222,73.75277778,Yes,0.0000,97.02,13-12-1970 23:00,96.973
10,UNCH AT KHORIA,Gujarat SW GW,24,Gujarat,461,Vadodara,SANKHEDA,-,-,Narmada,Narmada,-,-,-,-,22.18500000,73.74250000,Yes,0.0000,90.93,26-01-1970 12:00,90.95
