SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
30,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,18-09-2015 08:00,504.042
31,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,21-09-2015 08:00,648.21
32,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,28-09-2015 08:00,337.046
33,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,02-10-2015 08:00,833.05
34,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,05-10-2015 08:00,611.457
35,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,09-10-2015 08:00,410.94
36,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,12-10-2015 08:00,199.698
37,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,16-10-2015 08:00,330.999
38,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,19-10-2015 08:00,587.742
39,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,20-10-2015 08:00,560.168
40,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,26-10-2015 08:00,416.83
