SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
1,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,17-09-2019 09:00,264.719
2,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,18-09-2019 09:00,250.098
3,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,19-09-2019 09:00,161.168
4,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,20-09-2019 09:00,147.441
5,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,21-09-2019 09:00,124.945
6,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,22-09-2019 08:00,120.5
7,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,23-09-2019 09:00,113.51
8,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,24-09-2019 09:00,161.059
9,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,25-09-2019 09:00,170.693
10,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,26-09-2019 09:00,137.113
11,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,27-09-2019 09:00,124.784
12,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,28-09-2019 09:00,139.33
13,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,29-09-2019 09:00,145.985
14,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,30-09-2019 09:00,157.805
15,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,01-10-2019 09:00,275.276
16,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,02-10-2019 08:00,200.5
17,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,03-10-2019 09:00,173.037
18,Balat,CWC,17,Meghalaya,658,South West Khasi Hills,Ranikor,-,-,umngi,Minor rivers draining into Myanmar and Bangladesh,-,-,-,umngi,25.22388889,91.35527778,04-10-2019 09:00,148.337
